geo,time,sh_sta_odfc_ru_zs
afg,2000,31.26864
afg,2001,31.26864
afg,2002,30.39017
afg,2003,29.5117
afg,2004,28.63324
afg,2005,27.75477
afg,2006,26.8763
afg,2007,25.99784
afg,2008,25.11937
afg,2009,24.2409
afg,2010,23.36244
afg,2011,22.48397
afg,2012,21.6055
afg,2013,20.72704
afg,2014,19.84857
afg,2015,18.9701
afg,2016,18.09164
afg,2017,17.21317
afg,2018,16.3347
afg,2019,15.45624
afg,2020,14.57777
ago,2000,66.71371
ago,2001,66.0164
ago,2002,65.3191
ago,2003,64.62179
ago,2004,63.92449
ago,2005,63.22719
ago,2006,62.52988
ago,2007,61.83258
ago,2008,61.13528
ago,2009,60.43797
ago,2010,59.74067
ago,2011,59.04337
ago,2012,58.34606
ago,2013,57.64876
ago,2014,56.95145
ago,2015,56.25415
ago,2016,55.55685
ago,2017,54.85954
ago,2018,54.16224
ago,2019,54.16224
ago,2020,54.16224
alb,2000,1.21116
alb,2001,1.14755
alb,2002,1.08393
alb,2003,1.02032
alb,2004,0.9567
alb,2005,0.89309
alb,2006,0.82948
alb,2007,0.76586
alb,2008,0.70225
alb,2009,0.63863
alb,2010,0.57502
alb,2011,0.5114
alb,2012,0.44779
alb,2013,0.38418
alb,2014,0.32056
alb,2015,0.25695
alb,2016,0.19333
alb,2017,0.12972
alb,2018,0
alb,2019,0
alb,2020,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
and,2019,0
and,2020,0
arg,2006,7.68874
arg,2007,7.68874
arg,2008,7.68874
arg,2009,7.68874
arg,2010,7.68874
arg,2011,7.68874
arg,2012,7.68874
arg,2013,7.68874
arg,2014,7.68874
arm,2000,0.03736
arm,2001,0.03736
arm,2002,0.03736
arm,2003,0.03736
arm,2004,0.03681
arm,2005,0.03626
arm,2006,0.03571
arm,2007,0.03516
arm,2008,0.03462
arm,2009,0.03407
arm,2010,0.03352
arm,2011,0.03297
arm,2012,0.03242
arm,2013,0.03187
arm,2014,0.03132
arm,2015,0.03077
arm,2016,0.03022
arm,2017,0.02967
arm,2018,0.02912
arm,2019,0.02912
arm,2020,0.02912
aut,2000,0
aut,2001,0
