global,time,iq_cpa_fins_xq
world,2005,3.13158
world,2006,3.14744
world,2007,3.15333
world,2008,3.10667
world,2009,3.08442
world,2010,3.06494
world,2011,3.07692
world,2012,3.0125
world,2013,2.97531
world,2014,2.94079
world,2015,2.89474
world,2016,2.83562
world,2017,2.81757
world,2018,2.82877
world,2019,2.80667
world,2020,2.78767
