global,time,si_pov_lmic
world,1981,57.3
world,1982,57.4
world,1983,57.6
world,1984,57.2
world,1985,56.6
world,1986,55.8
world,1987,55.6
world,1988,54.8
world,1989,55.7
world,1990,55.5
world,1991,55.4
world,1992,55.1
world,1993,54.6
world,1994,54
world,1995,52.8
world,1996,51.9
world,1997,51.3
world,1998,51.1
world,1999,50.8
world,2000,49.5
world,2001,48.6
world,2002,47.2
world,2003,46.2
world,2004,44.2
world,2005,42.2
world,2006,41
world,2007,39.4
world,2008,38.4
world,2009,37.3
world,2010,35.2
world,2011,32.8
world,2012,31.4
world,2013,29
world,2014,27.7
world,2015,26.5
world,2016,25.3
world,2017,24.2
world,2018,23.1
