geo,time,en_atm_meth_kt_ce
bdi,1992,1650
bdi,1993,1670
bdi,1994,1650
bdi,1995,1700
bdi,1996,1670
bdi,1997,1670
bdi,1998,1590
bdi,1999,1490
bdi,2000,1400
bdi,2001,1370
bdi,2002,1320
bdi,2003,1300
bdi,2004,1290
bdi,2005,1280
bdi,2006,1340
bdi,2007,1380
bdi,2008,1440
bdi,2009,1520
bdi,2010,1630
bdi,2011,1670
bdi,2012,1640
bdi,2013,1800
bdi,2014,1730
bdi,2015,1690
bdi,2016,1860
bdi,2017,2130
bdi,2018,2140
bel,1990,13230
bel,1991,13320
bel,1992,13140
bel,1993,12950
bel,1994,12980
bel,1995,13110
bel,1996,12980
bel,1997,12780
bel,1998,12530
bel,1999,12600
bel,2000,12120
bel,2001,11600
bel,2002,11070
bel,2003,10400
bel,2004,10270
bel,2005,10000
bel,2006,9860
bel,2007,9640
bel,2008,9450
bel,2009,9370
bel,2010,9260
bel,2011,9010
bel,2012,8840
bel,2013,8630
bel,2014,8540
bel,2015,8540
bel,2016,8450
bel,2017,8180
bel,2018,8200
ben,1990,2700
ben,1991,2800
ben,1992,2860
ben,1993,2890
ben,1994,3070
ben,1995,2920
ben,1996,3270
ben,1997,3360
ben,1998,3500
ben,1999,3390
ben,2000,3680
ben,2001,3320
ben,2002,3630
ben,2003,3610
ben,2004,3640
ben,2005,4060
ben,2006,4020
ben,2007,4200
ben,2008,4200
ben,2009,4380
ben,2010,4520
ben,2011,4710
ben,2012,4840
ben,2013,5080
ben,2014,5090
ben,2015,5220
ben,2016,5380
ben,2017,5420
ben,2018,5530
bfa,1990,7110
bfa,1991,7330
bfa,1992,7520
bfa,1993,7670
bfa,1994,7870
bfa,1995,8110
bfa,1996,8080
bfa,1997,8330
bfa,1998,8340
bfa,1999,8440
bfa,2000,8950
bfa,2001,8680
bfa,2002,9050
bfa,2003,11110
bfa,2004,11470
bfa,2005,11820
bfa,2006,11760
bfa,2007,12050
bfa,2008,12450
bfa,2009,12890
bfa,2010,13500
bfa,2011,13750
bfa,2012,13810
bfa,2013,14200
bfa,2014,14490
bfa,2015,14690
bfa,2016,15380
bfa,2017,15590
bfa,2018,15600
bgd,1990,64380
bgd,1991,64460
bgd,1992,65050
bgd,1993,65130
bgd,1994,65940
bgd,1995,66670
bgd,1996,66340
bgd,1997,66920
bgd,1998,66470
bgd,1999,68350
bgd,2000,68940
bgd,2001,68930
bgd,2002,70230
bgd,2003,71050
bgd,2004,70730
bgd,2005,72360
bgd,2006,73270
bgd,2007,73940
bgd,2008,76420
bgd,2009,77310
bgd,2010,78460
bgd,2011,79160
bgd,2012,79550
bgd,2013,79980
bgd,2014,80550
bgd,2015,80900
bgd,2016,80240
bgd,2017,82590
bgd,2018,83790
bgr,1990,16390
bgr,1991,15360
bgr,1992,14820
bgr,1993,13520
bgr,1994,11730
bgr,1995,12020
bgr,1996,12080
bgr,1997,11540
bgr,1998,11050
bgr,1999,10650
bgr,2000,10570
bgr,2001,9960
bgr,2002,9430
bgr,2003,9830
bgr,2004,9310
bgr,2005,8880
bgr,2006,8490
bgr,2007,8570
bgr,2008,8290
bgr,2009,7940
bgr,2010,7780
bgr,2011,8040
bgr,2012,7750
bgr,2013,7490
