geo,time,sl_srv_0714_zs
alb,2010,9.25
aze,2005,7.4
bfa,2006,24.92
bgd,2003,23.25
bgd,2013,33.33
blz,2001,39.0943
bol,2008,19.2
bol,2009,21.16
bol,2013,13.71
bol,2015,18.45
bra,2007,33.5
bra,2008,34.6
bra,2009,39.08
bra,2011,33.76
bra,2013,36.64
bra,2014,34.12065
bra,2015,35.57
chl,2003,66.9
chl,2012,60.33
cmr,2001,7.1
cmr,2007,8.22
col,2007,46.1
col,2009,38.46
col,2012,40.59
col,2014,47.84
col,2015,41.4
cri,2004,48.99
cri,2011,44.45
cri,2016,53.5
dom,2005,57.5
dom,2009,58.42
dom,2012,61.23
ecu,2006,22.8
ecu,2009,23
ecu,2011,21.47
ecu,2015,15.74
egy,2009,30.36
eth,2005,3.72
gha,2012,18.12
gin,2010,18.81
gmb,2015,2.71
gtm,2006,24.72
gtm,2012,24.51
gtm,2014,25.48
gtm,2015,28.49068
hnd,2004,24.74
hnd,2007,25.06
hnd,2011,21.32
hnd,2013,22.5
hnd,2014,32.75
idn,2009,27.07
idn,2010,26.46
ind,2000,11.52
ind,2005,12.4
ind,2010,13.01
ind,2012,10.43
jor,2007,48.47
jor,2016,42.55
ken,1999,16.50833
kgz,1998,4.99586
kgz,2007,1.78
kgz,2014,0.77943
khm,2001,17.99
khm,2004,12.9
khm,2009,11.99
khm,2012,22.24
lao,2010,2.44
lbr,2010,18.5
lka,1999,14.97
lka,2009,17.35
lso,2002,10.41
mar,1999,10.13
mar,2004,21.87
mda,2009,2.2
mdg,2001,2.42
mdg,2007,8.24
mex,2007,48.47
mex,2009,47.04
mex,2010,50.81
mex,2011,53.84
mex,2013,53.88
mli,2005,11.3
mli,2007,12.28
mng,2007,6.27
mng,2012,12.3
mwi,2015,28.7
nam,1999,8.03
ner,2009,81.04
nga,2010,10.19
nic,2001,32.31095
nic,2005,19.34
nic,2010,33.43
nic,2012,38.03
npl,1999,11.06
npl,2008,3.09
pak,2008,14.41
pak,2011,14.59
pan,2008,22.89
pan,2010,21.34
pan,2012,27.86
pan,2014,27.22
per,2007,31.09
phl,2001,30.6
phl,2011,40.19
prt,2001,33.34
pry,2005,32.06
pry,2014,35.34
rou,2000,2.3
rwa,2008,10.52
rwa,2011,24.15
rwa,2014,22.32
sdn,2008,23.66
sen,2005,14.02
sen,2011,2.59
sle,2007,13.41
slv,2003,35.40338
slv,2007,35.19
slv,2009,30.85
slv,2011,33.8
slv,2012,34.23
slv,2013,37.75
ssd,2008,38.2
tgo,2006,15.12
tgo,2010,24.28
tls,2001,8.22
tls,2007,1
tur,1999,6.72098
tur,2006,27.12
tza,2001,21.31049
tza,2006,13.97
tza,2014,4.76
uga,2006,2.99
uga,2012,3.14
ury,2009,58.58
ven,2003,63.57358
ven,2006,55.66
ven,2013,58.86
vnm,2012,16.18
yem,1999,6.18
yem,2010,27.34
zmb,2005,3.47
zmb,2008,6.95
