geo,time,sp_pop_65up_fe_zs
abw,1960,2.90574
abw,1961,3.0051
abw,1962,3.11933
abw,1963,3.22391
abw,1964,3.34456
abw,1965,3.49552
abw,1966,3.63655
abw,1967,3.79747
abw,1968,3.97329
abw,1969,4.18445
abw,1970,4.40329
abw,1971,4.77929
abw,1972,5.13724
abw,1973,5.52372
abw,1974,5.90716
abw,1975,6.3118
abw,1976,6.48967
abw,1977,6.71529
abw,1978,6.96981
abw,1979,7.22625
abw,1980,7.51152
abw,1981,7.68909
abw,1982,7.85885
abw,1983,7.97669
abw,1984,8.0535
abw,1985,8.16049
abw,1986,8.25119
abw,1987,8.35181
abw,1988,8.47588
abw,1989,8.60489
abw,1990,8.69717
abw,1991,8.37463
abw,1992,8.07887
abw,1993,7.841
abw,1994,7.68537
abw,1995,7.62012
abw,1996,7.66194
abw,1997,7.74522
abw,1998,7.89338
abw,1999,8.08147
abw,2000,8.29239
abw,2001,8.46442
abw,2002,8.65956
abw,2003,8.87666
abw,2004,9.08423
abw,2005,9.2767
abw,2006,9.66254
abw,2007,10.03278
abw,2008,10.4069
abw,2009,10.80923
abw,2010,11.27444
abw,2011,11.57447
abw,2012,11.92476
abw,2013,12.33488
abw,2014,12.77937
abw,2015,13.24942
abw,2016,13.7599
abw,2017,14.29114
abw,2018,14.84119
abw,2019,15.4295
abw,2020,16.05552
afg,1960,2.66263
afg,1961,2.67763
afg,1962,2.68524
afg,1963,2.68392
afg,1964,2.67089
afg,1965,2.6461
afg,1966,2.66305
afg,1967,2.66938
afg,1968,2.66549
afg,1969,2.65245
afg,1970,2.63096
afg,1971,2.64505
afg,1972,2.65068
afg,1973,2.64821
afg,1974,2.63876
afg,1975,2.62399
afg,1976,2.6357
afg,1977,2.63178
afg,1978,2.61304
afg,1979,2.58146
afg,1980,2.53948
afg,1981,2.55814
afg,1982,2.55382
afg,1983,2.5232
afg,1984,2.4608
afg,1985,2.35861
afg,1986,2.39739
afg,1987,2.42849
afg,1988,2.44489
afg,1989,2.43545
afg,1990,2.39041
afg,1991,2.39611
afg,1992,2.40611
afg,1993,2.422
afg,1994,2.44886
afg,1995,2.49244
afg,1996,2.49451
afg,1997,2.48812
afg,1998,2.47715
afg,1999,2.46293
afg,2000,2.44505
afg,2001,2.42836
afg,2002,2.41665
afg,2003,2.40838
afg,2004,2.4019
afg,2005,2.39772
afg,2006,2.41893
afg,2007,2.43407
afg,2008,2.44942
afg,2009,2.47294
afg,2010,2.50826
afg,2011,2.54879
afg,2012,2.59991
afg,2013,2.65454
afg,2014,2.70352
afg,2015,2.74294
afg,2016,2.78779
afg,2017,2.8223
afg,2018,2.85169
afg,2019,2.88223
afg,2020,2.91721
ago,1960,3.23161
ago,1961,3.28013
ago,1962,3.30921
ago,1963,3.32527
ago,1964,3.33299
ago,1965,3.33251
ago,1966,3.25553
ago,1967,3.13198
ago,1968,2.95064
ago,1969,2.70945
ago,1970,2.41808
ago,1971,2.46272
ago,1972,2.50727
ago,1973,2.54561
ago,1974,2.57242
ago,1975,2.5872
ago,1976,2.57755
ago,1977,2.56413
ago,1978,2.55315
ago,1979,2.5504
ago,1980,2.55847
ago,1981,2.58813
ago,1982,2.61999
ago,1983,2.64773
ago,1984,2.66347
ago,1985,2.66502
