geo,time,ag_lnd_irig_ag_zs
blr,2002,1.27424
blr,2003,1.26864
blr,2004,1.27275
blr,2005,1.27389
blr,2006,1.23912
blr,2007,1.24495
blr,2008,0.59437
blr,2009,0.52649
blr,2010,0.33715
blr,2011,0.34479
blr,2012,0.34106
blr,2013,0.33979
blr,2014,0.34439
blr,2015,0.35222
blr,2016,0.3551
blr,2017,0.35672
blr,2018,0.35845
bol,2008,0.73123
bol,2011,0.7908
bol,2014,0.71084
bra,2006,1.94539
bra,2007,1.93929
bra,2017,2.91413
brn,2002,0.90909
brn,2003,0.90909
brn,2004,0.90909
brn,2005,0.90909
brn,2006,0
brn,2007,0.87719
btn,2003,7.07635
btn,2004,6.50685
btn,2005,6.40809
btn,2006,6.58579
btn,2007,6.74956
bwa,2003,0.00054
bwa,2004,0.00116
bwa,2005,0.00774
bwa,2006,0.00116
bwa,2007,0.00081
bwa,2008,0.0058
bwa,2009,0.00255
bwa,2010,0.0029
bwa,2011,0.00135
bwa,2012,0.00425
bwa,2013,0.00425
bwa,2014,0.00961
can,2005,1.37051
can,2010,1.32121
can,2015,1.55989
chanisl,2001,9.33333
chanisl,2002,14.86486
chanisl,2003,12.16216
chanisl,2004,6.66667
chanisl,2005,3.94737
chanisl,2008,0.74074
chanisl,2009,3.29545
chanisl,2010,3.51262
chanisl,2011,4.26639
chanisl,2012,3.13808
chanisl,2013,3.69979
chanisl,2014,3.57143
chanisl,2015,3.67171
chanisl,2016,3.65985
che,2010,2.35892
che,2013,2.2495
che,2016,2.16284
chl,2007,6.95398
chn,2003,9.01665
chn,2006,10.22091
chn,2011,10.20675
col,2011,0.94437
col,2013,1.45173
cpv,2004,4.64
cri,2005,1.4349
cri,2006,1.50413
cri,2007,1.55556
cri,2008,1.51701
cri,2009,1.5033
cri,2010,1.5448
cyp,2001,25
cyp,2002,25
cyp,2003,23.37662
cyp,2004,21.79487
cyp,2005,20.95808
cyp,2006,21.01911
cyp,2007,20.24457
cyp,2008,21.10727
cyp,2009,22.41379
cyp,2010,21.83406
cyp,2011,21.41015
cyp,2012,20.95808
cyp,2013,21.31765
cyp,2014,21.28831
cyp,2015,19.97158
cyp,2016,22.85401
cyp,2017,21.33092
cze,2003,0.39588
cze,2005,0.39906
cze,2007,0.4707
