global,time,dt_nfl_uncr_cd
world,1969,7690000.05722
world,1970,7909999.84741
world,1971,8970000.26703
world,1972,22370000.83923
world,1973,26819999.69482
world,1974,36829998.01636
world,1975,68610000.61035
world,1976,89730003.35693
world,1977,100409996.03271
world,1978,120379997.25342
world,1979,245940002.44141
world,1980,461100006.10352
world,1981,434309997.55859
world,1982,364059997.55859
world,1983,353059997.55859
world,1984,392690002.44141
world,1985,416119995.11719
world,1986,385369995.11719
world,1987,396440002.44141
world,1988,475540008.54492
world,1989,488750000
world,1990,467410003.66211
world,1991,789570007.32422
world,1992,1043089965.82031
world,1993,1264959960.9375
world,1994,1050020019.53125
world,1995,881059997.55859
world,1996,287829986.57227
world,1997,272649993.89648
world,1998,243910003.66211
world,1999,261359985.35156
world,2000,505709991.45508
world,2001,554780029.29688
world,2002,642700012.20703
world,2003,543559997.55859
world,2004,358850006.10352
world,2005,224000000
world,2006,184169998.16895
world,2007,257470001.2207
world,2008,278399993.89648
world,2009,298700012.20703
world,2010,391329986.57227
world,2011,437779998.7793
world,2012,423710693.35938
world,2013,420813446.04492
world,2014,480081878.66211
world,2015,457315216.06445
world,2016,504445037.8418
world,2017,525282287.59766
world,2018,477078735.35156
world,2019,1173162719.72656
