geo,time,ny_exp_capm_kn
ago,2000,85555847873.412
ago,2001,154644752054.16299
ago,2002,379835000000
ago,2003,385569654682.362
ago,2004,486946585272.47601
ago,2005,673472686390.6969
ago,2006,914333780019.02588
ago,2007,816766255860.99695
ago,2008,846060375412.203
ago,2009,524038654748.00293
ago,2010,724612668228.88196
ago,2011,858434520585.13293
ago,2012,866941465868.93787
ago,2013,816234343736.14282
ago,2014,709894953455.02698
ago,2015,375918218623.16693
ago,2016,350978339656.64899
ago,2017,398715420513.20099
ago,2018,424641556434.03296
ago,2019,418838847146.54602
ago,2020,263690314681.40701
alb,1996,50710324540.3165
alb,1997,38379219302.1235
alb,1998,49330020084.2691
alb,1999,89747307301.54211
alb,2000,126379759262.218
alb,2001,148215043755.20099
alb,2002,151671435970.04099
alb,2003,163534264572.27399
alb,2004,194254237210.798
alb,2005,218994736103.98096
alb,2006,254414761404.84897
alb,2007,303821385437.51703
alb,2008,297166990216.78601
alb,2009,306554434547.875
alb,2010,346845670000
alb,2011,359640402812.18799
alb,2012,362820271900.92999
alb,2013,364941519043.51801
alb,2014,369361630839.93494
alb,2015,367436917212.02802
alb,2016,405681336517.19202
alb,2017,470757087908.164
alb,2018,496867902107.63501
alb,2019,506863100791.09399
alb,2020,356093552381.80701
are,2001,313021331497.15894
are,2002,332602614280.34998
are,2003,409418259268.69598
are,2004,527783622733.04401
are,2005,658438954140.099
are,2006,807729030323.19104
are,2007,904175994408.573
are,2008,1106136092084.37988
are,2009,889123513854.55603
are,2010,875260000000
are,2011,1141694397889.81006
are,2012,1327396247647.11011
are,2013,1422128680733.16992
are,2014,1452744120354.1499
are,2015,1286493671782.25
are,2016,1298026542598.18994
are,2017,1323583599962.54004
are,2018,1551386481585
are,2019,1573593200647.37012
arg,1960,14546310472.4025
arg,1961,17190377740.5663
arg,1962,8595188870.28316
arg,1963,13222254549.6426
arg,1964,15868344076.4303
arg,1965,23802509489.61349
arg,1966,19395100582.1094
arg,1967,21819488154.8731
arg,1968,19042006937.9152
arg,1969,19834408699.6084
arg,1970,19039255978.337
arg,1971,16376896644.3871
arg,1972,18039282553.6711
arg,1973,22550531175.5385
arg,1974,19570588402.5169
arg,1975,17687791080.2027
arg,1976,22223488460.062
arg,1977,25813129111.8976
arg,1978,28085647997.8598
arg,1979,29652261092.0652
arg,1980,32939101122.4232
arg,1981,36346634961.4176
arg,1982,30989205336.3016
arg,1983,32444612286.1206
arg,1984,34569504970.9566
arg,1985,35245143070.1962
arg,1986,28659398965.7351
arg,1987,25728211244.3858
arg,1988,34488756900.919
arg,1989,37242273065.6839
arg,1990,41175241531.1479
arg,1991,41853047153.8108
arg,1992,44552605755.0704
arg,1993,46769794212.6518
arg,1994,54227118882.731
arg,1995,66076056271.7718
arg,1996,76207906648.8994
arg,1997,84902706865.7984
arg,1998,89663468196.4709
arg,1999,84024008918.03149
arg,2000,93138531842.63048
arg,2001,95678201725.32387
arg,2002,89995003119.3728
arg,2003,102778966292.42101
arg,2004,115688425400
arg,2005,127165828163.214
arg,2006,138998515124.27499
arg,2007,155830869131.88599
arg,2008,171707883452.647
arg,2009,157162620829.013
arg,2010,185913918095.07101
arg,2011,211566269223.98697
arg,2012,208048314639.60199
arg,2013,188896072506.95096
arg,2014,173209576988.40701
arg,2015,160196616202.22501
arg,2016,172252168518.89301
arg,2017,174731241465.095
arg,2018,182162642073.202
arg,2019,203405123571.20401
arg,2020,167760579338.047
arm,1994,729147695626.72998
arm,1995,368811827004.65894
arm,1996,396174475010.73297
arm,1997,371600558288.44702
arm,1998,364251197461.09601
arm,1999,414980826812.33502
arm,2000,471593411544.83398
arm,2001,601400282495.96704
arm,2002,812009778076.76099
arm,2003,1055020030486.83997
arm,2004,1042386717332.67004
arm,2005,1208190900926.94995
arm,2006,1119521049642.52002
arm,2007,1041631871803.5
arm,2008,843957861009.58911
arm,2009,663366137829.33691
arm,2010,955845628593.67603
arm,2011,1019263070821.92004
arm,2012,1175913800000
arm,2013,1189979347504.19995
arm,2014,1215280894006.04004
arm,2015,1205686939552.90991
arm,2016,1441967438491.37988
arm,2017,1758450986392.84009
arm,2018,1895285207363.38965
arm,2019,2152025623832.97998
arm,2020,1464788749432.84009
asm,2002,970558718.86121
asm,2003,934839721.25435
asm,2004,735192982.45614
asm,2005,734912621.35922
asm,2006,681206896.55172
asm,2007,682760000
asm,2008,729792875.98945
asm,2009,712039355.99284
asm,2010,449449168.20702
asm,2011,369511545.29307
asm,2012,483000000
asm,2013,473477726.5745
asm,2014,464801438.84892
asm,2015,502015037.59398
asm,2016,506877934.2723
asm,2017,386287539.9361
asm,2018,437317220.54381
asm,2019,408097719.86971
asm,2020,465917050.69124
aus,1960,14212650085.7633
aus,1961,14285159332.3217
aus,1962,16379352652.6973
aus,1963,16366819653.6145
aus,1964,21016330479.4521
aus,1965,19967937765.2051
aus,1966,20253016562.5849
aus,1967,22343798408.48809
aus,1968,22477869791.66669
aus,1969,24556768348.6239
aus,1970,29124740915.6231
aus,1971,29932902186.4212
aus,1972,30148184037.5587
aus,1973,36606458675.4242
aus,1974,36963099573.0788
aus,1975,36927039969.4744
aus,1976,36610393193.8583
aus,1977,37973489023.0906
aus,1978,35320080023.5171
aus,1979,38085058481.1378
aus,1980,42270619032.0318
aus,1981,39884305233.8137
aus,1982,40191774995.7706
aus,1983,39797493723.1415
aus,1984,43872114435.63
aus,1985,49859954651.6489
aus,1986,46838093109.75089
aus,1987,48725387721.6693
aus,1988,57416068620.178
aus,1989,66604120069.2152
aus,1990,69958757414.4707
aus,1991,73743739857.86861
aus,1992,78231019232.98729
aus,1993,80557752984.0305
aus,1994,85727559087.43129
aus,1995,92441322046.30728
