geo,time,ny_gdp_fcst_cn
abw,1995,2167000000
abw,1996,2253270000
abw,1997,2521250000
abw,1998,2750970000
abw,1999,2845350000
abw,2000,3094730000
abw,2001,3179096000
abw,2002,3215917000
abw,2003,3337100000
abw,2004,3668570000
abw,2005,3828453000
abw,2006,3960420000
abw,2007,4180505000
abw,2008,4372438000
abw,2009,3967748000
afg,1960,23800002600
afg,1961,24300001300
afg,1962,24200001500
afg,1963,32900003800
afg,1964,35000004600
afg,1965,43799998500
afg,1966,60700000300
afg,1967,72500002800
afg,1968,60000002000
afg,1969,61299998700
afg,1970,75999903700
afg,1971,79499903000
afg,1972,69100003300
afg,1973,75099996200
afg,1974,91600003100
afg,1975,102400000000
afg,1976,112099999700
afg,1977,128999997400
afg,1978,144099999700
afg,1979,156799991800
afg,1980,155799994400
afg,1981,166999998500
afg,2002,179592721300
afg,2003,215989563000
afg,2004,242444940700
afg,2005,298717225800
afg,2006,336485404600
afg,2007,472225066200
afg,2008,500716858600
afg,2009,589910107000
afg,2010,698931122700
afg,2011,817870275400
afg,2012,988960117600
afg,2013,1092551468800
afg,2014,1133617403900
afg,2015,1173768697000
afg,2016,1164587881100
afg,2017,1218630826500
afg,2018,1260078645900
afg,2019,1400597138100
afg,2020,1478289862300
ago,2002,660011000000
ago,2003,1325164000000
ago,2004,1976032000000
ago,2005,3229171000000
ago,2006,4200636000000
ago,2007,5040975000000
ago,2008,6513443000000
ago,2009,5447440741700
ago,2010,7617995475200
ago,2011,10448434609700
ago,2012,12390933831600
ago,2013,13373978553700
ago,2014,14247570951000
ago,2015,13689919197300
ago,2016,16144121975400
ago,2017,19747466717400
ago,2018,25105143815600
ago,2019,31075804000000
ago,2020,32089267590000
alb,1996,312817000000
alb,1997,304714000000
alb,1998,339154000000
alb,1999,396082000000
alb,2000,442127000000
alb,2001,503693000000
alb,2002,542778000000
alb,2003,596038000000
alb,2004,647539000000
alb,2005,703494000000
alb,2006,755265000000
alb,2007,841299000000
alb,2008,936917000000
alb,2009,989796000000
alb,2010,1077485000000
alb,2011,1131121000000
alb,2012,1154747000000
alb,2013,1177698000000
alb,2014,1217843000000
alb,2015,1259726000000
alb,2016,1291203000000
alb,2017,1354490000000
alb,2018,1431558000000
alb,2019,1478825000000
alb,2020,1416043070000
and,2000,1425780000
and,2001,1565520000
and,2002,1682980000
and,2003,1901060000
and,2004,2121490000
and,2005,2308040000
and,2006,2497380000
and,2007,2610600000
and,2008,2543900000
and,2009,2412640000
and,2010,2357260000
and,2011,2340640000
and,2012,2196390000
and,2013,2145450000
and,2014,2190190000
and,2015,2241990000
and,2016,2322830000
and,2017,2358960000
and,2018,2433080000
and,2019,2530320000
and,2020,2332640000
arg,1965,0.48186
arg,1966,0.60125
arg,1967,0.80047
arg,1968,0.92529
arg,1969,1.09396
arg,1970,1.2002
arg,1971,1.66465
arg,1972,2.77864
arg,1973,4.72895
arg,1974,6.51931
arg,1975,19.4023
arg,1976,102.339
arg,1977,283.905
arg,1978,708.61102
arg,1979,1932.14001
arg,1980,3840.3999
arg,1981,7474.2998
arg,1982,21852.5
arg,1983,109490
arg,1984,790920
arg,1985,5305000
arg,1986,9984100
arg,1987,23332300
arg,1988,111062000
arg,1989,3244039936
arg,1990,68921999360
arg,1991,180898005000
arg,1992,226638004200
arg,1993,217797901300
arg,1994,237306001100
arg,1995,238612169700
arg,1996,251099600500
arg,1997,269557982700
arg,1998,275349613900
arg,1999,262474242700
arg,2000,263218944600
arg,2001,250888500600
arg,2002,294804472600
arg,2003,351599088000
arg,2004,412427459400
arg,2005,495455789500
arg,2006,607716713100
arg,2007,756835281800
arg,2008,963939236600
arg,2009,1046561271400
arg,2010,1393953274900
arg,2011,1830888659600
arg,2012,2212389833700
arg,2013,2811838937800
arg,2014,3843256610400
arg,2015,5009211052600
arg,2016,6947932714100
arg,2017,8993361372100
arg,2018,12478123591800
arg,2019,18340548037800
arg,2020,23044918022000
arm,2012,3808226200000
arm,2013,4049210100000
arm,2014,4282291400000
arm,2015,4507832100000
arm,2016,4558489900000
arm,2017,4992418300000
arm,2018,5377810400000
arm,2019,5798012800000
arm,2020,5508743200000
atg,1977,189361235
atg,1978,212324222
atg,1979,262915943
atg,1980,314823772
atg,1981,352502683
atg,1982,388467053
atg,1983,434069051
atg,1984,497576685
atg,1985,574574597
atg,1986,672378380
atg,1987,784362127
atg,1988,929151865
atg,1989,1030925929
atg,1990,1076910000
atg,1991,1134320000
atg,1992,1173850000
atg,1993,1260570000
atg,1994,1384100000
atg,1995,1345780000
atg,1996,1470360000
atg,1997,1587940000
atg,1998,1705160000
atg,1999,1806910000
atg,2000,2004250000
atg,2001,1913960000
atg,2002,1935050000
atg,2003,2032270000
atg,2004,2142410000
atg,2005,2408230000
atg,2006,2707530000
atg,2007,3002840000
atg,2008,3178330000
atg,2009,2893590000
atg,2010,2663620000
atg,2011,2633980000
atg,2012,2762250000
atg,2013,2766200000
atg,2014,2926520000
atg,2015,3123180000
atg,2016,3359460000
atg,2017,3444610000
atg,2018,3785000000
atg,2019,4020610000
atg,2020,3223660000
aus,1990,374144000000
aus,1991,382331000000
aus,1992,388544000000
aus,1993,411506000000
aus,1994,432294000000
aus,1995,455248000000
aus,1996,485499000000
aus,1997,511116000000
aus,1998,541831000000
aus,1999,571523000000
aus,2000,609353000000
aus,2001,645267000000
aus,2002,691826000000
aus,2003,732318000000
aus,2004,788268000000
aus,2005,849613000000
aus,2006,919422000000
aus,2007,1003104000000
aus,2008,1089391000000
aus,2009,1177742000000
aus,2010,1212919000000
aus,2011,1325033000000
aus,2012,1407135000000
aus,2013,1440187000000
aus,2014,1494440000000
aus,2015,1514483000000
aus,2016,1540924000000
aus,2017,1639402000000
aus,2018,1718639000000
aus,2019,1819909000000
aus,2020,1857042000000
aut,1970,27041726000
aut,1971,30198930000
aut,1972,34463430000
aut,1973,36492390000
aut,1974,41872854000
aut,1975,44750525000
aut,1976,49683087000
aut,1977,54816766000
aut,1978,58138905000
aut,1979,63851711000
aut,1980,68556783000
aut,1981,72936208000
aut,1982,78514131000
aut,1983,83520573000
aut,1984,86913841000
aut,1985,91988614000
aut,1986,97268874000
aut,1987,101009402000
aut,1988,105646415000
aut,1989,113086551000
aut,1990,122097365000
aut,1991,130897979000
aut,1992,138369015000
aut,1993,143070709000
aut,1994,150301580000
aut,1995,158820630000
aut,1996,163219610000
aut,1997,168102790000
aut,1998,175075990000
aut,1999,181186530000
aut,2000,190624810000
aut,2001,197076600000
aut,2002,202353360000
aut,2003,207247670000
aut,2004,216098330000
aut,2005,225888120000
aut,2006,239076010000
aut,2007,253604660000
aut,2008,262414780000
aut,2009,256670970000
aut,2010,263633490000
aut,2011,276404000000
aut,2012,283548230000
aut,2013,288624220000
aut,2014,297230170000
aut,2015,307037680000
aut,2016,318952720000
aut,2017,329396200000
aut,2018,344338630000
aut,2019,355359020000
aze,1990,267700
aze,1991,504100
aze,1992,4406500
aze,1993,29880000
aze,1994,367357200
aze,1995,1968600000
aze,1996,2457600000
aze,1997,2924800000
aze,1998,3298900000
aze,1999,3625900000
aze,2000,4426900000
aze,2001,4897300000
aze,2002,5576300000
aze,2003,6596700000
aze,2004,7914500000
aze,2005,11576000000
aze,2006,17721800000
aze,2007,26490300000
aze,2008,37448600000
aze,2009,32791500000
aze,2010,39588500000
aze,2011,49026000000
aze,2012,51351700000
aze,2013,54304000000
aze,2014,54601100000
aze,2015,49521000000
aze,2016,55503700000
aze,2017,65333400000
aze,2018,73893700000
aze,2019,74533700000
aze,2020,65439700000
bdi,1960,9450000400
bdi,1961,9799999500
bdi,1962,10325000200
bdi,1963,11287499800
bdi,1964,12424999900
bdi,1965,12614200000
bdi,1966,13594400000
bdi,1967,14641000000
bdi,1968,14857000000
bdi,1969,15481000000
bdi,1970,19645300000
bdi,1971,20686600000
bdi,1972,20090700000
bdi,1973,22690900000
bdi,1974,25194200000
bdi,1975,30948100000
bdi,1976,35502800000
bdi,1977,42899700000
bdi,1978,48814100000
bdi,1979,62537000000
bdi,1980,76555000000
bdi,1981,82696000000
bdi,1982,84384100000
bdi,1983,94039700000
bdi,1984,107419000000
bdi,1985,126194000000
bdi,1986,123123000000
bdi,1987,128249000000
bdi,1988,135073000000
bdi,1989,155155000000
bdi,1990,177148000000
bdi,1991,189609000000
bdi,1992,202300000000
bdi,1993,204300000000
bdi,1994,203514000000
bdi,1995,218093000000
bdi,1996,245440900000
bdi,1997,304695649700
bdi,1998,371098315000
bdi,1999,452978681400
bdi,2000,575738855300
bdi,2001,687384707500
bdi,2002,727085196100
bdi,2003,785003086800
bdi,2004,929077931700
bdi,2005,1109117000000
bdi,2006,1200592000000
bdi,2007,1349988000000
bdi,2008,1753307000000
bdi,2009,2004800000000
bdi,2010,2270146000000
bdi,2011,2523720000000
bdi,2012,3029960000000
bdi,2013,3430308000000
bdi,2014,3749099000000
bdi,2015,4480196000000
bdi,2016,4477161000000
bdi,2017,4874771000000
bdi,2018,4831567000000
bdi,2019,4881221595600
bdi,2020,5262615132400
bel,1970,31122426000
bel,1971,34017048000
