geo,time,dc_oda_totl_kd
aus,1960,573243000
aus,1961,680161000
aus,1962,704127000
aus,1963,886839000
aus,1964,900224000
aus,1965,1039529000
aus,1966,1120840000
aus,1967,1319451000
aus,1968,1266088000
aus,1969,1409605000
aus,1970,1526469000
aus,1971,1432943000
aus,1972,1650265000
aus,1973,1317846000
aus,1974,1588249000
aus,1975,1945530000
aus,1976,1264922000
aus,1977,1348198000
aus,1978,1774970000
aus,1979,1775329000
aus,1980,1682122000
aus,1981,1476703000
aus,1982,2031042000
aus,1983,1797815000
aus,1984,1796575000
aus,1985,2060353000
aus,1986,2026661000
aus,1987,1509199000
aus,1988,2192320000
aus,1989,1858822000
aus,1990,1680685000
aus,1991,1812932000
aus,1992,1845074000
aus,1993,1853270000
aus,1994,1945855000
aus,1995,2046828000
aus,1996,1706561000
aus,1997,1751619000
aus,1998,1865898000
aus,1999,1831839000
aus,2000,1975280000
aus,2001,1888340000
aus,2002,1974710000
aus,2003,1977032000
aus,2004,2015959000
aus,2005,2144774000
aus,2006,2609154000
aus,2007,2829469000
aus,2008,2983572000
aus,2009,2943675000
aus,2010,3290942000
aus,2011,3645048000
aus,2012,3951681000
aus,2013,3755248000
aus,2014,3629247000
aus,2015,3493610000
aus,2016,3304582000
aut,1960,1289000
aut,1961,35623000
aut,1962,27103000
aut,1963,47820000
aut,1964,72815000
aut,1965,113719000
aut,1966,126954000
aut,1967,147438000
aut,1968,155785000
aut,1969,131552000
aut,1970,91993000
aut,1971,96555000
aut,1972,120546000
aut,1973,213929000
aut,1974,276612000
aut,1975,321265000
aut,1976,196999000
aut,1977,375111000
aut,1978,442841000
aut,1979,333558000
aut,1980,413985000
aut,1981,589980000
aut,1982,642799000
aut,1983,437882000
aut,1984,533746000
aut,1985,735390000
aut,1986,419430000
aut,1987,344895000
aut,1988,497194000
aut,1989,485039000
aut,1990,240761000
aut,1991,417389000
aut,1992,263558000
aut,1993,274089000
aut,1994,411895000
aut,1995,684796000
aut,1996,604540000
aut,1997,647406000
aut,1998,606817000
aut,1999,677265000
aut,2000,689720000
aut,2001,1003350000
aut,2002,773623000
aut,2003,618477000
aut,2004,741891000
aut,2005,1678681000
aut,2006,1553827000
aut,2007,1681644000
aut,2008,1485446000
aut,2009,1006022000
aut,2010,1107805000
aut,2011,952677000
aut,2012,1005270000
aut,2013,1015055000
aut,2014,1051808000
aut,2015,1323510000
aut,2016,1617786000
bel,1960,914806000
bel,1961,825472000
bel,1962,614279000
bel,1963,682144000
bel,1964,581735000
bel,1965,785976000
bel,1966,567702000
bel,1967,639849000
bel,1968,621183000
bel,1969,790737000
bel,1970,770721000
bel,1971,872358000
bel,1972,982043000
bel,1973,986820000
bel,1974,1013609000
bel,1975,1187287000
bel,1976,1043151000
bel,1977,982786000
bel,1978,1195287000
bel,1979,1276106000
bel,1980,1132250000
bel,1981,1320616000
bel,1982,1312477000
bel,1983,1334883000
bel,1984,1331767000
bel,1985,1292115000
bel,1986,1173200000
bel,1987,1212329000
bel,1988,1021410000
bel,1989,1222640000
bel,1990,1275565000
bel,1991,1184224000
bel,1992,1128001000
bel,1993,1085681000
bel,1994,924692000
bel,1995,1144618000
bel,1996,1057014000
bel,1997,1011367000
bel,1998,1165872000
bel,1999,1040917000
bel,2000,1272530000
bel,2001,1357129000
bel,2002,1567049000
bel,2003,2217257000
bel,2004,1561050000
bel,2005,2049934000
bel,2006,1997559000
bel,2007,1770819000
bel,2008,2016029000
bel,2009,2265796000
bel,2010,2690231000
bel,2011,2347972000
bel,2012,2051755000
bel,2013,1950321000
bel,2014,2062890000
bel,2015,1904190000
bel,2016,2271775000
can,1960,432152000
can,1961,418665000
can,1962,299576000
can,1963,459638000
can,1964,538681000
can,1965,643570000
can,1966,1223718000
can,1967,1184242000
can,1968,1132968000
can,1969,1197485000
can,1970,1740274000
can,1971,1857467000
can,1972,2067189000
can,1973,2092320000
can,1974,2468676000
can,1975,2851376000
can,1976,2544151000
can,1977,2873308000
can,1978,3091156000
can,1979,2874031000
can,1980,2655131000
can,1981,2716737000
can,1982,2585351000
can,1983,2917583000
can,1984,3366498000
can,1985,3449364000
can,1986,3538052000
can,1987,3585170000
can,1988,3962731000
can,1989,3598875000
can,1990,3650677000
can,1991,3666024000
can,1992,3679953000
can,1993,3698827000
can,1994,3617829000
can,1995,3265857000
can,1996,2770966000
can,1997,3168358000
can,1998,2837838000
can,1999,2788000000
can,2000,2729693000
can,2001,2461065000
can,2002,3222778000
can,2003,2820115000
can,2004,3247917000
can,2005,4238083000
can,2006,3790999000
can,2007,3849273000
can,2008,4353754000
can,2009,3944619000
can,2010,4512826000
can,2011,4393470000
can,2012,4538773000
can,2013,4034643000
can,2014,3643954000
can,2015,4277230000
can,2016,4056207000
che,1960,71289000
che,1961,154641000
che,1962,90738000
che,1963,109435000
che,1964,154113000
che,1965,190805000
che,1966,200411000
che,1967,191852000
che,1968,345868000
che,1969,415916000
che,1970,400756000
che,1971,329493000
che,1972,636419000
che,1973,491651000
che,1974,448630000
