global,time,en_atm_pm25_mc_zs
world,1990,95.31768
world,1995,95.17582
world,2000,95.21341
world,2005,95.43797
world,2010,95.14473
world,2011,95.77382
world,2012,94.47639
world,2013,93.738
world,2014,92.67384
world,2015,92.60178
world,2016,91.3253
world,2017,91.30905
