geo,time,ne_con_prvt_cn_ad
aut,1994,94112944000
aut,1995,97026180000
aut,1996,101324850000
aut,1997,103349520000
aut,1998,106624210000
aut,1999,109328870000
aut,2000,115062780000
aut,2001,119328670000
aut,2002,121393830000
aut,2003,125399050000
aut,2004,130533510000
aut,2005,136717080000
aut,2006,142523450000
aut,2007,147713240000
aut,2008,152242920000
aut,2009,154050450000
aut,2010,158310360000
aut,2011,165545870000
aut,2012,170351320000
aut,2013,173819480000
aut,2014,177888190000
aut,2015,181370780000
aut,2016,186892549999.99896
aut,2017,193948720000
aut,2018,200085440000.00101
aut,2019,204942350000
aut,2020,190133780000
aze,1990,154200
aze,1991,271300
aze,1992,3077100
aze,1993,20627200
aze,1994,290670800
aze,1995,1799800000
aze,1996,2396000000
aze,1997,2351900000
aze,1998,2752600000
aze,1999,2860600000
aze,2000,3039000000
aze,2001,3268900000
aze,2002,3813400000
aze,2003,4285200000
aze,2004,4760900000
aze,2005,5274600000
aze,2006,6955400000
aze,2007,9472800000.00003
aze,2008,13420100000
aze,2009,15222000000
aze,2010,16715300000
aze,2011,19405000000
aze,2012,21607899999.9999
aze,2013,24380000000
aze,2014,26814600000
aze,2015,30828100000
aze,2016,35474700000
aze,2017,40505000000
aze,2018,43362300000
aze,2019,47095799999.9999
aze,2020,43863400000
bdi,1990,225041971875.98401
bdi,1991,242994108300.52496
bdi,1992,251623030702.85199
bdi,1993,239907079490.75296
bdi,1994,269202771095.04297
bdi,1995,272816857385.83096
bdi,1996,263988110578.33401
bdi,1997,343970104457.47998
bdi,1998,430030151757.01801
bdi,1999,471543404056.32703
bdi,2000,578890193100
bdi,2001,659641498300
bdi,2002,719226261400
bdi,2003,758446572100
bdi,2004,887671939900
bdi,2005,1092252576000
bdi,2006,1232446000000
bdi,2007,1335379000000
bdi,2008,1769543000000
bdi,2009,1839227000000
bdi,2010,2026839000000
bdi,2011,2429148000000
bdi,2012,2850024000000
bdi,2013,3396177000000
bdi,2014,3578175000000
bdi,2015,3680070000000
bdi,2016,3798389701700
bdi,2017,4184824000800
bdi,2018,4218679226900
bdi,2019,4310477455000
bdi,2020,4644655505600
bel,1990,92154028000
bel,1991,97608424000
bel,1992,101295645000
bel,1993,103410345000
bel,1994,108279760000
bel,1995,111685700000
bel,1996,114598300000
bel,1997,118020900000
bel,1998,123097200000
bel,1999,126176400000
bel,2000,134116100000
bel,2001,138526000000
bel,2002,140825900000
bel,2003,143956100000
bel,2004,149126900000
bel,2005,155602700000
