geo,time,st_int_dprt
ago,1995,3000
ago,1996,3000
alb,2001,955000
alb,2002,1303000
alb,2003,1350000
alb,2004,1694000
alb,2005,2097000
alb,2006,2616000
alb,2007,2979000
alb,2008,3716000
alb,2009,3404000
alb,2010,3443000
alb,2011,4120000
alb,2012,3959000
alb,2013,3928000
alb,2014,4146000
alb,2015,4504000
alb,2016,4852000
alb,2017,5186000
alb,2018,5415000
alb,2019,5922000
alb,2020,2907000
are,2015,17890000
are,2016,18728000
are,2017,18866000
are,2018,18967000
are,2019,18906000
are,2020,6458000
arg,2004,4436000
arg,2005,4481000
arg,2006,4533000
arg,2007,4928000
arg,2008,5425000
arg,2009,5793000
arg,2010,6083000
arg,2011,7676000
arg,2012,8295000
arg,2013,9844000
arg,2014,10022000
arg,2015,13159000
arg,2016,18645000
arg,2017,21583000
arg,2018,18411000
arg,2019,15352000
arm,2000,111000
arm,2001,110000
arm,2002,131000
arm,2003,169000
arm,2004,221000
arm,2005,269000
arm,2006,329000
arm,2007,468000
arm,2008,516000
arm,2009,526000
arm,2010,563000
arm,2011,715000
arm,2012,965000
arm,2013,1083000
arm,2014,1198000
arm,2015,1187000
arm,2016,1263000
arm,2017,1482000
arm,2018,1623000
arm,2019,1868000
arm,2020,346000
aus,1995,2519000
aus,1996,2732000
aus,1997,2933000
aus,1998,3161000
aus,1999,3210000
aus,2000,3498000
aus,2001,3443000
aus,2002,3461000
aus,2003,3388000
aus,2004,4369000
aus,2005,4756000
aus,2006,4941000
aus,2007,5462000
aus,2008,5808000
aus,2009,6276000
aus,2010,7103000
aus,2011,7788000
aus,2012,8212000
aus,2013,9052000
aus,2014,9480000
aus,2015,9810000
aus,2016,10390000
aus,2017,10932000
aus,2018,11403000
aus,2019,11624000
aus,2020,2832000
aut,2000,7528000
aut,2001,8350000
aut,2002,8266000
aut,2003,8384000
aut,2004,8371000
aut,2005,8206000
aut,2006,10042000
aut,2007,9876000
aut,2008,9677000
aut,2009,10121000
aut,2010,9882000
aut,2011,9874000
aut,2012,10960000
aut,2013,10671000
aut,2014,10994000
aut,2015,10628000
aut,2016,11534000
aut,2017,11491000
aut,2018,11043000
aut,2019,11902000
aut,2020,3964000
aze,1996,432000
aze,1997,654000
aze,1998,1146000
aze,1999,1204000
aze,2000,1326000
aze,2001,1130000
aze,2002,1141000
aze,2003,1475000
aze,2004,1473000
aze,2005,1830000
aze,2006,1836000
aze,2007,1631000
aze,2008,2162000
aze,2009,2363000
aze,2010,3176000
aze,2011,3550000
aze,2012,3874000
aze,2013,4285000
aze,2014,4244000
aze,2015,4096000
aze,2016,4282000
aze,2017,4109000
aze,2018,4908000
aze,2019,5568000
aze,2020,1165000
bdi,1995,36000
bdi,1996,35000
bdi,1997,10000
bdi,1998,16000
bdi,1999,27000
bdi,2000,28000
bdi,2001,35000
bel,1996,5645000
bel,1997,7548000
bel,1998,7776000
bel,1999,6410000
bel,2000,7932000
bel,2001,6570000
bel,2002,6773000
bel,2003,7268000
bel,2004,8783000
bel,2005,9327000
bel,2006,7852000
bel,2007,8371000
bel,2008,8887000
bel,2009,8775000
bel,2010,8801000
bel,2011,9727000
bel,2012,9576000
bel,2013,10803000
bel,2014,10991000
bel,2015,10835000
bel,2016,13372000
bel,2017,12142000
bel,2018,13098000
bel,2019,14191000
bel,2020,5850000
bgd,1995,830000
bgd,1996,911000
bgd,1997,866000
bgd,1998,992000
bgd,1999,1103000
bgd,2000,1128000
bgd,2001,1075000
bgd,2002,1158000
bgd,2003,1414000
bgd,2004,1565000
bgd,2005,1767000
bgd,2006,1819000
bgd,2007,2327000
bgd,2008,875000
bgd,2009,2254000
bgd,2010,1913000
bgd,2011,2127000
bgd,2012,2273000
bgd,2013,1460000
bgr,1995,3524000
bgr,1996,3006000
bgr,1997,3059000
bgr,1998,2592000
bgr,1999,2376000
bgr,2000,2337000
bgr,2001,2730000
bgr,2002,3188000
bgr,2003,3403000
bgr,2004,3882000
bgr,2005,4235000
bgr,2006,4180000
bgr,2007,4515000
bgr,2008,5727000
bgr,2009,4993000
bgr,2010,3676000
bgr,2011,3803000
bgr,2012,3758000
bgr,2013,3930000
bgr,2014,4158000
bgr,2015,4632000
bgr,2016,5392000
bgr,2017,6228000
bgr,2018,6699000
bgr,2019,7007000
bgr,2020,3973000
bhr,2015,4741000
bhr,2016,3293000
bhr,2017,3136000
bhr,2018,2868000
bhr,2019,2950000
blr,2000,4747000
blr,2001,4008000
blr,2002,6160000
blr,2003,6518000
blr,2004,6924000
blr,2005,6596000
blr,2006,6811000
blr,2007,7512000
blr,2008,6323000
blr,2009,6440000
blr,2010,7464000
blr,2011,7542000
blr,2012,8427000
blr,2013,8841000
blr,2014,7236000
blr,2015,6972000
blr,2016,8340000
blr,2017,9209000
blr,2018,9326000
blr,2019,9221000
blr,2020,2810000
bmu,2001,140000
bmu,2002,145000
bmu,2003,141000
bmu,2004,156000
bmu,2005,161000
bmu,2006,170000
bmu,2007,181000
bmu,2008,192000
bol,1995,249000
bol,1996,269000
bol,1997,285000
bol,1998,299000
bol,1999,253000
bol,2000,201000
bol,2001,222000
bol,2002,217000
bol,2003,304000
bol,2004,346000
bol,2005,386000
bol,2006,472000
bol,2007,526000
bol,2008,589000
bol,2009,518000
bol,2010,604000
bol,2011,775000
bol,2012,788000
bol,2013,837000
bol,2014,932000
bol,2015,965000
