geo,time,sh_dth_mort
afg,1966,161659
afg,1967,162579
afg,1968,163573
afg,1969,164638
afg,1970,165430
afg,1971,166326
afg,1972,167042
afg,1973,167581
afg,1974,167764
afg,1975,167508
afg,1976,166678
afg,1977,165169
afg,1978,162749
afg,1979,159445
afg,1980,155527
afg,1981,150725
afg,1982,145220
afg,1983,139324
afg,1984,133190
afg,1985,127325
afg,1986,122025
afg,1987,117478
afg,1988,114006
afg,1989,111593
afg,1990,110441
afg,1991,110384
afg,1992,111348
afg,1993,113046
afg,1994,115248
afg,1995,117726
afg,1996,120114
afg,1997,122200
afg,1998,123907
afg,1999,125086
afg,2000,125549
afg,2001,125380
afg,2002,124472
afg,2003,123034
afg,2004,121027
afg,2005,118653
afg,2006,115865
afg,2007,112714
afg,2008,109221
afg,2009,105530
afg,2010,101658
afg,2011,97717
afg,2012,93811
afg,2013,90018
afg,2014,86438
afg,2015,83000
afg,2016,79812
afg,2017,76996
afg,2018,74352
afg,2019,72026
afg,2020,69714
ago,1985,106721
ago,1986,110028
ago,1987,113693
ago,1988,117531
ago,1989,121336
ago,1990,125306
ago,1991,129175
ago,1992,133137
ago,1993,136979
ago,1994,140734
ago,1995,144104
ago,1996,146944
ago,1997,149207
ago,1998,150828
ago,1999,152070
ago,2000,152626
ago,2001,152636
ago,2002,151954
ago,2003,150464
ago,2004,147901
ago,2005,144834
ago,2006,140794
ago,2007,136584
ago,2008,131901
ago,2009,127021
ago,2010,122204
ago,2011,117349
ago,2012,112401
ago,2013,107928
ago,2014,104029
ago,2015,100744
ago,2016,98196
ago,2017,96078
ago,2018,94007
ago,2019,92107
ago,2020,90589
alb,1983,4767
alb,1984,4494
alb,1985,4249
alb,1986,4031
alb,1987,3829
alb,1988,3635
alb,1989,3445
alb,1990,3259
alb,1991,3075
alb,1992,2890
alb,1993,2702
alb,1994,2514
alb,1995,2326
alb,1996,2139
alb,1997,1955
alb,1998,1776
alb,1999,1607
alb,2000,1449
alb,2001,1302
alb,2002,1166
alb,2003,1038
alb,2004,921
alb,2005,815
alb,2006,723
alb,2007,644
alb,2008,577
alb,2009,520
alb,2010,473
alb,2011,432
alb,2012,398
alb,2013,372
alb,2014,352
alb,2015,339
alb,2016,331
alb,2017,327
alb,2018,326
alb,2019,327
alb,2020,327
and,1990,10
and,1991,10
and,1992,9
and,1993,9
and,1994,8
and,1995,8
and,1996,7
and,1997,7
and,1998,6
and,1999,6
and,2000,6
and,2001,6
and,2002,5
and,2003,5
and,2004,5
and,2005,5
and,2006,5
and,2007,4
and,2008,4
and,2009,4
and,2010,4
and,2011,3
and,2012,3
and,2013,3
and,2014,3
and,2015,2
and,2016,2
and,2017,2
and,2018,2
and,2019,2
and,2020,1
are,1965,860
are,1966,859
are,1967,858
are,1968,856
are,1969,855
are,1970,856
are,1971,862
are,1972,871
are,1973,885
are,1974,900
are,1975,917
are,1976,933
are,1977,947
are,1978,957
are,1979,963
are,1980,962
are,1981,957
are,1982,949
are,1983,937
are,1984,923
are,1985,905
are,1986,883
are,1987,860
are,1988,832
are,1989,804
are,1990,775
are,1991,745
are,1992,715
are,1993,686
are,1994,659
are,1995,634
are,1996,614
are,1997,597
are,1998,584
are,1999,577
are,2000,576
are,2001,582
are,2002,594
are,2003,612
are,2004,635
are,2005,662
are,2006,691
are,2007,722
are,2008,749
are,2009,770
are,2010,784
are,2011,791
are,2012,792
are,2013,789
are,2014,780
are,2015,767
are,2016,748
are,2017,726
are,2018,703
are,2019,680
are,2020,658
arg,1974,39830
arg,1975,39394
arg,1976,38302
arg,1977,36567
arg,1978,34296
arg,1979,31714
arg,1980,29167
arg,1981,26906
arg,1982,24982
arg,1983,23335
arg,1984,21968
arg,1985,20984
arg,1986,20458
arg,1987,20307
arg,1988,20374
arg,1989,20516
arg,1990,20549
arg,1991,20316
arg,1992,19811
arg,1993,19123
arg,1994,18329
arg,1995,17498
arg,1996,16679
arg,1997,15913
arg,1998,15217
arg,1999,14601
arg,2000,14067
arg,2001,13604
arg,2002,13180
arg,2003,12766
arg,2004,12353
arg,2005,11983
arg,2006,11690
arg,2007,11453
arg,2008,11229
arg,2009,10981
arg,2010,10683
arg,2011,10320
arg,2012,9912
arg,2013,9491
arg,2014,9077
arg,2015,8656
arg,2016,8219
arg,2017,7767
arg,2018,7309
arg,2019,6854
arg,2020,6436
arm,1981,5187
arm,1982,5116
arm,1983,5039
arm,1984,4942
arm,1985,4823
arm,1986,4675
arm,1987,4495
arm,1988,7514
arm,1989,4015
arm,1990,3746
arm,1991,3443
arm,1992,3123
arm,1993,2798
arm,1994,2480
arm,1995,2182
arm,1996,1918
arm,1997,1689
arm,1998,1500
arm,1999,1351
arm,2000,1238
arm,2001,1156
arm,2002,1098
arm,2003,1054
arm,2004,1018
arm,2005,985
arm,2006,952
arm,2007,917
arm,2008,882
arm,2009,846
arm,2010,807
arm,2011,767
arm,2012,727
arm,2013,687
arm,2014,649
arm,2015,611
arm,2016,575
arm,2017,538
arm,2018,503
arm,2019,469
arm,2020,437
atg,1960,150
atg,1961,141
atg,1962,131
atg,1963,120
atg,1964,109
atg,1965,98
atg,1966,88
atg,1967,78
atg,1968,70
atg,1969,62
atg,1970,55
atg,1971,49
atg,1972,44
atg,1973,39
atg,1974,35
atg,1975,31
atg,1976,28
atg,1977,25
atg,1978,22
atg,1979,20
atg,1980,19
atg,1981,17
atg,1982,17
atg,1983,16
atg,1984,16
atg,1985,16
atg,1986,15
atg,1987,15
atg,1988,16
atg,1989,16
atg,1990,16
atg,1991,17
atg,1992,18
atg,1993,19
atg,1994,19
atg,1995,20
atg,1996,21
atg,1997,22
atg,1998,23
atg,1999,23
atg,2000,23
atg,2001,22
atg,2002,22
atg,2003,21
atg,2004,20
atg,2005,19
atg,2006,18
atg,2007,17
atg,2008,16
atg,2009,15
atg,2010,15
atg,2011,14
atg,2012,13
atg,2013,13
atg,2014,12
atg,2015,11
atg,2016,11
atg,2017,11
atg,2018,10
atg,2019,10
atg,2020,9
aus,1960,5562
aus,1961,5487
aus,1962,5405
aus,1963,5324
aus,1964,5256
aus,1965,5211
aus,1966,5198
aus,1967,5222
aus,1968,5266
aus,1969,5300
aus,1970,5293
aus,1971,5222
aus,1972,5070
aus,1973,4837
aus,1974,4538
aus,1975,4201
aus,1976,3864
aus,1977,3560
aus,1978,3304
aus,1979,3104
aus,1980,2958
aus,1981,2859
aus,1982,2797
aus,1983,2756
aus,1984,2722
aus,1985,2685
aus,1986,2637
aus,1987,2578
aus,1988,2503
aus,1989,2412
aus,1990,2307
aus,1991,2192
aus,1992,2077
aus,1993,1968
aus,1994,1871
aus,1995,1790
aus,1996,1721
aus,1997,1663
aus,1998,1613
aus,1999,1569
aus,2000,1530
aus,2001,1503
aus,2002,1491
aus,2003,1492
aus,2004,1501
aus,2005,1510
aus,2006,1515
aus,2007,1510
aus,2008,1492
aus,2009,1461
aus,2010,1419
aus,2011,1370
aus,2012,1319
aus,2013,1272
aus,2014,1236
aus,2015,1212
aus,2016,1198
aus,2017,1191
aus,2018,1187
aus,2019,1183
aus,2020,1176
aut,1960,5426
aut,1961,5191
aut,1962,4965
aut,1963,4753
aut,1964,4553
aut,1965,4356
aut,1966,4162
aut,1967,3970
aut,1968,3788
aut,1969,3626
aut,1970,3477
aut,1971,3309
aut,1972,3098
aut,1973,2839
aut,1974,2540
aut,1975,2232
aut,1976,1963
aut,1977,1758
aut,1978,1610
aut,1979,1503
aut,1980,1423
aut,1981,1356
aut,1982,1295
aut,1983,1233
aut,1984,1169
aut,1985,1102
aut,1986,1035
aut,1987,970
aut,1988,914
aut,1989,872
aut,1990,840
aut,1991,808
aut,1992,767
aut,1993,716
aut,1994,660
aut,1995,604
aut,1996,554
aut,1997,515
aut,1998,486
aut,1999,464
aut,2000,449
aut,2001,435
aut,2002,423
aut,2003,409
aut,2004,395
aut,2005,380
aut,2006,367
aut,2007,358
aut,2008,351
aut,2009,345
aut,2010,338
aut,2011,330
aut,2012,321
aut,2013,313
aut,2014,308
aut,2015,305
aut,2016,305
aut,2017,306
aut,2018,310
aut,2019,316
aut,2020,322
aze,1987,19312
aze,1988,19377
aze,1989,19413
aze,1990,19394
aze,1991,19297
aze,1992,19068
aze,1993,18608
aze,1994,17909
aze,1995,16967
aze,1996,15825
aze,1997,14548
aze,1998,13227
aze,1999,11931
aze,2000,10741
aze,2001,9713
aze,2002,8829
aze,2003,8102
aze,2004,7524
aze,2005,7060
aze,2006,6714
aze,2007,6448
aze,2008,6246
aze,2009,6074
aze,2010,5908
aze,2011,5728
aze,2012,5513
aze,2013,5257
aze,2014,4964
aze,2015,4646
aze,2016,4304
aze,2017,3955
aze,2018,3649
aze,2019,3362
aze,2020,3103
bdi,1969,38758
bdi,1970,39595
bdi,1971,40318
bdi,1972,52739
bdi,1973,41563
bdi,1974,42586
bdi,1975,43615
bdi,1976,44563
bdi,1977,45219
bdi,1978,45478
bdi,1979,45338
bdi,1980,44854
bdi,1981,44041
bdi,1982,43135
bdi,1983,42153
bdi,1984,41319
bdi,1985,40933
bdi,1986,40982
bdi,1987,41468
bdi,1988,42313
bdi,1989,43393
bdi,1990,44470
bdi,1991,45367
bdi,1992,46059
bdi,1993,52320
bdi,1994,46342
bdi,1995,46168
bdi,1996,45645
bdi,1997,44922
bdi,1998,43953
bdi,1999,42898
bdi,2000,41890
bdi,2001,40997
bdi,2002,40166
bdi,2003,39391
bdi,2004,38607
bdi,2005,37617
bdi,2006,36555
bdi,2007,35469
bdi,2008,34397
bdi,2009,33323
bdi,2010,32252
