geo,time,sl_tlf_acti_1524_ma_ne_zs
abw,1991,50.43
abw,2007,49.77
afg,1979,91.26
afg,2008,71.96
afg,2012,62.83
afg,2014,67.29
afg,2017,58.57
afg,2020,52.48
ago,1960,83.99
ago,2004,49.8
ago,2009,45.05
ago,2010,55.46
ago,2011,57.98
ago,2014,28.96
alb,2002,55.83
alb,2007,37.01
alb,2008,37.64
alb,2009,39.91
alb,2010,39.92
alb,2011,51.66
alb,2012,43.89
alb,2013,36.52
alb,2014,37.37
alb,2015,39.15
alb,2016,36.73
alb,2017,37.49
alb,2018,43.34
alb,2019,43.21
are,1975,86.88
are,2005,64.6
are,2008,56.9
are,2017,63.04
are,2018,65.17
are,2019,60.15
are,2020,44.73
arg,1960,80.74
arg,1970,72.99
arg,1977,66.37
arg,1978,65.24
arg,1979,64.1
arg,1980,67.99
arg,1983,74.19
arg,1985,72.6
arg,1987,72.04
arg,1989,71.07
arg,1990,70.97
arg,1991,59.33
arg,1992,64.4
arg,1993,63.6
arg,1994,64.5
arg,1995,63.15
arg,1996,64.4
arg,1997,61.3
arg,1998,59
arg,1999,57.7
arg,2004,54.98
arg,2005,53.66
arg,2006,52.72
arg,2007,52.5
arg,2008,50.07
arg,2009,50.66
arg,2010,49.53
arg,2011,49.63
arg,2012,49.42
arg,2013,48.98
arg,2014,46.56
arg,2017,46.71
arg,2018,46.24
arg,2019,45.68
arg,2020,38.56
arm,1997,27.93
arm,2007,33
arm,2008,36.59
arm,2011,48.98
arm,2012,37.18
arm,2013,47.7
arm,2014,42.82
arm,2015,43.78
arm,2016,39.22
arm,2017,37.22
arm,2018,40.24
arm,2019,39.79
arm,2020,36.87
asm,1960,43.69
asm,1974,28.58
asm,1980,23.53
asm,1990,33.69
atg,1970,75.97
atg,2001,56.22
aus,1961,81.4
aus,1966,78.56
aus,1971,72.3
aus,1976,71.82
aus,1979,76.99
aus,1980,78.08
aus,1981,78.71
aus,1982,78.04
aus,1983,76.62
aus,1984,75.78
aus,1985,75.58
aus,1986,75.93
aus,1987,74.82
aus,1988,74.66
aus,1989,75.4
aus,1990,75.27
aus,1991,72.55
aus,1992,72.21
aus,1993,71.65
aus,1994,72.94
aus,1995,73.66
aus,1996,73.78
aus,1997,72.53
aus,1998,72.07
aus,1999,71.83
aus,2000,71.86
aus,2001,72.23
aus,2002,71.68
aus,2003,71.4
aus,2004,71.17
aus,2005,72.01
aus,2006,72.07
aus,2007,71.79
aus,2008,71.97
aus,2009,70.41
aus,2010,69.61
aus,2011,68.78
aus,2012,68.23
aus,2013,67.37
aus,2014,66.88
aus,2015,67.8
aus,2016,67.2
aus,2017,67.41
aus,2018,68.13
aus,2019,68.26
aus,2020,65.96
aus,2021,68.14
aut,1961,85.09
aut,1971,76.85
aut,1980,66.36
aut,1981,73.54
aut,1982,66.1
aut,1983,66.28
aut,1984,68.72
aut,1985,67.99
aut,1986,68.64
aut,1987,69.68
aut,1988,67.62
aut,1989,66.09
aut,1990,66.28
aut,1991,66.55
aut,1992,66.86
aut,1993,64.99
aut,1994,65.34
aut,1995,64.61
aut,1996,62.9
aut,1997,61.41
aut,1998,61.66
aut,1999,62.64
aut,2000,60.74
aut,2001,59.29
aut,2002,60.54
aut,2003,59.7
aut,2004,60.19
aut,2005,61.95
aut,2006,61.85
aut,2007,62.86
aut,2008,62.9
aut,2009,62.86
aut,2010,62.61
aut,2011,63.65
aut,2012,63.12
aut,2013,62.27
aut,2014,60.7
aut,2015,60.69
aut,2016,60.25
aut,2017,58.43
aut,2018,59.49
aut,2019,60.32
aut,2020,59.47
aze,1999,53.41
aze,2007,41.59
aze,2008,38.28
aze,2009,33.03
aze,2010,25.25
aze,2011,34.04
bdi,1979,89.81
bdi,1986,77.2
bdi,1990,78.65
bdi,1998,67.77
bdi,2008,44.94
bdi,2014,46.97
bel,1961,67.9
bel,1970,62.24
bel,1981,23.1
bel,1983,45.98
bel,1984,43.67
bel,1985,43.19
bel,1986,43.87
bel,1987,42.81
bel,1988,38.54
bel,1989,38.2
bel,1990,37.03
bel,1991,37.58
bel,1992,36.71
bel,1993,36.12
bel,1994,37.33
bel,1995,36
bel,1996,35.55
bel,1997,34.65
bel,1998,35.75
bel,1999,35.54
bel,2000,38.72
bel,2001,37.16
bel,2002,37.32
bel,2003,38.05
bel,2004,35.84
bel,2005,37.63
bel,2006,37.38
bel,2007,36.12
bel,2008,35.97
bel,2009,34.9
bel,2010,35.18
bel,2011,34.13
bel,2012,34.96
bel,2013,33.66
bel,2014,32.25
bel,2015,32.8
bel,2016,30.69
bel,2017,30.63
bel,2018,31.44
bel,2019,32.46
bel,2020,30.27
ben,1975,84.46
ben,1979,70.24
ben,1986,69.17
ben,1992,79.03
ben,2001,38.08
ben,2002,57.5
ben,2003,46.26
ben,2010,36.4
ben,2011,38.44
