geo,time,gc_dod_totl_gd_zs
alb,1995,35.7569
alb,1996,37.48106
alb,1997,53.10782
alb,1998,55.5657
alb,2011,69.63767
alb,2012,63.66915
alb,2013,70.58077
alb,2014,73.32023
alb,2015,79.86442
alb,2016,80.73558
are,2013,1.89352
aus,1990,12.23154
aus,1991,11.9215
aus,1992,14.14719
aus,1993,17.87433
aus,1994,20.18846
aus,1995,21.69507
aus,1996,21.82485
aus,1997,20.87524
aus,1998,16.88891
aus,1999,31.11025
aus,2000,29.56529
aus,2001,0.02776
aus,2002,0.02594
aus,2003,0.02513
aus,2004,0.02291
aus,2005,0.02245
aus,2006,0.0216
aus,2007,0.0203
aus,2008,0.01838
aus,2009,0.02405
aus,2010,0.02922
aus,2011,0.03056
aus,2012,0.0399
aus,2013,0.03804
aus,2014,0.04221
aus,2015,0.04699
aus,2016,0.05475
aze,2008,4.57654
aze,2009,6.29501
aze,2010,6.38558
bdi,1991,88.79366
bdi,1992,103.99158
bdi,1993,117.63098
bdi,1994,117.01259
bdi,1995,128.91922
bdi,1996,144.09768
bdi,1997,134.24708
bdi,1998,151.27721
bdi,1999,162.56144
bgd,2001,31.46184
bgd,2002,31.86399
bgd,2003,31.20445
bhr,1990,8.72736
bhr,1991,16.37956
bhr,1992,21.29982
bhr,1993,19.34741
bhr,1994,17.88
bhr,1995,16.98645
bhr,1996,15.8131
bhr,1997,16.96058
bhr,1998,21.16468
bhr,1999,23.69151
bhr,2000,25.74501
bhr,2001,27.10478
bhr,2002,28.37967
bhr,2003,32.45336
bhr,2004,29.39856
bhs,1990,24.41883
bhs,1991,27.9767
bhs,1992,30.63043
bhs,1993,34.43402
bhs,1994,34.86652
bhs,1995,33.99825
bhs,1996,34.22278
bhs,1997,21.7238
bhs,1998,20.95173
bhs,1999,19.64114
bhs,2000,18.752
bhs,2006,23.47023
bhs,2007,23.25505
bhs,2008,25.45031
bhs,2009,30.90346
bhs,2010,33.68657
bhs,2011,35.28087
bhs,2012,36.43201
bhs,2013,44.68267
bhs,2014,46.29333
bhs,2015,47.55984
bhs,2016,51.18835
bih,2011,45.83469
bih,2012,49.09026
bih,2016,52.86811
blr,1992,25.76087
blr,1993,5.18782
blr,1994,75.95571
blr,1995,16.88006
blr,1996,11.52013
blr,1997,12.17147
blr,1998,20.18054
blr,1999,15.10312
blr,2000,15.01445
blr,2001,11.44062
blr,2002,12.33669
blr,2005,6.57022
blr,2006,6.6444
blr,2007,8.90926
blr,2008,10.65663
blr,2009,18.55746
blr,2010,18.90525
blr,2011,39.41681
blr,2012,24.42931
blr,2013,23.8373
blr,2014,24.54873
blr,2015,37.59818
blr,2016,39.96015
blz,1990,28.12905
blz,1991,28.64348
blz,1992,32.93979
blz,1993,35.30465
blz,1994,37.14155
blz,1995,36.29438
blz,1996,38.81557
blz,2002,67.8036
blz,2003,88.60717
blz,2004,104.62973
blz,2005,93.17792
blz,2006,88.15601
blz,2007,86.00395
blz,2008,79.80383
blz,2009,83.22748
blz,2010,81.32843
blz,2011,78.2534
blz,2012,76.96362
blz,2013,78.77619
blz,2014,78.26783
bol,1994,59.17172
bol,1995,57.41138
bol,1996,47.88281
bol,1997,46.53651
bol,1998,47.07519
bol,1999,56.25758
bol,2000,60.1092
bol,2001,68.33985
bra,2006,63.95236
bra,2007,62.45168
bra,2008,60.65593
bra,2009,63.80783
bra,2010,61.31878
bra,2011,59.34166
bra,2012,59.84949
bra,2013,57.22841
bra,2014,58.45727
bra,2015,67.53755
bra,2016,73.4188
brb,2005,63.79162
brb,2006,62.36645
brb,2007,66.82689
brb,2008,71.1687
brb,2009,86.87973
brb,2010,95.72464
brb,2011,100.25053
brb,2012,112.77597
brb,2013,120.48633
brb,2014,129.6253
brb,2015,141.72881
btn,1990,53.34636
btn,1991,49.38629
btn,1992,47.48335
btn,1993,40.9408
btn,1994,34.44202
btn,1995,28.26395
btn,1996,37.85328
btn,1997,31.93675
btn,1998,31.08263
btn,1999,36.09336
btn,2000,40.48037
btn,2001,72.20845
btn,2002,58.12227
btn,2003,70.83735
btn,2004,77.45802
btn,2005,81.72262
btn,2006,76.82951
btn,2007,64.28857
btn,2008,61.91206
btn,2009,58.19082
btn,2010,56.21183
btn,2011,64.04672
btn,2012,74.24221
btn,2013,98.44489
btn,2014,93.11033
btn,2015,93.96923
btn,2016,110.6769
bwa,1990,11.3711
bwa,1991,12.1168
bwa,1992,12.53215
bwa,1993,12.44506
bwa,1994,12.0424
bwa,1995,10.97208
bwa,1996,11.15676
bwa,2006,5.89361
bwa,2007,5.74119
bwa,2008,7.84731
bwa,2009,18.97312
bwa,2010,21.63069
bwa,2011,20.74318
bwa,2012,19.94555
bwa,2013,18.21243
bwa,2014,18.10963
bwa,2015,19.01948
bwa,2016,15.80495
che,1990,12.31497
che,1991,13.0334
che,1992,15.21884
che,1993,18.42905
che,1994,20.05116
che,1995,22.47631
che,1996,22.87973
che,1997,24.89563
che,1998,27.09639
che,1999,24.95147
che,2000,25.60436
che,2001,24.50448
che,2002,29.53208
che,2003,28.61491
che,2004,29.15749
che,2005,29.16686
che,2006,25.58855
che,2007,23.34254
che,2008,22.98091
che,2009,21.58062
che,2010,20.8589
che,2011,20.99849
che,2012,21.0902
che,2013,19.95432
che,2014,20.32706
che,2015,20.22385
che,2016,19.04574
civ,1995,171.06544
cod,1990,289.84473
cod,1991,113.58467
cod,1992,128.44471
cod,1993,104.00211
cod,1994,169.78661
cod,1995,232.93623
cod,1996,243.59551
cod,1997,152.187
cog,2009,60.22694
cog,2010,25.48268
col,1998,5.40392
col,1999,19.06535
col,2000,17.70902
col,2003,52.53542
col,2008,65.24508
col,2009,68.999
col,2010,72.45267
col,2011,62.86013
col,2012,65.2277
col,2013,67.10291
col,2014,79.68306
col,2015,66.66782
col,2016,57.40565
cri,1996,30.09821
cri,1997,30.17903
cri,1998,40.2051
cri,1999,40.1048
cri,2000,38.50185
cri,2001,39.33511
cyp,1990,86.61875
cyp,1991,96.38423
cyp,1992,95.83399
cyp,1993,100.33044
cyp,1994,91.66831
cze,1993,15.84093
cze,1994,14.09638
deu,1990,20.93059
deu,1991,21.95254
deu,1992,24.08755
deu,1993,26.36078
deu,1994,28.0623
deu,1995,35.27681
deu,1996,36.54016
deu,1997,37.14339
deu,1998,37.10459
deu,1999,19.1768
dnk,1991,62.13537
dnk,1992,66.62747
dnk,1993,78.23915
dnk,1994,75.26157
dom,1996,20.96018
dom,1997,17.57023
dom,1999,16.4168
egy,2007,85.78853
esp,1970,2002.51042
esp,1971,1767.38557
esp,1995,54.3558
esp,1996,60.10044
esp,1997,59.62256
esp,1998,60.14194
esp,1999,55.21022
esp,2000,52.73554
esp,2001,48.77072
esp,2002,47.84565
esp,2003,44.07196
esp,2004,43.26987
esp,2005,40.60653
esp,2006,36.07848
esp,2007,32.26071
esp,2008,37.38083
esp,2009,51.2077
esp,2010,54.02454
esp,2011,62.3178
esp,2012,84.58157
esp,2013,99.92259
esp,2014,112.20992
esp,2015,104.74457
esp,2016,104.57292
eth,1990,48.35296
eth,1991,50.88588
eth,1992,44.38117
eth,1993,73.28743
eth,1994,92.50415
eth,1995,82.62968
eth,1996,72.15001
eth,1997,69.42169
eth,1998,77.96168
eth,1999,85.5547
eth,2013,10.73328
fin,1990,10.47562
fin,1991,17.01543
fin,1992,34.10695
fin,1993,51.62475
fin,1994,58.24741
fji,1991,36.84182
fji,1992,33.67358
fji,1993,36.53835
fji,1994,36.62826
fsm,2008,26.60898
fsm,2009,25.44162
fsm,2010,24.15488
fsm,2011,25.20196
fsm,2012,27.11517
fsm,2013,26.32302
fsm,2014,23.38973
fsm,2015,29.94314
fsm,2016,25.39178
gbr,1990,30.20337
gbr,1991,29.1949
gbr,1992,30.39975
gbr,1993,35.31355
gbr,1994,40.48009
gbr,1995,43.7645
gbr,1996,43.43941
gbr,1997,44.95578
gbr,1998,46.12829
gbr,1999,42.61917
gbr,2000,42.49695
gbr,2001,38.39003
gbr,2002,39.45046
gbr,2003,39.27125
gbr,2004,42.65188
gbr,2005,44.04325
gbr,2006,43.57069
gbr,2007,44.57767
gbr,2008,54.94129
gbr,2009,68.50962
gbr,2010,81.17604
gbr,2011,94.69557
gbr,2012,98.72658
gbr,2013,94.55128
gbr,2014,105.40929
gbr,2015,104.16461
gbr,2016,113.76593
geo,1997,43.406
geo,1998,56.90448
geo,1999,71.93713
geo,2000,69.93761
geo,2001,66.66916
geo,2002,64.95842
geo,2003,53.806
geo,2004,43.8362
geo,2005,35.07646
geo,2006,27.95814
geo,2007,22.6871
geo,2008,27.0177
geo,2009,34.61136
geo,2010,34.98139
geo,2011,31.01414
geo,2012,31.26421
geo,2013,31.84964
geo,2014,33.1352
geo,2015,38.63091
geo,2016,42.14393
gtm,1990,24.48069
gtm,1991,17.75179
gtm,1992,15.83122
gtm,1993,13.62251
gtm,1994,13.16195
gtm,1995,11.405
gtm,1996,11.24183
gtm,1997,11.34522
gtm,1998,11.28017
gtm,1999,13.47019
gtm,2000,16.98382
gtm,2001,20.26902
gtm,2002,18.69248
gtm,2003,21.03844
gtm,2004,22.14446
gtm,2005,21.60212
gtm,2006,22.23477
gtm,2007,21.987
gtm,2008,20.38341
gtm,2009,23.39397
gtm,2010,24.81696
gtm,2011,24.56396
gtm,2012,24.70074
gtm,2013,25.20995
gtm,2014,23.64739
gtm,2015,23.57274
gtm,2016,22.98889
hun,1991,71.22759
hun,1992,75.47569
hun,1993,86.11351
hun,1994,83.31874
hun,1995,85.99233
hun,1996,74.82381
hun,1997,67.06213
hun,1998,63.83297
hun,1999,66.38564
hun,2000,60.80476
hun,2001,59.01704
hun,2002,58.71366
hun,2003,59.36673
hun,2004,62.60201
hun,2005,64.75972
hun,2006,67.86678
hun,2007,68.52003
hun,2008,71.87913
hun,2009,80.01339
hun,2010,80.17572
hun,2011,89.4061
hun,2012,93.12913
hun,2013,93.74048
hun,2014,97.50141
hun,2015,95.20891
hun,2016,95.34252
idn,1990,45.74145
idn,1991,40.27563
idn,1992,42.70936
idn,1993,37.4976
idn,1994,36.57059
idn,1995,30.80432
idn,1996,23.92314
idn,1997,72.48532
idn,1998,55.20409
idn,1999,45.20797
idn,2002,32.22413
idn,2003,29.7174
idn,2008,34.22503
idn,2009,29.99731
idn,2010,26.16616
idn,2011,24.86514
idn,2012,25.0344
idn,2013,27.78193
idn,2014,27.42161
idn,2015,30.30913
idn,2016,31.36619
ind,1990,50.78325
ind,1991,50.01008
ind,1992,49.6809
ind,1993,51.75981
ind,1994,49.59428
ind,1995,47.49164
ind,1996,45.72331
ind,1997,50.36544
ind,1998,50.31922
ind,1999,51.35295
ind,2000,55.00425
ind,2001,59.01791
ind,2002,62.55277
ind,2003,62.19005
ind,2004,62.59298
ind,2005,62.22653
ind,2006,59.66673
ind,2007,57.49754
ind,2008,57.29221
ind,2009,55.25645
ind,2010,51.59191
ind,2011,51.55655
ind,2012,50.67803
ind,2013,50.31183
irl,1998,60.00934
irl,1999,49.14187
irl,2000,38.8616
irl,2001,35.01703
irl,2002,33.74832
irl,2003,32.4248
irl,2004,30.89083
irl,2005,30.76683
irl,2006,27.05387
irl,2007,26.99151
irl,2008,46.92898
irl,2009,66.92555
irl,2010,82.78469
irl,2011,111.91067
irl,2012,129.78999
irl,2013,131.76211
irl,2014,121.22118
irl,2015,88.53309
irl,2016,85.34015
irq,2015,27.39189
irq,2016,29.47607
isl,1990,29.91437
isl,1991,31.31516
isl,1992,37.64888
isl,1993,43.06176
isl,1994,44.1045
isl,1995,46.34466
isl,1996,45.69884
isl,1997,68.46577
isl,1998,63.1767
isl,1999,59.15768
isl,2000,58.25802
isl,2001,60.28438
isl,2002,56.29941
isl,2003,54.44463
isl,2004,48.27972
isl,2005,38.08831
isl,2006,42.29231
isl,2007,40.52323
isl,2008,77.20857
isl,2009,96.99929
isl,2010,101.91761
isl,2011,108.89704
isl,2012,108.26384
isl,2016,72.90969
isr,1995,104.11351
isr,1996,102.5716
isr,1997,97.24461
isr,1998,98.15132
isr,1999,91.44401
ita,1991,71.42309
ita,1992,77.46366
jam,1990,138.74133
jam,1991,232.83221
jam,1992,123.60695
jam,1993,112.19718
jam,1994,94.66074
jam,1995,83.86118
jam,1996,72.2522
jam,1997,73.70001
jam,1998,81.67056
jam,1999,88.96364
jam,2000,98.33416
jam,2001,117.53503
jam,2002,127.77747
jam,2003,127.43326
jam,2004,122.00807
jam,2005,121.00248
jam,2006,117.69881
jam,2007,112.98999
jam,2008,120.33982
jam,2009,134.67877
jam,2010,136.22433
jam,2011,133.97846
jam,2012,137.93467
jam,2013,135.88509
jam,2014,132.4138
jam,2015,124.6483
jam,2016,122.65568
jor,1990,128.7996
jor,1991,129.99966
jor,1992,152.59089
jor,1993,125.61325
jor,1994,116.41902
jor,1995,105.06524
jor,1996,106.2211
jor,1997,100.38058
jor,1998,101.17187
jor,1999,99.91595
jor,2000,93.71502
jor,2001,90.82565
jor,2002,85.07455
jor,2003,88.91805
jor,2004,89.0247
jor,2005,79.95192
jor,2006,72.62516
jor,2007,69.95891
jor,2008,55.06605
jor,2009,59.22147
jor,2010,59.77108
jor,2011,60.42177
jor,2012,65.35061
jor,2013,73.72381
jor,2014,77.71399
jor,2016,74.07186
jpn,1990,52.89407
jpn,1991,38.85405
jpn,1992,39.63068
jpn,1993,42.89882
jpn,1994,55.01494
jpn,1995,60.66183
jpn,1996,65.28798
jpn,1997,72.86006
jpn,1998,80.26311
jpn,1999,90.52978
jpn,2000,98.8263
jpn,2001,102.74229
jpn,2002,111.76273
jpn,2003,122.00431
jpn,2004,127.80475
jpn,2005,128.40895
jpn,2006,128.80226
jpn,2007,132.32828
jpn,2008,138.52251
jpn,2009,157.12923
jpn,2010,160.63447
jpn,2011,175.80001
jpn,2012,183.97457
jpn,2013,186.83003
jpn,2014,192.57863
jpn,2015,194.8231
jpn,2016,193.39393
kaz,2010,9.52296
kaz,2011,8.80131
kaz,2012,10.49811
kaz,2013,10.84064
kaz,2014,12.64697
kaz,2015,19.30792
kaz,2016,16.76928
kgz,2014,53.88933
kgz,2015,72.45656
kgz,2016,60.47351
kna,2002,79.26881
kna,2003,92.30854
kna,2004,90.82805
kna,2005,92.32123
kna,2006,84.65955
kna,2007,97.04632
kna,2008,95.73886
kna,2009,104.31253
kna,2010,107.43693
kna,2011,105.31896
kna,2012,99.88339
kna,2013,69.90888
kna,2014,59.9027
kor,1990,7.4428
kor,1991,10.24286
kor,1992,9.99385
kor,1993,9.20042
kor,1994,8.17894
kor,1995,7.21689
kor,1996,6.86298
kor,1997,8.67986
kor,2012,32.40902
kor,2013,34.92986
kor,2014,36.50026
kor,2015,37.49296
kor,2016,38.06551
lbn,1997,96.90887
lbn,1998,106.95705
lbn,1999,128.64127
lbr,2011,21.73061
lbr,2012,20.318
lca,2000,30.87768
lca,2001,40.07054
lca,2002,50.03292
lca,2003,48.51838
lca,2004,49.58333
lca,2005,52.03523
lca,2006,47.19574
lca,2007,45.29805
lca,2008,41.63453
lca,2009,43.3977
lca,2010,45.72215
lca,2011,49.53182
lca,2012,55.12776
lca,2013,56.92296
lca,2014,57.57764
lka,1990,96.58063
lka,1991,98.4834
lka,1992,95.36191
lka,1993,96.79781
lka,1994,94.85532
lka,1995,94.64982
lka,1996,92.34398
lka,1997,86.10593
lka,1998,89.19582
lka,1999,95.10815
lka,2000,96.90403
lka,2001,103.21927
lka,2002,105.52499
lka,2003,102.27071
lka,2004,102.32854
lka,2005,90.60491
lka,2006,88.69948
lka,2007,84.99442
lka,2009,86.06349
lka,2010,71.58532
lka,2011,71.10811
lka,2012,68.71039
lka,2013,70.82111
lka,2014,71.3328
lka,2015,77.65039
lux,1990,2.52016
lux,1991,1.95658
lux,1992,2.62216
lux,1993,2.90135
mar,1990,87.19676
mar,1991,62.06742
mar,1992,70.93787
mar,1993,74.12313
mar,1994,69.82592
mar,1995,68.39492
mar,1997,64.46242
mar,1998,61.18593
mar,1999,61.61713
mar,2002,54.03034
mar,2005,59.26999
mar,2006,54.80563
mar,2007,50.93556
mar,2008,45.44277
mar,2009,47.50363
mar,2010,50.9625
mar,2011,55.62772
mda,1995,37.62866
mda,1996,40.12318
mda,1997,48.08694
mda,1998,82.83278
mda,1999,77.89845
mda,2000,73.01887
mda,2001,60.77464
mda,2002,59.55925
mda,2003,52.53376
mda,2004,51.9543
mda,2005,32.4251
mda,2006,29.17929
mda,2007,23.23957
mda,2008,18.44252
mda,2009,27.63223
mda,2010,21.93256
mda,2011,19.76667
mda,2012,20.34714
mda,2013,19.91795
mda,2014,20.82654
mda,2015,21.26952
mda,2016,31.88567
mdv,1990,30.78234
mdv,1991,35.57347
mdv,1992,41.61546
mdv,1993,45.55156
mdv,1994,44.2117
mdv,1995,47.35206
