geo,time,se_prm_rept_fe_zs
abw,1999,5.87309
abw,2000,5.64194
abw,2001,7.01525
abw,2002,6.44618
abw,2003,7.53843
abw,2004,7.32007
abw,2005,7.93138
abw,2006,7.67107
abw,2007,7.5194
abw,2008,6.42107
abw,2009,5.58197
abw,2010,6.47303
abw,2013,7.18803
abw,2014,6.30288
afg,1974,25.90598
afg,1977,27.54282
afg,1978,27.16147
afg,1980,16.05676
afg,1981,3.95609
afg,1982,9.27772
afg,1984,5.12328
afg,1985,5.1229
afg,1993,9.17271
afg,2016,3.4347
afg,2017,3.5128
afg,2018,3.80515
ago,2008,9.70141
ago,2009,11.66698
ago,2010,11.69095
ago,2011,12.92893
alb,1996,2.78808
alb,2000,3.25183
alb,2001,3.44913
alb,2003,2.39117
alb,2004,1.77669
alb,2007,0.91766
alb,2008,0.9324
alb,2009,1.09076
alb,2010,0.81278
alb,2011,0.72451
alb,2012,0.66712
alb,2013,0.61851
alb,2014,0.60685
alb,2015,0.68174
alb,2016,0.62244
alb,2017,0.76162
alb,2018,0.68867
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,2.53589
and,2008,2.16981
and,2009,1.92669
and,2010,2.33
and,2011,1.7673
and,2012,1.85376
and,2013,1.51278
and,2014,0.83551
and,2015,1.11845
and,2016,0.9009
and,2017,1.02489
and,2018,0.72499
are,1974,19.31429
are,1975,17.73315
are,1976,13.40846
are,1977,11.3797
are,1978,8.7502
are,1979,8.53542
are,1980,7.36724
are,1981,7.27629
are,1982,6.20138
are,1983,5.72842
are,1984,5.19805
are,1985,5.81387
are,1986,5.21498
are,1987,5.7068
are,1988,5.39667
are,1989,5.03566
are,1990,4.51197
are,1991,4.10069
are,1992,3.56206
are,1993,3.45446
are,1994,3.81439
are,1995,4.01846
are,1996,3.87845
are,1997,3.14134
are,1998,3.28154
are,1999,2.46936
are,2000,2.60951
are,2001,2.51231
are,2002,2.42288
are,2003,2.05899
are,2004,1.80857
are,2005,1.52612
are,2006,1.6504
are,2007,1.70542
are,2009,1.93083
are,2010,1.89932
are,2011,0
are,2012,0
are,2013,0
are,2014,0.16059
are,2015,0.15269
arg,1970,10.01574
arg,1971,9.06631
arg,1975,7.65371
arg,1976,7.11734
arg,1996,4.73369
arg,1997,4.33888
arg,1998,4.51667
arg,1999,4.87716
arg,2000,5.02764
arg,2001,5.17353
arg,2002,4.89695
arg,2003,5.14743
arg,2004,5.17328
arg,2005,5.1487
arg,2006,5.31301
arg,2007,4.86911
arg,2008,4.59795
arg,2009,4.11543
arg,2010,3.74523
arg,2011,3.29909
arg,2012,2.91881
arg,2013,2.28328
arg,2014,1.71375
arg,2015,1.59519
arg,2016,1.86174
arg,2017,3.15431
arm,2002,0.08845
arm,2003,0.07885
arm,2004,0.11366
arm,2005,0.14923
arm,2006,0.23408
arm,2007,0.17435
arm,2008,0.11589
arm,2009,0.21069
arm,2010,0.16155
arm,2011,0.12231
arm,2012,0.17797
arm,2014,0.21283
arm,2015,0.4485
arm,2016,0.79167
arm,2017,0.28835
arm,2018,0.31262
atg,1975,1.02574
atg,1976,1.76139
atg,1992,2.5394
atg,2007,1.69671
atg,2008,4.11965
atg,2009,6.66055
atg,2010,5.66923
atg,2011,4.09662
atg,2012,2.40079
atg,2014,1.8999
atg,2015,2.33081
atg,2017,1.41538
atg,2018,1.04397
aut,1971,4.52923
aut,1972,4.15333
aut,1973,4.03427
aut,1998,1.18122
aut,1999,1.27406
aut,2002,1.03424
aut,2004,1.07381
aut,2011,2.13987
aut,2012,2.12738
aut,2013,2.25572
aut,2014,2.34599
aut,2015,2.39619
aut,2016,2.51677
aut,2017,2.59597
aze,1993,0.18716
aze,1994,0.31932
aze,1995,0.32748
aze,1996,0.42425
aze,1997,0.43769
aze,1998,0.43299
aze,1999,0.44187
aze,2000,0.45048
aze,2001,0.39693
aze,2002,0.29441
aze,2003,0.28601
aze,2004,0.2539
aze,2005,0.29312
aze,2006,0.27657
aze,2007,0.23805
aze,2008,0.26678
aze,2009,0.25615
aze,2010,0.23877
aze,2011,0.2775
aze,2012,0.23848
aze,2013,0.23481
aze,2014,0.16854
aze,2015,0.1427
aze,2016,0.13205
aze,2017,0.05964
aze,2018,0.1251
bdi,1971,20.63566
bdi,1973,21.58002
bdi,1974,24.5011
bdi,1975,22.69128
bdi,1976,24.14427
bdi,1977,23.01258
bdi,1978,25.32738
bdi,1979,26.65726
bdi,1980,28.3015
bdi,1981,30.43315
bdi,1982,28.89043
bdi,1983,17.98499
bdi,1984,14.30525
bdi,1985,15.5749
bdi,1986,17.67478
bdi,1987,17.49584
bdi,1988,17.80899
bdi,1989,23.67883
bdi,1990,21.67648
bdi,1991,21.09721
bdi,1992,22.50113
bdi,1993,23.25797
bdi,2000,26.0948
bdi,2001,24.98477
bdi,2002,27.23058
bdi,2003,26.87673
bdi,2004,30.59001
bdi,2005,30.40725
bdi,2006,28.43093
bdi,2007,32.4476
bdi,2008,34.0314
bdi,2009,32.34222
bdi,2010,33.87014
bdi,2011,36.4578
bdi,2012,33.34053
bdi,2013,29.09918
bdi,2014,23.93475
bdi,2015,22.22314
bdi,2016,21.06996
bdi,2017,22.9761
bdi,2018,24.33103
bel,1974,23.00448
bel,1975,22.91074
bel,1976,22.87621
bel,1977,22.51711
bel,1978,21.87365
bel,1979,21.98265
bel,1980,21.3898
bel,1981,17.79111
bel,1982,17.39164
bel,1983,18.89596
