geo,time,sl_emp_totl_sp_ne_zs
abw,1991,58.11
abw,2000,59.1
abw,2007,62.42
abw,2010,57.13
abw,2011,58.1
afg,2008,61.69
afg,2012,46.16
afg,2014,47.63
afg,2017,42.01
afg,2020,36.71
ago,2004,52.12
ago,2009,64.48
ago,2010,69.98
ago,2011,71.62
ago,2014,39.38
alb,2004,50.3
alb,2007,40.95
alb,2008,46.25
alb,2009,47.47
alb,2010,47.43
alb,2011,51.86
alb,2012,49.37
alb,2013,44.1
alb,2014,43.78
alb,2015,45.96
alb,2016,48.48
alb,2017,50.15
alb,2018,52
alb,2019,53.39
are,1975,71.99
are,1980,74.36
are,1995,73.84
are,2005,75.09
are,2008,69.65
are,2009,69.35
are,2017,78.79
are,2018,79.2
are,2019,78.33
are,2020,76.9
arg,1990,46.6
arg,1991,47
arg,1992,47.3
arg,1993,47.1
arg,1994,44.8
arg,1995,43.7
arg,1996,43.7
arg,1997,46.2
arg,1998,46.7
arg,1999,46.7
arg,2000,49.5
arg,2001,46.4
arg,2002,47.6
arg,2003,51.9
arg,2004,53.57
arg,2005,54.43
arg,2006,55.57
arg,2007,55.8
arg,2008,55.69
arg,2009,55.53
arg,2010,55.54
arg,2011,56.3
arg,2012,56.01
arg,2013,55.71
arg,2014,55.12
arg,2017,53.9
arg,2018,54.1
arg,2019,54.35
arg,2020,49.6
arm,2000,33.6
arm,2007,47.75
arm,2008,43.05
arm,2009,42.84
arm,2010,50.62
arm,2011,48.43
arm,2012,44.75
arm,2013,49.8
arm,2014,51.99
arm,2015,50.92
arm,2016,50.02
arm,2017,50.05
arm,2018,47.53
arm,2019,48.75
arm,2020,45.2
asm,1974,49.94
asm,2000,49.25
asm,2005,53.95
asm,2010,47.79
atg,1991,67.47
atg,2001,65.76
aus,1979,56.95
aus,1980,57.55
aus,1981,57.6
aus,1982,56.43
aus,1983,54.42
aus,1984,55.11
aus,1985,55.78
aus,1986,56.89
aus,1987,56.94
aus,1988,57.87
aus,1989,59.26
aus,1990,59.33
aus,1991,57.09
aus,1992,56.12
aus,1993,55.66
aus,1994,56.82
aus,1995,58.16
aus,1996,58.12
aus,1997,57.84
aus,1998,58.16
aus,1999,58.45
aus,2000,59.17
aus,2001,59.03
aus,2002,59.33
aus,2003,59.82
aus,2004,60.04
aus,2005,61.16
aus,2006,61.66
aus,2007,62.32
aus,2008,62.71
aus,2009,61.79
aus,2010,61.98
aus,2011,62.1
aus,2012,61.75
aus,2013,61.26
aus,2014,60.77
aus,2015,61.06
aus,2016,61.16
aus,2017,61.53
aus,2018,62.16
aus,2019,62.55
aus,2020,60.83
aus,2021,62.47
aut,1980,52.05
aut,1982,52.76
aut,1983,51.69
aut,1984,52.61
aut,1985,52.33
aut,1986,52.86
aut,1987,52.91
aut,1988,52.84
aut,1989,53.16
aut,1990,53.64
aut,1991,53.9
aut,1992,54.55
aut,1993,54.28
aut,1994,56.98
aut,1995,56.85
aut,1996,55.72
aut,1997,55.43
aut,1998,55.6
aut,1999,56.21
aut,2000,55.96
aut,2001,55.9
aut,2002,56.1
aut,2003,56.33
aut,2004,53.92
aut,2005,55.26
aut,2006,55.98
aut,2007,57.02
aut,2008,57.69
aut,2009,57.24
aut,2010,57.48
aut,2011,57.73
aut,2012,57.81
aut,2013,57.67
aut,2014,57.28
aut,2015,57.25
aut,2016,57.53
aut,2017,57.85
aut,2018,58.39
aut,2019,58.61
aut,2020,57.51
aze,1993,49.99
aze,1996,47.27
aze,1997,46.9
aze,1998,46.56
aze,1999,46.19
aze,2000,68.4
aze,2001,67.3
aze,2002,66.2
aze,2003,65.2
aze,2004,64.3
aze,2005,63.5
aze,2006,62.7
aze,2007,62.78
aze,2008,62.43
aze,2009,61.32
aze,2010,61.16
aze,2011,60.91
aze,2012,61.2
aze,2013,61.4
aze,2014,61.9
aze,2015,62.1
aze,2016,62.7
aze,2017,62.9
aze,2018,63
aze,2019,63.2
aze,2020,62.1
bdi,1998,84.9
bdi,2014,77.7
bdi,2017,77.76
bel,1977,37.24
bel,1979,37.65
bel,1980,37.53
bel,1983,44.77
bel,1984,43.83
bel,1985,44.3
bel,1986,44.25
bel,1987,43.58
bel,1988,43.72
bel,1989,44.39
bel,1990,44.83
bel,1991,45.83
bel,1992,46.31
bel,1993,45.72
bel,1994,45.48
bel,1995,45.82
bel,1996,45.63
bel,1997,46
bel,1998,46.11
bel,1999,47.42
bel,2000,48.85
bel,2001,47.75
bel,2002,47.65
bel,2003,47.4
bel,2004,48.2
bel,2005,48.8
bel,2006,48.73
bel,2007,49.6
bel,2008,49.93
bel,2009,49.24
bel,2010,49.59
bel,2011,49.4
bel,2012,49.23
bel,2013,49.05
bel,2014,48.95
bel,2015,48.79
bel,2016,48.95
bel,2017,50.02
bel,2018,50.96
bel,2019,51.47
bel,2020,50.84
ben,2003,74.55
ben,2010,74.52
ben,2011,69.98
ben,2018,61.82
bfa,1985,79.6
bfa,1994,76.6
bfa,2003,82.6
bfa,2006,71.01
bfa,2014,61.37
bfa,2018,42.79
bgd,1984,54.11
bgd,1985,54.17
bgd,1986,54.65
bgd,1989,84.8
bgd,1991,83.86
bgd,1996,78.71
bgd,2000,69.71
bgd,2003,54.82
bgd,2006,55.99
bgd,2010,56.6
bgd,2013,54.65
bgd,2016,56.09
bgd,2017,55.78
bgr,2000,42.04
bgr,2001,41.14
bgr,2002,41.62
bgr,2003,43.07
bgr,2004,44.47
bgr,2005,44.68
bgr,2006,46.7
bgr,2007,48.98
bgr,2008,50.79
bgr,2009,49.41
bgr,2010,47.91
bgr,2011,46.6
bgr,2012,46.57
bgr,2013,46.93
bgr,2014,47.96
bgr,2015,49.12
bgr,2016,49.29
bgr,2017,51.94
bgr,2018,52.44
bgr,2019,54.19
bgr,2020,52.7
bhr,1979,35.75
bhr,1990,39.4
bhr,1991,61.08
bhr,1992,40
bhr,1993,41.3
bhr,1994,41.7
bhr,1995,40.6
bhr,1996,39.9
bhr,1997,41.1
bhr,1998,41.6
bhr,1999,42.9
bhr,2000,44.4
bhr,2001,62.1
bhr,2002,48.8
bhr,2003,52.9
bhr,2004,57.8
bhr,2005,55.88
bhr,2006,82.09
bhr,2007,59.9
bhr,2009,63.89
bhr,2010,71.25
bhr,2011,70.16
bhr,2015,70.93
bhs,1979,32.32
bhs,1989,45.19
bhs,1991,64.6
bhs,1992,63.3
bhs,1993,65.8
bhs,1994,67.13
bhs,1995,65.8
bhs,1996,65.2
bhs,1997,67.6
bhs,1998,65.21
bhs,1999,69.4
bhs,2001,70.9
bhs,2002,69.4
bhs,2004,67.96
bhs,2008,69.7
bhs,2009,62.94
bhs,2011,62.1
bhs,2012,64.05
bih,2006,29.39
bih,2007,30.83
bih,2008,33.21
bih,2009,32.78
bih,2010,32.1
bih,2011,31.62
bih,2012,31.53
bih,2013,31.42
bih,2014,31.48
bih,2015,31.74
bih,2016,32.11
bih,2017,33.61
bih,2018,34.19
bih,2019,35.24
bih,2020,40.09
blr,1997,42.69
blr,2009,57.7
blr,2015,81.3
blr,2016,66.7
blr,2017,67.2
blr,2018,67.5
blr,2019,67.7
blr,2020,67.46
blz,1994,50.24
blz,1997,51.41
blz,1998,50.26
blz,1999,51.72
blz,2012,57.8
blz,2013,57.4
blz,2014,58.26
blz,2015,58.68
