geo,time,se_prm_rept_ma_zs
abw,1999,9.4583
abw,2000,9.43079
abw,2001,9.513
abw,2002,9.30689
abw,2003,10.27584
abw,2004,9.62698
abw,2005,10.5949
abw,2006,9.83452
abw,2007,9.28746
abw,2008,8.40287
abw,2009,8.26317
abw,2010,8.29859
abw,2013,9.01364
abw,2014,8.31368
afg,1974,27.07817
afg,1977,31.11768
afg,1978,29.87202
afg,1980,14.8786
afg,1981,4.22975
afg,1982,9.78714
afg,1984,5.13298
afg,1985,5.12461
afg,1993,8.94355
afg,2016,3.75369
afg,2017,3.79334
afg,2018,4.25504
ago,2008,9.39781
ago,2009,10.60047
ago,2010,10.16262
ago,2011,8.62112
alb,1996,4.77505
alb,2000,4.56711
alb,2001,4.62233
alb,2003,3.20619
alb,2004,2.66338
alb,2007,1.74874
alb,2008,1.43749
alb,2009,1.62405
alb,2010,1.10975
alb,2011,1.00543
alb,2012,0.91256
alb,2013,0.85709
alb,2014,0.84666
alb,2015,0.98267
alb,2016,0.893
alb,2017,1.07166
alb,2018,0.99182
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,3.29482
and,2008,3.41484
and,2009,2.94118
and,2010,2.51767
and,2011,2.24618
and,2012,2.74223
and,2013,2.51046
and,2014,1.95349
and,2015,1.41102
and,2016,1.46667
and,2017,0.94851
and,2018,0.75355
are,1974,20.59327
are,1975,19.18499
are,1976,13.66044
are,1977,12.05696
are,1978,9.58217
are,1979,9.88927
are,1980,8.52722
are,1981,7.66737
are,1982,7.04893
are,1983,6.08582
are,1984,6.00297
are,1985,6.9084
are,1986,6.10909
are,1987,6.65315
are,1988,5.95952
are,1989,5.26064
are,1990,4.84386
are,1991,4.59286
are,1992,4.53133
are,1993,4.32777
are,1994,5.58187
are,1995,5.6283
are,1996,5.36346
are,1997,5.1225
are,1998,5.28314
are,1999,4.43041
are,2000,4.1459
are,2001,3.61547
are,2002,3.1773
are,2003,3.16448
are,2004,2.64673
are,2005,2.18159
are,2006,2.25377
are,2007,2.04393
are,2009,2.13525
are,2010,2.0941
are,2011,0
are,2012,0
are,2013,0
are,2014,0.27052
are,2015,0.18845
arg,1970,12.72176
arg,1971,11.65993
arg,1975,9.62205
arg,1976,9.07729
arg,1996,6.36244
arg,1997,6.17873
arg,1998,6.37853
arg,1999,6.97725
arg,2000,7.22918
arg,2001,7.49334
arg,2002,7.17627
arg,2003,7.48821
arg,2004,7.66215
arg,2005,7.57278
arg,2006,7.70112
arg,2007,7.28417
arg,2008,6.82001
arg,2009,6.10616
arg,2010,5.5125
arg,2011,5.0015
arg,2012,4.45471
arg,2013,3.38954
arg,2014,2.50077
arg,2015,2.34223
arg,2016,2.60186
arg,2017,3.45051
arm,2002,0.1456
arm,2003,0.11746
arm,2004,0.13514
arm,2005,0.16194
arm,2006,0.14353
arm,2007,0.17082
arm,2008,0.09093
arm,2009,0.23647
arm,2010,0.15326
arm,2011,0.12612
arm,2012,0.15572
arm,2014,0.19658
arm,2015,0.297
arm,2016,0.62146
arm,2017,0.23075
arm,2018,0.2385
atg,1975,1.45239
atg,1976,2.04012
atg,1992,3.23467
atg,2007,2.41922
atg,2008,7.00786
atg,2009,5.38963
atg,2010,8.21664
atg,2011,5.47535
atg,2012,5.52374
atg,2014,3.01308
atg,2015,3.77941
atg,2017,2.14948
atg,2018,1.69195
aut,1971,6.91467
aut,1972,6.44866
aut,1973,5.90827
aut,1998,1.63906
aut,1999,1.76714
aut,2002,1.39561
aut,2004,1.40704
aut,2011,2.76284
aut,2012,2.76688
aut,2013,2.87589
aut,2014,2.95763
aut,2015,3.08272
aut,2016,3.15411
aut,2017,3.22086
aze,1993,0.18706
aze,1994,0.31902
aze,1995,0.34588
aze,1996,0.42831
aze,1997,0.46301
aze,1998,0.43275
aze,1999,0.44174
aze,2000,0.44825
aze,2001,0.39644
aze,2002,0.29345
aze,2003,0.38114
aze,2004,0.27626
aze,2005,0.288
aze,2006,0.29276
aze,2007,0.32402
aze,2008,0.32358
aze,2009,0.28675
aze,2010,0.28847
aze,2011,0.28223
aze,2012,0.24525
aze,2013,0.22
aze,2014,0.14635
aze,2015,0.14356
aze,2016,0.13742
aze,2017,0.07715
aze,2018,0.1308
bdi,1971,22.45089
bdi,1973,22.22693
bdi,1974,25.99345
bdi,1975,25.61966
bdi,1976,26.50845
bdi,1977,24.56622
bdi,1978,26.31058
bdi,1979,27.48266
bdi,1980,28.87554
bdi,1981,30.04676
bdi,1982,28.76827
bdi,1983,18.35981
bdi,1984,14.01927
bdi,1985,15.40695
bdi,1986,17.7918
bdi,1987,18.31082
bdi,1988,18.98055
bdi,1989,25.48627
bdi,1990,22.63475
bdi,1991,22.32107
bdi,1992,23.43271
bdi,1993,24.04378
bdi,2000,24.53331
bdi,2001,24.14234
bdi,2002,25.63233
bdi,2003,26.17439
bdi,2004,27.81361
bdi,2005,30.40666
bdi,2006,29.20373
bdi,2007,31.50216
bdi,2008,33.48954
bdi,2009,32.28503
bdi,2010,33.51854
bdi,2011,35.98125
bdi,2012,32.79489
bdi,2013,28.86877
bdi,2014,24.5765
bdi,2015,22.9898
bdi,2016,23.00624
bdi,2017,24.81492
bdi,2018,27.11869
bel,1974,24.33114
bel,1975,24.35755
bel,1976,24.93689
bel,1977,24.30338
bel,1978,23.90038
bel,1979,24.15893
bel,1980,23.6683
bel,1981,20.84923
bel,1982,20.53139
bel,1983,21.89349
bel,1984,19.71476
bel,1985,19.1062
bel,1986,17.97442
bel,1987,17.44503
bel,1988,17.6337
bel,1991,17.36186
bel,2006,3.29904
bel,2007,3.26155
bel,2008,3.50014
bel,2009,3.39187
bel,2010,3.34828
bel,2011,3.21412
bel,2012,3.01853
bel,2013,2.68211
bel,2014,2.56491
bel,2015,2.58448
bel,2016,2.36465
bel,2017,2.2928
ben,1971,18.44611
ben,1972,16.90436
ben,1973,18.33718
ben,1974,20.09095
ben,1975,16.7835
ben,1976,20.28476
ben,1977,20.95282
ben,1978,20.02447
ben,1979,18.11105
ben,1980,23.04987
ben,1981,18.62569
ben,1982,17.1368
ben,1983,21.24912
ben,1984,27.78808
ben,1985,25.22535
ben,1986,26.34609
ben,1987,25.83155
ben,1988,25.95945
ben,1989,25.93185
ben,1990,24.54846
ben,1991,21.16907
ben,1992,22.74816
ben,1993,23.58139
ben,1994,24.52075
ben,1995,24.27993
ben,1996,24.91017
ben,1997,25.13915
ben,1998,23.75915
ben,2000,19.96927
ben,2001,19.90074
ben,2002,20.92196
ben,2003,19.89452
ben,2004,23.00914
ben,2005,16.68869
ben,2008,14.27939
ben,2010,13.44996
ben,2011,10.90059
ben,2012,11.65282
ben,2013,11.26155
ben,2014,11.01254
ben,2015,11.0379
ben,2016,10.22641
ben,2018,15.39962
bfa,1971,15.61414
bfa,1972,16.75106
bfa,1973,17.20112
bfa,1974,16.67304
bfa,1975,16.46339
bfa,1976,16.74203
bfa,1977,17.9258
bfa,1978,18.31012
bfa,1979,17.44431
bfa,1980,17.42976
bfa,1981,16.52859
bfa,1982,15.96308
bfa,1983,16.14267
bfa,1984,17.04883
bfa,1985,13.7037
bfa,1987,15.27857
bfa,1988,16.24835
bfa,1989,16.60622
bfa,1990,17.0407
bfa,1991,17.58741
bfa,1992,16.41183
bfa,1993,16.4611
bfa,1994,15.79052
bfa,1995,15.91949
bfa,1996,15.62798
bfa,1999,17.52934
bfa,2000,16.91634
bfa,2001,17.51617
bfa,2002,17.47771
bfa,2003,15.0094
bfa,2004,13.19078
bfa,2005,12.07545
bfa,2006,12.08555
bfa,2007,11.78385
bfa,2008,10.56745
bfa,2009,10.54434
bfa,2010,10.11862
bfa,2012,8.13407
bfa,2013,7.2587
bfa,2014,6.75048
bfa,2015,5.54235
bfa,2016,5.67524
bfa,2017,6.35998
bfa,2018,5.7699
bgd,1976,18.46511
bgd,1981,17.61433
bgd,2005,10.40328
bgd,2006,11.17551
bgd,2008,13.37555
bgd,2009,13.81791
bgd,2010,12.64572
bgd,2017,5.03379
bgd,2018,4.51672
bgr,1986,2.9713
bgr,1987,2.65877
bgr,1988,2.94698
bgr,1989,3.77765
bgr,1990,4.5908
bgr,1991,6.73991
bgr,1992,6.26934
bgr,1993,6.57498
bgr,1994,5.92945
bgr,1995,4.71888
bgr,1996,4.21611
bgr,1997,3.99462
bgr,1998,3.81751
bgr,1999,3.74982
bgr,2000,3.72814
bgr,2001,2.75379
bgr,2002,2.98036
bgr,2003,2.61798
bgr,2004,2.6583
bgr,2005,2.66912
bgr,2006,2.6488
bgr,2007,2.51309
bgr,2008,2.14353
bgr,2009,1.92679
bgr,2010,0.73208
bgr,2011,0.25606
bgr,2012,0.18471
bgr,2013,0.15171
bgr,2014,0.12116
bgr,2015,0.12563
bgr,2016,0.08127
bgr,2017,0.08364
bhr,1982,12.09386
bhr,1983,12.73292
bhr,1984,11.76639
bhr,1985,7.85765
bhr,1986,8.39823
bhr,1987,8.05753
bhr,1988,8.83712
bhr,1989,8.51896
bhr,1991,5.24743
bhr,1992,4.48778
bhr,1993,4.62168
bhr,1994,5.18091
bhr,1995,5.81298
bhr,1996,6.32635
bhr,1998,5.63659
bhr,1999,4.5774
bhr,2000,4.96274
bhr,2001,4.58698
bhr,2002,4.36894
bhr,2004,3.59189
bhr,2005,3.29838
bhr,2006,3.00933
bhr,2011,1.22835
bhr,2012,1.11693
bhr,2013,0.84768
bhr,2014,0.74744
bhr,2015,0.65655
bhr,2016,0.46955
bhr,2017,0.31838
bhr,2018,0.29937
bhs,1994,0
bhs,2004,0
bhs,2005,0
bhs,2006,0
bhs,2007,0
bhs,2008,0
bhs,2009,0
bhs,2010,4.36432
bhs,2011,4.62169
bhs,2012,4.13056
bhs,2013,4.0701
bhs,2014,4.05211
bhs,2015,3.89124
bhs,2016,4.15712
bhs,2018,3.93145
bih,2008,0.10173
bih,2009,0.07891
bih,2010,0.09706
bih,2011,0.07863
bih,2012,0.09697
bih,2013,0.11255
bih,2014,0.15225
bih,2015,0.16298
bih,2016,0.16946
bih,2017,0.15625
bih,2018,0.09632
blr,1993,1.23457
blr,1994,1.16887
blr,1995,1.18074
blr,1996,1.06383
blr,1997,0.94888
blr,1998,1.05787
blr,1999,0.52205
blr,2000,0.55828
blr,2001,0.37043
blr,2002,0.31796
blr,2003,0.24782
blr,2004,0.10243
blr,2005,0.06808
blr,2006,0.05446
blr,2007,0.05024
blr,2008,0.04343
blr,2011,0.06271
blr,2012,0.02991
blr,2013,0.03782
blr,2014,0.03067
blr,2015,0.02918
blr,2016,0.0351
blr,2017,0.04815
blr,2018,0.04359
blz,1992,7.62045
blz,1995,11.89742
blz,1996,11.34835
blz,1999,10.80214
blz,2000,10.61011
blz,2001,11.44573
blz,2003,11.04442
blz,2004,12.45624
blz,2005,12.9816
blz,2006,11.72401
blz,2007,10.88937
blz,2008,9.42471
blz,2009,9.53369
blz,2010,8.79654
blz,2011,9.79213
blz,2012,8.87425
blz,2013,8.42264
blz,2014,8.25603
blz,2015,8.35982
blz,2016,8.08403
blz,2017,8.07363
blz,2018,8.10373
bmu,1975,8.75486
bol,2010,6.39946
bol,2011,7.48713
bol,2012,6.9885
bol,2013,6.50482
bol,2014,4.82387
bol,2015,2.31757
bol,2016,2.63311
bol,2017,2.66304
bol,2018,2.67941
bra,1971,16.91336
bra,1972,18.95504
bra,1973,19.24545
bra,1974,18.83898
bra,1999,24.04412
brn,1972,8.7535
brn,1973,9.96898
brn,1974,10.55183
brn,1975,9.02122
brn,1976,9.02148
brn,1977,10.45035
brn,1978,11.59648
brn,1979,18.03036
brn,1980,14.86563
brn,1981,15.88356
brn,1982,15.31008
brn,1983,11.10008
brn,1984,11.71727
brn,1986,10.61388
brn,2004,3.63478
brn,2005,3.04382
brn,2006,2.22361
brn,2007,2.8227
brn,2008,1.1397
brn,2009,0.76757
brn,2010,0.19248
brn,2011,0.19032
brn,2012,0.09064
brn,2013,0.07391
brn,2014,0.28445
brn,2015,0.23549
brn,2016,0.82427
brn,2017,0.3425
brn,2018,0.10837
btn,1978,3.06497
btn,1979,13.30384
btn,1993,19.27777
btn,1994,19.53168
btn,1998,13.83598
btn,1999,12.47619
btn,2000,13.73413
btn,2001,13.52157
btn,2006,7.58696
btn,2008,7.23526
btn,2009,7.44722
btn,2010,7.12168
btn,2011,6.56693
btn,2012,6.12146
btn,2013,6.68162
btn,2014,7.17286
btn,2016,6.96267
btn,2017,5.44508
btn,2018,8.50593
bwa,1970,0.29783
bwa,1971,0.76555
bwa,1972,0.8157
bwa,1979,2.55195
bwa,1981,4.54423
bwa,1982,5.51322
bwa,1983,6.36873
bwa,1984,5.82193
bwa,1985,5.70835
bwa,1986,4.62474
bwa,1987,5.26973
bwa,1988,4.9926
bwa,1989,4.94132
bwa,1990,5.09339
bwa,1991,4.76849
bwa,1992,3.65366
bwa,1993,3.00628
bwa,1994,3.15497
bwa,1995,4.10514
bwa,1996,3.89588
bwa,1998,3.68324
bwa,1999,3.87975
bwa,2000,4.13562
bwa,2001,3.96548
bwa,2002,3.93074
bwa,2003,5.81471
bwa,2004,5.66986
bwa,2005,5.7806
bwa,2006,5.72458
bwa,2007,5.93025
bwa,2008,5.49031
bwa,2009,5.47805
bwa,2012,5.75755
bwa,2013,5.48458
bwa,2014,6.25473
caf,1971,27.44645
caf,1972,27.21367
caf,1973,25.93493
caf,1974,31.53128
caf,1975,30.37135
caf,1976,35.84981
caf,1978,28.64437
caf,1981,34.20742
caf,1982,34.37418
caf,1983,34.38713
caf,1986,29.90545
caf,1987,35.10772
caf,1988,35.14679
caf,1989,33.95114
caf,1990,30.69723
caf,1991,31.80101
caf,1992,37.66626
caf,2004,30.315
caf,2005,29.4344
caf,2006,28.17498
caf,2008,25.32699
caf,2009,23.8423
caf,2010,20.55552
caf,2011,21.96232
caf,2012,22.59219
caf,2016,22.47955
can,1998,0
can,1999,0
can,2000,0
can,2006,0
can,2008,0
can,2009,0
can,2010,0
can,2011,0
che,1977,2.75628
che,1978,2.54199
che,1979,2.47736
che,1980,2.27257
che,1981,2.17609
che,1982,2.59911
che,1983,2.52545
che,1984,2.48732
che,1985,2.33605
che,1986,2.2758
che,1987,2.25105
che,1988,2.20995
che,1989,2.07531
che,1990,2.04018
che,1991,1.88658
che,1992,1.9573
che,1993,1.79622
che,1994,1.82664
che,1996,1.71807
che,1999,1.93142
che,2000,1.80995
che,2001,1.81926
che,2002,1.82852
che,2003,1.75523
che,2005,1.78327
che,2006,1.54644
che,2007,1.57653
che,2008,1.5805
che,2009,1.53831
che,2010,1.51507
che,2011,1.45118
che,2012,1.38877
che,2013,1.34224
che,2014,1.04757
che,2015,1.17578
che,2016,1.29237
che,2017,1.31849
chl,1970,12.61156
chl,1971,9.82356
chl,1972,9.71533
chl,1973,13.58635
chl,1974,14.35755
chl,1975,14.8052
chl,1976,14.86174
chl,1977,13.79229
chl,1983,9.20862
chl,1997,4.89483
chl,2011,6.0636
chl,2012,5.78495
chl,2013,5.41721
chl,2014,5.01452
chl,2015,4.50065
chl,2016,4.1844
chl,2017,3.78886
chn,1996,2.38424
chn,1997,1.79433
chn,2006,0.29661
chn,2007,0.27134
chn,2008,0.31232
chn,2009,0.30761
chn,2010,0.30328
chn,2011,0.27998
chn,2012,0.19447
chn,2013,0.1684
chn,2014,0.08758
chn,2015,0.02053
chn,2016,0.01434
chn,2017,0.0149
chn,2018,0.00905
civ,1973,25.62836
civ,1974,26.59399
civ,1976,21.07748
civ,1977,19.27108
civ,1978,18.00903
civ,1979,18.4281
civ,1980,19.04908
civ,1981,19.70976
civ,1983,24.56142
civ,1984,25.95041
civ,1985,29.18318
civ,1986,28.60155
civ,1987,27.47341
civ,1988,26.11588
civ,1989,26.63623
civ,1990,26.60327
civ,1991,24.06248
civ,1992,26.77921
civ,1993,26.85244
civ,1994,25.75355
civ,1995,26.74524
civ,1996,23.49547
civ,1997,24.63544
civ,1998,25.69495
civ,1999,22.764
civ,2000,23.42843
civ,2001,22.44033
civ,2002,24.22736
civ,2003,17.48105
civ,2006,23.39541
civ,2007,22.31221
civ,2009,18.87309
civ,2012,20.01108
civ,2013,20.66348
civ,2014,15.32021
civ,2015,15.54429
civ,2016,13.14107
civ,2017,11.25333
cmr,1973,26.35807
cmr,1974,27.47799
cmr,1975,26.8343
cmr,1976,25.53853
cmr,1977,26.44041
cmr,1978,18.90718
cmr,1979,27.76613
cmr,1980,29.73891
cmr,1981,30.38715
cmr,1982,30.68427
cmr,1983,30.3265
cmr,1984,30.02612
cmr,1985,29.52358
cmr,1986,29.96855
cmr,1987,30.09575
cmr,1988,29.75148
cmr,1990,29.70478
cmr,1991,30.24632
cmr,1999,26.79588
cmr,2000,26.80112
cmr,2002,25.85254
cmr,2003,26.40054
cmr,2004,25.59969
cmr,2005,26.12743
cmr,2006,26.75652
cmr,2007,20.76794
cmr,2008,17.45014
cmr,2009,15.16302
cmr,2010,13.53567
cmr,2011,12.8913
cmr,2012,12.72062
cmr,2014,13.19783
cmr,2015,12.56465
cmr,2016,12.13798
cmr,2017,12.47202
cmr,2018,12.53458
cod,1971,22.60144
cod,1972,22.83684
cod,1976,20.71748
cod,1977,20.34521
cod,1978,19.60802
cod,1980,18.45426
cod,1981,18.58488
cod,1982,18.67677
cod,1983,18.81716
cod,1984,18.96458
cod,1988,20.55191
cod,1991,17.36387
cod,1992,11.86082
cod,1993,7.73079
cod,1994,21.03278
cod,1999,18.79899
cod,2002,15.98829
cod,2007,15.55786
cod,2008,15.15963
cod,2009,15.15612
cod,2010,13.99319
cod,2011,12.13299
cod,2012,11.02105
cod,2013,10.70257
cod,2015,9.76425
cog,1971,32.23924
cog,1972,32.45162
cog,1973,30.77039
cog,1974,30.92216
cog,1975,29.68636
cog,1976,26.66065
cog,1977,25.03518
cog,1978,24.8636
cog,1979,24.86642
cog,1980,25.13242
cog,1981,26.16134
cog,1982,28.45654
cog,1983,31.71287
cog,1984,32.35739
cog,1985,34.31913
cog,1986,30.60149
cog,1987,31.73908
cog,1988,31.98704
cog,1989,35.33591
cog,1990,38.90709
cog,1992,33.77387
cog,1993,34.10978
cog,1994,36.55567
cog,1996,34.71913
cog,1999,39.96583
cog,2000,27.68104
cog,2001,25.73139
cog,2002,25.09964
cog,2003,28.41356
cog,2004,25.13263
cog,2005,24.71084
cog,2006,21.47057
cog,2007,21.47834
cog,2008,23.2166
cog,2009,20.51257
cog,2010,19.7011
cog,2011,19.40558
cog,2012,24.77563
col,1970,17.26001
col,1971,16.78143
col,1972,16.68492
col,1973,16.53349
col,1974,16.54832
col,1982,13.92257
col,1983,13.43107
col,1984,13.06802
col,1985,17.15544
col,1986,17.15591
col,1987,13.06794
col,1988,13.06794
col,1989,13.06794
col,1990,14.6501
col,1991,12.05687
col,1992,16.53263
col,1993,7.74761
col,1994,9.59353
col,1995,9.69414
col,1996,7.81641
col,1998,5.03046
col,1999,5.75149
col,2000,5.93476
col,2001,7.31691
col,2002,7.32182
col,2004,4.73487
col,2005,4.59686
col,2006,4.36857
col,2007,4.18241
col,2008,3.96393
col,2009,2.26489
col,2010,2.2235
col,2011,2.95575
col,2012,2.76456
col,2013,1.75928
col,2014,1.8669
col,2015,2.73241
col,2016,2.34328
col,2017,2.6218
col,2018,1.95474
com,1986,32.21732
com,1987,36.88061
com,1992,39.23291
com,1999,27.35851
com,2000,26.57955
