geo,time,se_ter_cuat_ba_fe_zs
afg,2021,1.153
ago,2014,2.00061
alb,2011,11.4997
alb,2012,12.395
and,2004,15.42804
and,2005,16.36802
and,2006,19.04678
and,2014,21.54171
and,2015,21.34156
and,2016,21.20933
are,2017,43.71531
are,2018,45.20642
are,2019,47.75185
arm,2001,19.49775
arm,2011,24.08422
arm,2015,26.95662
arm,2017,24.03844
arm,2020,23.83637
aus,2013,28.98099
aus,2014,30.31315
aus,2015,31.80502
aus,2016,32.1726
aus,2017,34.3086
aus,2018,34.7824
aus,2019,35.46198
aus,2020,38.2943
aut,2014,10.78137
aut,2015,12.48535
aut,2016,12.98469
aut,2017,13.96354
aut,2019,15.30871
aze,1999,10.30545
aze,2007,22.80411
aze,2008,22.91914
aze,2013,12.60178
aze,2014,12.59692
aze,2015,12.58018
aze,2016,12.62862
aze,2017,12.55031
aze,2019,12.49776
bdi,2014,0.38771
bdi,2017,0.46998
bel,2013,30.64533
bel,2014,31.52138
bel,2015,32.46595
bel,2016,32.85064
bel,2017,35.64488
bel,2019,36.862
bfa,2014,0
bfa,2018,0.75296
bgd,2011,3.05581
bgd,2012,3.20914
bgd,2013,3.11523
bgd,2014,3.7683
bgd,2015,5.30487
bgd,2016,5.45023
bgd,2017,5.9162
bgd,2018,6.35262
bgd,2019,6.67177
bgd,2020,10.52627
bgr,1975,3.91027
bgr,1992,15.18762
bgr,2001,19.4697
bgr,2006,21.97226
bgr,2007,22.2241
bgr,2008,22.60105
bgr,2009,23.18179
bgr,2010,23.63328
bgr,2011,23.6131
bgr,2012,24.60257
bgr,2013,26.22396
bgr,2014,27.63025
bgr,2015,28.19088
bgr,2016,28.33035
bgr,2017,28.47521
bgr,2020,29.61647
bhr,2001,11.94125
bhr,2010,10.84342
bhr,2016,18.21288
bhr,2017,19.00535
bhr,2018,28.58093
bhr,2020,26.66399
bhs,2000,0.32925
bhs,2010,17.48482
bih,2010,5.12504
bih,2011,5.53182
bih,2014,7.23483
bih,2015,7.02822
bih,2016,8.07265
bih,2018,7.19264
bih,2020,10.62922
blr,1989,11.47488
blr,2009,22.50513
blr,2019,29.87235
blz,2020,9.06249
bmu,2000,27.80979
bmu,2010,30.4599
bmu,2016,33.81298
bol,2015,21.07655
bol,2019,23.43953
bra,2016,16.91928
bra,2017,17.54056
bra,2018,18.29206
brb,2000,1.14289
brn,2011,11.72812
btn,2012,2.56905
btn,2017,7.38643
can,2016,26.70368
chl,2011,9.84976
chl,2013,10.98633
chl,2015,12.3223
chl,2017,14.13967
chn,2010,2.99765
cod,2013,0.63276
cod,2016,1.49581
col,2007,9.44157
col,2008,9.78447
col,2009,9.16917
col,2010,9.3796
col,2011,9.56236
col,2012,9.54663
col,2013,10.25917
col,2014,10.72745
col,2015,10.56403
col,2016,11.29399
col,2018,12.33599
col,2019,12.68547
col,2020,13.5365
cpv,2015,7.01053
cri,2014,22.71617
cri,2015,21.86707
cri,2016,21.35822
cri,2018,22.35825
cri,2020,22.52881
cub,2012,16.01247
cym,2014,33.39784
cym,2015,32.58224
cyp,2013,23.59765
cyp,2014,25.99875
cyp,2015,25.95676
cyp,2016,27.01692
cyp,2018,29.09061
cyp,2020,30.50217
cze,2014,18.13309
cze,2015,19.05533
cze,2016,19.59991
cze,2017,20.40035
cze,2019,20.94668
deu,2014,19.12617
deu,2015,19.80811
deu,2016,20.68987
deu,2018,21.09905
dma,1970,0.5
dma,1981,0.98799
dma,2001,4.83364
dnk,2014,24.47674
dnk,2015,34.91972
dnk,2016,35.10393
dnk,2018,37.49284
dnk,2020,37.94843
dom,2016,20.97728
ecu,2007,9.40495
ecu,2008,9.52139
ecu,2009,9.71469
ecu,2010,9.81418
ecu,2011,9.75548
ecu,2012,10.98926
ecu,2013,11.61853
ecu,2014,10.70845
ecu,2015,12.73318
ecu,2016,12.41573
ecu,2017,13.4926
ecu,2020,12.88369
esp,2016,22.55663
esp,2018,23.63037
esp,2020,25.54972
est,2020,34.31915
fin,2012,22.18171
fin,2013,23.1059
fin,2014,23.87777
fin,2015,24.56312
fin,2017,26.19034
fin,2019,28.07295
fji,2017,4.96838
fra,2014,15.66949
fra,2015,17.14427
fra,2016,16.85299
fra,2017,17.53119
fra,2019,19.46087
gbr,2013,28.60683
gbr,2014,29.82233
gbr,2017,34.70322
gbr,2020,38.78715
geo,2012,29.84851
geo,2014,30.91455
geo,2016,33.1683
geo,2017,34.37955
geo,2019,34.76293
gin,1996,0.56604
gin,2010,0.66484
gin,2014,1.78628
gin,2018,2.65402
grc,1981,4.9
grc,2010,18.65939
grc,2014,20.83257
grc,2015,22.08016
grc,2016,19.71229
grc,2020,25.38124
grl,2012,12.90681
grl,2014,13.35284
grl,2015,13.75144
grl,2018,14.33153
grl,2019,14.47445
gtm,2012,1.43625
gtm,2013,2.15434
gtm,2014,5.31206
gtm,2019,4.11012
hnd,2007,3.70517
hnd,2011,4.89294
hnd,2012,4.02971
hnd,2014,6.35875
hnd,2015,9.36293
hnd,2016,10.30152
hnd,2018,9.89511
hnd,2019,11.05307
hun,2013,20.94417
hun,2014,20.60579
hun,2015,21.56865
hun,2016,21.23563
hun,2020,25.61931
idn,2014,7.67517
idn,2015,8.06572
idn,2016,8.48476
idn,2018,9.22268
idn,2020,10.55818
ind,2011,6.7249
irl,2010,35.27552
irl,2011,29.09845
irl,2017,33.65489
irn,2012,14.35098
irn,2013,16.16498
irn,2014,16.89235
irn,2016,18.58624
isl,2019,42.45698
isl,2020,41.94912
isr,2013,33.4236
isr,2014,35.01593
isr,2015,35.4365
ita,2020,17.7391
jam,2011,8.3512
jor,2003,0.44551
jor,2018,21.56197
jor,2020,21.94523
jpn,2010,11.56309
kaz,1999,14.44793
kaz,2007,27.88004
kaz,2009,24.29039
kaz,2018,35.88656
kgz,2009,17.42753
kor,2010,19.68333
kor,2015,24.0934
kwt,2005,11.6097
kwt,2006,11.74437
kwt,2007,11.24318
kwt,2008,11.63057
kwt,2012,11.19246
kwt,2013,11.32119
kwt,2015,13.08963
kwt,2017,15.10294
kwt,2018,15.75844
lka,2016,4.18226
lka,2017,4.28623
lka,2018,4.71645
lka,2019,4.79589
ltu,2013,28.67504
ltu,2014,34.48927
ltu,2015,36.33148
ltu,2016,37.60608
ltu,2017,37.97428
ltu,2020,41.39342
lva,2013,32.81848
lva,2014,31.85035
lva,2015,33.88369
lva,2016,35.53389
lva,2018,36.29775
lva,2019,37.13978
mda,2013,20.31741
mda,2014,21.83314
mda,2015,21.23155
mda,2018,21.80831
mda,2019,22.20358
mdg,2018,2.25044
mdv,2006,1.19513
mex,2010,11.57712
mex,2013,12.96743
mex,2014,12.84954
mex,2015,13.61093
mex,2016,13.50798
mex,2017,13.99682
mex,2018,14.86437
mex,2020,16.33602
mhl,2011,2.71046
mkd,2020,22.47983
mli,2015,3.05941
mli,2016,0.67765
mli,2018,1.00082
mli,2020,0.80415
mlt,2013,12.46613
mlt,2014,12.64346
mlt,2015,12.89398
mlt,2016,13.24385
mlt,2018,18.21158
mlt,2020,21.90133
mmr,2019,10.5911
mng,2000,11.70957
mng,2010,26.79746
mng,2020,37.49443
