geo,time,se_prm_gint_zs
abw,1999,104.33239
abw,2000,106.07735
abw,2003,100.33333
abw,2004,101.67673
abw,2005,101.0218
abw,2006,103.34962
abw,2007,105.29287
abw,2008,105.28194
abw,2009,102.08934
abw,2010,101.15607
abw,2013,108.35777
abw,2014,110.9882
afg,1974,32.44302
afg,1977,30.84687
afg,1978,32.43906
afg,1980,48.50431
afg,1981,60.72807
afg,1982,17.31081
afg,1984,24.98955
afg,1985,27.97795
afg,1993,26.10727
afg,1999,31.86713
afg,2002,186.3333
afg,2003,187.76297
afg,2005,110.66335
afg,2007,92.32102
afg,2009,102.5471
afg,2010,108.95861
afg,2011,112.326
afg,2012,117.03964
afg,2013,116.43935
afg,2014,112.2448
afg,2015,108.47538
afg,2018,110.77532
ago,1981,129.8398
ago,1982,117.91686
ago,1991,55.51957
ago,1998,70.35429
ago,2008,137.4107
ago,2009,135.71212
ago,2010,138.02579
ago,2011,156.76825
alb,1996,96.82409
alb,2000,99.64106
alb,2001,100.86266
alb,2003,99.0519
alb,2004,96.76905
alb,2005,97.47824
alb,2006,94.867
alb,2007,97.45695
alb,2008,99.98346
alb,2009,86.52737
alb,2010,98.08922
alb,2011,97.7791
alb,2012,101.7773
alb,2013,106.80678
alb,2014,107.6333
alb,2015,111.0067
alb,2016,109.28381
alb,2017,111.50482
alb,2018,109.09234
are,1974,94.63019
are,1975,91.34937
are,1976,82.91616
are,1977,79.50378
are,1978,74.54836
are,1979,63.34947
are,1980,66.37955
are,1981,66.77301
are,1982,96.13727
are,1983,92.39523
are,1984,98.36763
are,1985,100.48782
are,1986,99.77005
are,1987,103.1331
are,1988,105.35341
are,1989,106.89788
are,1990,108.1789
are,1991,103.31745
are,1992,101.61222
are,1993,99.95885
are,1994,99.10267
are,1995,103.93289
are,1996,98.6815
are,1997,92.49725
are,1998,88.70763
are,2007,106.44079
are,2012,104.7295
are,2013,100.75851
are,2014,104.66917
are,2015,97.69476
are,2017,89.24431
arg,1970,119.31342
arg,1971,121.19912
arg,1974,119.35601
arg,1975,115.79434
arg,1976,117.20216
arg,1991,92.42234
arg,1994,112.33367
arg,1996,112.76941
arg,1997,111.68954
arg,1998,111.39339
arg,1999,106.87103
arg,2000,106.61295
arg,2001,108.5604
arg,2002,109.48463
arg,2003,108.07632
arg,2004,107.52777
arg,2005,106.66205
arg,2006,107.82853
arg,2007,106.12361
arg,2008,104.66588
arg,2009,106.10463
arg,2010,105.48901
arg,2011,106.1216
arg,2012,103.25164
arg,2013,101.72732
arg,2014,102.41138
arg,2015,105.5189
arg,2016,106.43014
arg,2017,106.2035
arm,1994,90.22865
arm,1995,91.89981
arm,1996,91.83178
arm,1997,97.41195
arm,1998,103.50463
arm,1999,104.57117
arm,2000,96.44397
arm,2002,102.3688
arm,2003,92.76457
arm,2004,92.64799
arm,2005,101.41063
arm,2006,105.7554
arm,2008,98.64369
arm,2009,99.44195
arm,2010,104.83095
arm,2011,103.29394
arm,2012,99.82002
arm,2013,95.9695
arm,2014,95.8637
arm,2015,96.09745
arm,2016,97.83123
arm,2017,96.17768
arm,2018,91.89196
atg,1975,95.58413
atg,1976,110.37628
atg,1992,126.68178
atg,2000,105.81474
atg,2007,115.14936
atg,2008,111.16679
atg,2009,102.1045
atg,2010,106.80977
atg,2011,106.38298
atg,2012,98.49284
atg,2014,115.31136
atg,2015,114.36865
atg,2017,95.97701
atg,2018,98.51904
aut,1971,99.98092
aut,1972,99.06565
aut,1973,96.85323
aut,1998,106.17225
aut,1999,105.43008
aut,2002,99.97121
aut,2004,101.41202
aut,2011,97.79686
aut,2012,99.28816
aut,2013,98.42649
aut,2014,97.77493
aut,2015,98.79947
aut,2016,99.04046
aut,2017,101.00607
aze,1991,99.52451
aze,1992,94.26559
aze,1993,93.71672
aze,1994,106.84318
aze,1995,100.75738
aze,1996,90.4954
aze,1997,90.02344
aze,1998,94.05
aze,1999,97.69663
aze,2000,94.85181
aze,2001,98.12778
aze,2002,95.62404
aze,2003,92.67546
aze,2004,99.17438
aze,2005,89.89657
aze,2006,90.75886
aze,2007,90.40295
aze,2008,95.03796
aze,2009,94.43457
aze,2010,89.50567
aze,2011,98.93805
aze,2012,103.76505
aze,2013,112.09085
aze,2014,110.41094
aze,2015,101.24678
aze,2016,104.30567
aze,2017,101.68906
aze,2018,94.85142
bdi,1971,34.86979
bdi,1973,19.95129
bdi,1974,17.7938
bdi,1975,20.14616
bdi,1976,21.54502
bdi,1977,22.5637
bdi,1978,24.50808
bdi,1979,23.27553
bdi,1980,26.2451
bdi,1981,27.63171
bdi,1982,30.92274
bdi,1983,59.79647
bdi,1984,55.10642
bdi,1985,56.35946
bdi,1986,58.71188
bdi,1987,68.1669
bdi,1988,78.24699
bdi,1989,63.00983
bdi,1990,62.74551
bdi,1991,65.39122
bdi,1992,55.47661
bdi,1993,57.60133
bdi,2000,64.37647
bdi,2001,70.59347
bdi,2002,75.91968
bdi,2003,79.84533
bdi,2004,87.20141
bdi,2005,85.15803
bdi,2006,167.23137
bdi,2007,144.21236
bdi,2008,127.05873
bdi,2009,128.09547
bdi,2010,133.86265
bdi,2011,135.33166
bdi,2012,131.59947
bdi,2013,129.86263
bdi,2014,132.54435
bdi,2015,138.94544
bdi,2016,139.50957
bdi,2017,126.37989
bdi,2018,128.05538
bel,1974,96.13252
bel,1975,95.92818
bel,1976,100.76057
bel,1977,97.20787
bel,1978,100.82648
bel,1979,101.21357
bel,1980,98.44945
bel,1981,97.83312
bel,1982,94.37623
bel,1983,95.82826
bel,1984,97.29197
bel,1985,98.71671
bel,1986,100.28968
bel,1987,101.02875
bel,1988,100.30735
bel,1991,92.90625
bel,2004,96.52641
bel,2006,97.19709
bel,2007,98.68844
bel,2008,95.72138
bel,2009,94.19689
bel,2010,95.68203
bel,2011,97.30054
bel,2012,96.53183
bel,2013,99.07903
bel,2014,97.8669
bel,2015,98.5835
bel,2016,97.81686
bel,2017,97.52346
ben,1971,44.68191
ben,1972,48.90789
ben,1973,57.90794
ben,1974,47.78171
ben,1975,64.75321
ben,1976,55.70534
ben,1977,63.70138
ben,1978,61.19624
ben,1979,84.04906
ben,1980,64.31646
ben,1981,76.23362
ben,1982,75.08219
ben,1983,68.08998
ben,1984,67.66297
ben,1985,68.6305
ben,1986,66.3502
ben,1987,73.07228
ben,1988,70.94991
ben,1989,69.45374
ben,1990,72.38974
ben,1991,79.25298
ben,1992,73.29967
ben,1993,77.71182
ben,1994,71.44154
ben,1995,76.07426
ben,1996,77.42179
ben,1997,77.6632
ben,1998,88.2284
ben,2000,99.73154
ben,2001,101.96428
ben,2002,103.97576
ben,2003,103.19863
ben,2004,107.57535
ben,2005,107.28887
ben,2006,120.77007
ben,2008,158.581
ben,2010,146.60229
ben,2011,146.54076
ben,2012,156.18053
ben,2013,154.96226
ben,2014,157.41453
ben,2015,161.96453
ben,2016,158.69049
ben,2017,149.92287
ben,2018,146.92009
bfa,1971,14.0953
bfa,1972,16.02412
bfa,1973,16.25486
bfa,1974,16.42973
bfa,1975,16.01166
bfa,1976,16.42017
bfa,1977,16.14474
bfa,1978,17.99596
bfa,1979,18.29657
bfa,1980,19.90981
bfa,1981,22.052
bfa,1982,23.24758
bfa,1983,25.92851
bfa,1984,26.23485
bfa,1985,32.19146
bfa,1987,32.20045
bfa,1988,29.20274
bfa,1989,32.94467
bfa,1990,33.47222
bfa,1991,33.6989
bfa,1992,32.01957
bfa,1993,36.58282
bfa,1994,35.10693
bfa,1995,45.81087
bfa,1996,45.73246
bfa,1999,46.20916
bfa,2000,46.93492
bfa,2001,49.21614
bfa,2002,51.04803
bfa,2003,57.19621
bfa,2004,70.91619
bfa,2005,74.79348
bfa,2006,75.46594
bfa,2007,82.89318
bfa,2008,89.95085
bfa,2009,84.6123
bfa,2010,90.17976
bfa,2011,90.66561
bfa,2012,92.93752
bfa,2013,95.60018
bfa,2014,100.59685
bfa,2015,105.40329
bfa,2016,106.54462
bfa,2017,108.95436
bfa,2018,111.09734
bgd,1976,115.56478
bgd,1977,119.61999
bgd,1981,114.44432
bgd,1989,107.71563
bgd,2005,122.50648
bgd,2006,123.64872
bgd,2007,106.01014
bgd,2008,107.68433
bgd,2009,111.65011
bgd,2010,115.74175
bgd,2011,130.46604
bgd,2013,125.7713
bgd,2015,116.77142
bgd,2016,103.9233
bgd,2017,100.97673
bgd,2018,105.53788
bgr,1971,106.32113
bgr,1972,94.36338
bgr,1973,93.42305
bgr,1974,92.33697
bgr,1975,93.46729
bgr,1976,105.55333
bgr,1977,106.04382
bgr,1978,102.74932
bgr,1979,98.78424
bgr,1980,95.69456
bgr,1981,102.6199
bgr,1982,113.92878
bgr,1983,104.4839
bgr,1984,105.19977
bgr,1985,105.53757
bgr,1986,103.9573
bgr,1987,106.68312
bgr,1988,96.39095
bgr,1989,93.43725
bgr,1990,88.75984
bgr,1991,92.19391
bgr,1992,92.58535
bgr,1993,95.12846
bgr,1994,99.74166
bgr,1995,101.62654
bgr,1996,106.71133
bgr,1997,106.1474
bgr,1998,109.6284
bgr,1999,99.69581
bgr,2000,101.46543
bgr,2001,103.76898
bgr,2002,102.86179
bgr,2003,105.43706
bgr,2004,106.09983
bgr,2005,98.43828
bgr,2006,105.56848
bgr,2007,117.60073
bgr,2008,115.36475
bgr,2009,104.97756
bgr,2010,102.22712
bgr,2011,100.4236
bgr,2012,99.17428
bgr,2013,96.3174
bgr,2014,95.54327
bgr,2015,92.22758
bgr,2016,90.20696
bgr,2017,90.9911
bhr,1982,93.50176
bhr,1983,95.58453
bhr,1984,103.14458
bhr,1985,107.79605
bhr,1986,108.39768
bhr,1987,103.02559
bhr,1988,101.8755
bhr,1989,100.89311
bhr,1991,104.39859
bhr,1992,81.76553
bhr,1993,101.96769
bhr,1994,103.93921
bhr,1995,103.97216
bhr,1996,105.01894
bhr,1998,102.23734
bhr,1999,102.81911
bhr,2000,97.38224
bhr,2001,91.37179
bhr,2002,89.2525
bhr,2003,89.67562
bhr,2004,89.20326
bhr,2005,88.17655
bhr,2006,92.97483
bhr,2008,86.5477
bhr,2009,89.4467
bhr,2010,95.87415
bhr,2011,96.99959
bhr,2012,95.69389
bhr,2013,94.6065
bhr,2014,98.64157
bhr,2015,101.52672
bhr,2016,102.27122
bhr,2017,96.98386
bhr,2018,89.1598
bhs,1994,111.67896
bhs,1995,99.1737
bhs,1996,102.39542
bhs,1997,89.19769
bhs,1998,96.05085
bhs,1999,115.77043
bhs,2004,99.09046
bhs,2005,100.82061
bhs,2006,101.8138
bhs,2007,103.78205
bhs,2008,101.79458
bhs,2009,98.07877
bhs,2010,85.78259
bhs,2011,92.13554
bhs,2012,86.59924
bhs,2013,84.28481
bhs,2014,84.93697
bhs,2015,87.15463
bhs,2016,83.06878
bhs,2017,88.50437
bhs,2018,83.28551
blr,1971,98.47466
blr,1972,97.25377
blr,1973,95.98374
blr,1974,98.73436
blr,1975,98.20332
blr,1976,98.81059
blr,1977,100.59864
blr,1978,102.74574
blr,1979,105.87062
blr,1980,112.82511
blr,1981,120.67872
blr,1982,127.05536
blr,1983,131.82495
blr,1984,138.82462
blr,1985,145.1892
blr,1986,151.39361
blr,1988,99.24238
blr,1989,93.74109
blr,1990,98.71282
blr,1991,99.17406
blr,1992,95.30501
blr,1993,96.12502
blr,1994,96.86919
blr,1995,98.30402
blr,1996,101.20452
blr,1997,102.46674
blr,1998,103.7908
blr,1999,134.12318
blr,2000,102.92583
blr,2001,102.35665
blr,2002,99.5674
blr,2003,98.7812
blr,2004,97.42519
blr,2005,99.02031
blr,2006,105.15713
blr,2007,107.08181
blr,2008,108.57217
blr,2009,103.5651
blr,2010,99.85944
blr,2011,98.93077
blr,2012,97.62332
blr,2013,98.12116
blr,2014,101.4101
blr,2015,102.54339
blr,2016,105.92952
blr,2017,97.73895
blr,2018,94.11003
blz,1992,136.20163
blz,1995,144.30034
blz,1996,147.91844
blz,1999,126.86703
blz,2000,119.11807
blz,2001,99.55245
blz,2003,101.13849
blz,2004,101.38267
blz,2005,103.74886
blz,2006,112.01536
blz,2007,111.62197
blz,2008,104.88117
blz,2009,103.39048
blz,2010,104.78506
blz,2011,102.12766
blz,2012,104.39306
blz,2013,103.13394
blz,2014,104.19028
blz,2015,105.28136
blz,2016,103.75449
blz,2017,101.73602
blz,2018,98.49042
bmu,1975,75.05519
bmu,2001,99.75904
bmu,2002,98.78049
bmu,2003,106.42769
bmu,2004,101.00376
bmu,2005,103.31633
bmu,2006,102.85344
bmu,2010,100.41494
bmu,2011,101.9774
bmu,2012,99.13669
bmu,2013,97.07174
bmu,2014,106.87593
bmu,2015,70.75038
bol,1990,139.68648
bol,1991,132.67733
bol,1992,129.64363
bol,1993,133.02962
bol,1994,135.55693
bol,1995,137.88049
bol,1996,134.88493
bol,1997,135.79438
bol,1998,129.39453
bol,1999,132.38759
bol,2000,128.98242
bol,2001,127.53571
bol,2002,127.42769
bol,2003,123.07692
bol,2004,124.72192
bol,2005,125.44526
bol,2006,125.24056
bol,2007,123.91753
bol,2008,115.7387
bol,2009,96.52582
bol,2010,90.30936
bol,2011,88.11135
bol,2012,90.59564
bol,2013,92.28039
bol,2014,92.6226
bol,2015,94.79886
bol,2016,95.68299
bol,2017,100.09803
bol,2018,98.96598
bra,2001,120.2463
bra,2002,119.01565
bra,2003,116.01732
bra,2004,119.94695
bra,2005,123.59049
brb,1999,98.90629
brb,2000,89.87342
brb,2001,92.61745
brb,2002,89.41236
brb,2003,96.32505
brb,2004,97.17156
brb,2005,101.20805
brb,2006,103.47709
brb,2007,108.90448
brb,2008,101.2631
brb,2009,97.492
brb,2010,94.98807
brb,2011,93.42872
brb,2014,95.53041
brb,2017,95.07193
brb,2018,98.33228
brn,1972,108.21304
brn,1973,106.55859
brn,1974,106.16091
brn,1975,103.64792
brn,1976,101.3776
brn,1977,105.26882
brn,1978,100.8589
brn,1979,32.42715
brn,1980,96.45833
brn,1981,96.45416
brn,1982,89.95147
brn,1983,97.45403
brn,1984,100.53998
brn,1986,106.72485
brn,1991,103.18928
brn,1992,102.2456
brn,1993,105.72135
brn,1994,107.28074
brn,1995,104.70238
brn,1997,106.43409
brn,1998,111.39867
brn,1999,108.91145
brn,2000,105.01136
brn,2001,102.36846
brn,2002,104.36327
brn,2003,106.56674
brn,2004,106.47895
brn,2005,108.2513
brn,2006,113.14608
brn,2007,107.76727
brn,2008,107.29777
brn,2009,100.97633
brn,2010,103.88408
brn,2011,107.73321
brn,2012,106.93131
brn,2013,107.22758
brn,2014,102.19833
brn,2015,105.7014
brn,2016,105.13595
brn,2017,100.04623
brn,2018,100.54912
btn,1976,75.46392
