geo,time,sp_pop_1564_ma_in
abw,1960,14162
abw,1961,14576
abw,1962,14850
abw,1963,15031
abw,1964,15191
abw,1965,15392
abw,1966,15582
abw,1967,15831
abw,1968,16107
abw,1969,16377
abw,1970,16622
abw,1971,16954
abw,1972,17256
abw,1973,17536
abw,1974,17838
abw,1975,18150
abw,1976,18296
abw,1977,18479
abw,1978,18723
abw,1979,19005
abw,1980,19327
abw,1981,19655
abw,1982,20041
abw,1983,20402
abw,1984,20669
abw,1985,20814
abw,1986,20608
abw,1987,20328
abw,1988,20129
abw,1989,20200
abw,1990,20624
abw,1991,21729
abw,1992,23170
abw,1993,24767
abw,1994,26316
abw,1995,27637
abw,1996,28422
abw,1997,28977
abw,1998,29388
abw,1999,29761
abw,2000,30187
abw,2001,30772
abw,2002,31396
abw,2003,32021
abw,2004,32602
abw,2005,33069
abw,2006,33262
abw,2007,33317
abw,2008,33289
abw,2009,33229
abw,2010,33188
abw,2011,33360
abw,2012,33580
abw,2013,33828
abw,2014,34066
abw,2015,34248
abw,2016,34429
abw,2017,34523
abw,2018,34559
abw,2019,34582
abw,2020,34616
afg,1960,2611252
afg,1961,2637079
afg,1962,2668878
afg,1963,2705709
afg,1964,2747065
afg,1965,2792949
afg,1966,2827247
afg,1967,2867097
afg,1968,2913470
afg,1969,2967946
afg,1970,3031150
afg,1971,3087644
afg,1972,3152333
afg,1973,3221531
afg,1974,3291241
afg,1975,3358895
afg,1976,3405258
afg,1977,3448078
afg,1978,3479864
afg,1979,3492317
afg,1980,3482238
afg,1981,3414366
afg,1982,3324621
afg,1983,3224651
afg,1984,3128408
afg,1985,3046212
afg,1986,2983459
afg,1987,2944991
afg,1988,2946750
afg,1989,3006881
afg,1990,3130991
afg,1991,3373893
afg,1992,3697529
afg,1993,4056078
afg,1994,4395270
afg,1995,4683813
afg,1996,4849664
afg,1997,4946928
afg,1998,5015263
afg,1999,5103716
afg,2000,5241777
afg,2001,5469968
afg,2002,5756830
afg,2003,6074051
afg,2004,6384124
afg,2005,6663946
afg,2006,6827106
afg,2007,6955667
afg,2008,7076163
afg,2009,7223804
afg,2010,7421549
afg,2011,7739084
afg,2012,8115940
afg,2013,8533346
afg,2014,8963516
afg,2015,9386355
afg,2016,9750113
afg,2017,10100169
afg,2018,10444644
afg,2019,10796549
afg,2020,11164198
ago,1960,1507760
ago,1961,1517640
ago,1962,1522796
ago,1963,1527526
ago,1964,1536212
ago,1965,1549774
ago,1966,1550616
ago,1967,1556148
ago,1968,1562664
ago,1969,1568290
ago,1970,1575590
ago,1971,1617342
ago,1972,1662286
ago,1973,1713259
ago,1974,1773881
ago,1975,1844035
ago,1976,1899171
ago,1977,1969335
ago,1978,2048298
ago,1979,2126421
ago,1980,2199387
ago,1981,2268581
ago,1982,2332013
ago,1983,2394058
ago,1984,2462705
ago,1985,2541970
ago,1986,2616830
ago,1987,2702342
ago,1988,2796164
ago,1989,2894017
ago,1990,2993815
ago,1991,3083264
ago,1992,3177888
ago,1993,3277830
ago,1994,3383885
ago,1995,3496756
ago,1996,3603700
ago,1997,3718930
ago,1998,3842754
ago,1999,3975380
ago,2000,4116802
ago,2001,4251553
ago,2002,4396602
ago,2003,4551948
ago,2004,4717292
ago,2005,4892160
ago,2006,5060774
ago,2007,5241247
ago,2008,5431983
ago,2009,5631524
ago,2010,5839147
ago,2011,6038126
ago,2012,6248274
ago,2013,6468908
ago,2014,6700096
ago,2015,6942530
ago,2016,7183297
ago,2017,7437436
ago,2018,7705079
ago,2019,7986290
ago,2020,8281395
alb,1960,457340
alb,1961,469049
alb,1962,480647
alb,1963,492203
alb,1964,504429
alb,1965,517466
alb,1966,530462
alb,1967,545270
alb,1968,562862
alb,1969,581973
alb,1970,599989
alb,1971,618446
alb,1972,637809
alb,1973,657167
alb,1974,677472
alb,1975,699379
alb,1976,720313
alb,1977,743108
alb,1978,766080
alb,1979,788624
alb,1980,811339
alb,1981,833330
alb,1982,855906
alb,1983,878592
alb,1984,901734
alb,1985,925213
alb,1986,947890
alb,1987,971807
alb,1988,994407
alb,1989,1024086
alb,1990,1043599
alb,1991,1022665
alb,1992,999570
alb,1993,976646
alb,1994,956419
alb,1995,940433
alb,1996,944963
alb,1997,952581
alb,1998,961456
alb,1999,969344
alb,2000,974921
alb,2001,972297
alb,2002,974191
alb,2003,974443
alb,2004,974328
alb,2005,974111
alb,2006,973755
alb,2007,972104
alb,2008,970451
alb,2009,969706
alb,2010,970498
alb,2011,981054
alb,2012,991073
alb,2013,998814
alb,2014,1004033
alb,2015,1006194
alb,2016,1005250
alb,2017,1005023
alb,2018,1002443
alb,2019,996330
alb,2020,986790
are,1960,24237
are,1961,28674
are,1962,34729
are,1963,41859
are,1964,49164
are,1965,56064
are,1966,62207
are,1967,68055
are,1968,75371
are,1969,86707
are,1970,103879
are,1971,131714
are,1972,165784
are,1973,205274
are,1974,248959
are,1975,295629
are,1976,349708
are,1977,407260
are,1978,463210
are,1979,512828
are,1980,553920
are,1981,582281
are,1982,602305
are,1983,617594
are,1984,633837
are,1985,655489
are,1986,690199
are,1987,733358
are,1988,783277
are,1989,837879
are,1990,895910
are,1991,960859
are,1992,1030132
are,1993,1102396
are,1994,1175961
are,1995,1249921
are,1996,1322504
are,1997,1401731
are,1998,1485299
are,1999,1573878
are,2000,1672634
are,2001,1812314
are,2002,1954743
are,2003,2132398
are,2004,2393644
are,2005,2769399
are,2006,3330146
are,2007,4007942
are,2008,4713829
are,2009,5330888
are,2010,5780868
are,2011,5984232
are,2012,6024075
are,2013,5952776
are,2014,5854271
are,2015,5793154
are,2016,5791803
are,2017,5833476
are,2018,5899047
are,2019,5961864
are,2020,6005806
arg,1960,6560840
arg,1961,6653967
arg,1962,6753339
arg,1963,6857648
arg,1964,6964531
arg,1965,7072602
arg,1966,7171107
arg,1967,7271952
arg,1968,7375191
arg,1969,7480836
arg,1970,7588509
arg,1971,7689653
arg,1972,7791598
arg,1973,7893115
arg,1974,7992242
arg,1975,8087517
arg,1976,8158512
arg,1977,8224716
arg,1978,8291010
arg,1979,8364785
arg,1980,8450349
arg,1981,8529242
arg,1982,8631354
arg,1983,8748055
arg,1984,8867063
arg,1985,8982781
arg,1986,9111560
arg,1987,9228024
arg,1988,9342612
arg,1989,9470413
arg,1990,9617424
arg,1991,9748452
arg,1992,9900209
arg,1993,10064934
arg,1994,10229787
arg,1995,10388486
arg,1996,10535293
arg,1997,10679480
arg,1998,10822852
arg,1999,10970110
arg,2000,11124170
arg,2001,11284772
arg,2002,11446495
arg,2003,11610884
arg,2004,11779971
arg,2005,11953966
arg,2006,12112635
arg,2007,12280933
arg,2008,12455040
arg,2009,12628100
arg,2010,12762675
arg,2011,12939409
arg,2012,13107879
arg,2013,13270648
arg,2014,13433298
arg,2015,13598655
arg,2016,13750132
arg,2017,13906479
arg,2018,14065973
arg,2019,14225768
arg,2020,14384474
arm,1960,484271
arm,1961,493272
arm,1962,503876
arm,1963,516317
arm,1964,530763
arm,1965,547451
arm,1966,566040
arm,1967,587670
arm,1968,612052
arm,1969,638338
arm,1970,665857
arm,1971,697114
arm,1972,727386
arm,1973,757232
arm,1974,787687
arm,1975,819040
arm,1976,847293
arm,1977,876741
arm,1978,906218
arm,1979,934066
arm,1980,959625
arm,1981,982083
arm,1982,1001421
arm,1983,1018691
arm,1984,1035581
arm,1985,1052732
arm,1986,1070229
arm,1987,1087783
arm,1988,1101713
arm,1989,1107333
arm,1990,1102295
arm,1991,1080251
arm,1992,1047556
arm,1993,1009348
arm,1994,972440
arm,1995,941499
arm,1996,924045
arm,1997,913781
arm,1998,909224
arm,1999,907566
arm,2000,906579
arm,2001,909802
arm,2002,912465
arm,2003,914729
arm,2004,917095
arm,2005,919754
arm,2006,919427
arm,2007,919272
arm,2008,919201
arm,2009,919024
arm,2010,918875
arm,2011,920800
arm,2012,924283
arm,2013,928424
arm,2014,932250
arm,2015,935029
arm,2016,935722
arm,2017,935209
arm,2018,933777
arm,2019,931859
arm,2020,929814
atg,1960,12980
atg,1961,13184
atg,1962,13378
atg,1963,13557
atg,1964,13745
atg,1965,13964
atg,1966,14277
atg,1967,14610
atg,1968,14910
atg,1969,15138
atg,1970,15276
atg,1971,15578
atg,1972,15748
atg,1973,15801
atg,1974,15796
atg,1975,15786
atg,1976,15945
atg,1977,16120
atg,1978,16267
atg,1979,16377
atg,1980,16467
atg,1981,16674
atg,1982,16887
atg,1983,17064
atg,1984,17213
atg,1985,17338
atg,1986,17566
atg,1987,17780
atg,1988,17987
atg,1989,18203
atg,1990,18438
atg,1991,18759
atg,1992,19141
atg,1993,19546
atg,1994,19936
atg,1995,20320
atg,1996,20816
atg,1997,21295
atg,1998,21750
atg,1999,22186
atg,2000,22612
atg,2001,23131
atg,2002,23639
atg,2003,24150
atg,2004,24677
atg,2005,25231
atg,2006,25812
atg,2007,26427
atg,2008,27070
atg,2009,27727
atg,2010,28362
atg,2011,28885
atg,2012,29415
atg,2013,29924
atg,2014,30406
atg,2015,30840
atg,2016,31163
atg,2017,31475
atg,2018,31745
atg,2019,31991
atg,2020,32205
aus,1960,3219114
aus,1961,3277324
aus,1962,3361456
aus,1963,3436138
aus,1964,3515169
aus,1965,3594109
aus,1966,3685552
aus,1967,3739776
aus,1968,3811689
aus,1969,3897879
aus,1970,3984670
aus,1971,4131083
aus,1972,4217930
aus,1973,4294235
aus,1974,4418425
aus,1975,4491181
aus,1976,4543052
aus,1977,4611984
aus,1978,4688957
aus,1979,4761630
aus,1980,4837560
aus,1981,4942211
aus,1982,5043308
aus,1983,5119305
aus,1984,5191476
aus,1985,5280666
aus,1986,5372486
aus,1987,5467899
aus,1988,5574446
aus,1989,5680900
aus,1990,5768446
aus,1991,5838769
aus,1992,5897865
aus,1993,5940389
aus,1994,5992925
aus,1995,6063414
aus,1996,6139636
aus,1997,6211878
aus,1998,6284158
aus,1999,6362444
aus,2000,6441298
aus,2001,6540220
aus,2002,6629516
aus,2003,6719456
aus,2004,6805811
aus,2005,6904284
aus,2006,7027265
aus,2007,7090020
aus,2008,7245568
aus,2009,7398431
aus,2010,7506055
aus,2011,7572959
aus,2012,7666241
aus,2013,7757084
aus,2014,7829949
aus,2015,7899670
aus,2016,7978294
aus,2017,8066288
aus,2018,8144071
aus,2019,8225720
aus,2020,8293954
aut,1960,2151171
aut,1961,2153020
aut,1962,2157640
aut,1963,2162868
aut,1964,2167251
aut,1965,2169739
aut,1966,2170812
aut,1967,2172675
aut,1968,2171015
aut,1969,2169753
aut,1970,2174374
aut,1971,2183278
aut,1972,2201384
aut,1973,2224626
aut,1974,2243636
aut,1975,2256145
aut,1976,2269778
aut,1977,2289798
aut,1978,2309907
aut,1979,2332405
aut,1980,2363516
aut,1981,2398913
aut,1982,2433389
aut,1983,2462782
aut,1984,2493111
aut,1985,2520043
aut,1986,2536041
aut,1987,2550504
aut,1988,2564787
aut,1989,2584130
aut,1990,2608387
aut,1991,2633445
aut,1992,2657036
aut,1993,2671341
aut,1994,2676348
aut,1995,2680521
aut,1996,2684044
aut,1997,2692995
aut,1998,2705574
aut,1999,2719758
aut,2000,2731813
aut,2001,2743864
aut,2002,2755707
aut,2003,2765301
aut,2004,2778775
aut,2005,2795313
aut,2006,2804354
aut,2007,2809870
aut,2008,2816039
aut,2009,2820940
aut,2010,2824953
aut,2011,2832408
