geo,time,sl_uem_1524_zs
afg,1991,18.084
afg,1992,18.262
afg,1993,18.103
afg,1994,18.085
afg,1995,18.643
afg,1996,18.35
afg,1997,18.094
afg,1998,18.079
afg,1999,18.038
afg,2000,17.973
afg,2001,17.869
afg,2002,18.324
afg,2003,18.092
afg,2004,17.831
afg,2005,18.056
afg,2006,17.946
afg,2007,18.221
afg,2008,17.984
afg,2009,18.239
afg,2010,18.247
afg,2011,17.777
afg,2012,18.002
afg,2013,17.723
afg,2014,17.57
afg,2015,17.475
afg,2016,17.459
afg,2017,17.437
afg,2018,17.466
afg,2019,17.611
afg,2020,16.117
ago,1991,9.041
ago,1992,9.018
ago,1993,9.045
ago,1994,8.909
ago,1995,8.821
ago,1996,8.792
ago,1997,8.795
ago,1998,8.793
ago,1999,8.793
ago,2000,8.776
ago,2001,8.743
ago,2002,8.676
ago,2003,8.686
ago,2004,8.626
ago,2005,8.582
ago,2006,8.55
ago,2007,8.5
ago,2008,8.472
ago,2009,8.478
ago,2010,19.45
ago,2011,16.847
ago,2012,16.767
ago,2013,16.76
ago,2014,16.731
ago,2015,16.731
ago,2016,16.722
ago,2017,16.671
ago,2018,16.653
ago,2019,16.61
ago,2020,18.087
alb,1991,16.722
alb,1992,48.343
alb,1993,40.506
alb,1994,33.463
alb,1995,23.424
alb,1996,22.438
alb,1997,27.422
alb,1998,32.426
alb,1999,33.723
alb,2000,30.883
alb,2001,30.168
alb,2002,29.06
alb,2003,27.665
alb,2004,26.635
alb,2005,26.157
alb,2006,25.751
alb,2007,26.48
alb,2008,26.379
alb,2009,27.265
alb,2010,30.808
alb,2011,22.655
alb,2012,28.794
alb,2013,31.204
alb,2014,39.595
alb,2015,39.78
alb,2016,36.029
alb,2017,31.27
alb,2018,28.19
alb,2019,27.018
alb,2020,30.319
are,1991,5.226
are,1992,5.119
are,1993,5.114
are,1994,5.091
are,1995,5.121
are,1996,5.255
are,1997,5.391
are,1998,5.645
are,1999,5.845
are,2000,6.011
are,2001,6.344
are,2002,6.652
are,2003,6.995
are,2004,7.475
are,2005,8.077
are,2006,7.611
are,2007,7.407
are,2008,7.237
are,2009,7.186
are,2010,7.021
are,2011,6.685
are,2012,6.419
are,2013,6.159
are,2014,5.929
are,2015,5.697
are,2016,5.303
are,2017,7.853
are,2018,7.511
are,2019,7.164
are,2020,9.008
arg,1991,11.497
arg,1992,13.451
arg,1993,21.444
arg,1994,24.898
arg,1995,39.246
arg,1996,36.2
arg,1997,31.586
arg,1998,26.913
arg,1999,29.624
arg,2000,31.804
arg,2001,36.625
arg,2002,40.997
arg,2003,33.239
arg,2004,29.519
arg,2005,26.188
arg,2006,23.746
arg,2007,20.223
arg,2008,18.864
arg,2009,21.108
arg,2010,19.287
arg,2011,18.629
arg,2012,18.271
arg,2013,19.475
arg,2014,19.092
arg,2015,20.102
arg,2016,21.785
arg,2017,22.779
arg,2018,23.771
arg,2019,25.724
arg,2020,30.336
arm,1991,2.146
arm,1992,2.429
arm,1993,6.956
arm,1994,8.637
arm,1995,8.508
arm,1996,11.618
arm,1997,13.384
arm,1998,11.653
arm,1999,13.875
arm,2000,13.559
arm,2001,13.286
arm,2002,13.021
arm,2003,12.726
arm,2004,12.385
arm,2005,12.145
arm,2006,11.86
arm,2007,11.594
arm,2008,26.196
arm,2009,39.827
arm,2010,38.598
arm,2011,38.378
arm,2012,34.605
arm,2013,35.107
arm,2014,36.765
arm,2015,31.798
arm,2016,35.949
arm,2017,37.764
arm,2018,33.583
arm,2019,32.49
arm,2020,36.589
aus,1991,17.474
aus,1992,19.274
aus,1993,18.531
aus,1994,16.868
aus,1995,15.189
aus,1996,15.639
aus,1997,15.816
aus,1998,14.45
aus,1999,13.108
aus,2000,12.107
aus,2001,13.49
aus,2002,12.804
aus,2003,11.958
aus,2004,11.348
aus,2005,10.595
aus,2006,9.981
aus,2007,9.302
aus,2008,8.755
aus,2009,11.406
aus,2010,11.482
aus,2011,11.299
aus,2012,11.653
aus,2013,12.17
aus,2014,13.272
aus,2015,13.098
aus,2016,12.656
aus,2017,12.646
aus,2018,11.864
aus,2019,11.832
aus,2020,14.272
aut,1991,3.716
aut,1992,4.131
aut,1993,4.661
aut,1994,4.966
aut,1995,5.913
aut,1996,6.839
aut,1997,7.564
aut,1998,7.487
aut,1999,5.928
aut,2000,6.297
aut,2001,6.014
aut,2002,7.144
aut,2003,7.433
aut,2004,12.071
aut,2005,10.982
aut,2006,9.754
aut,2007,9.407
aut,2008,8.483
aut,2009,10.646
aut,2010,9.449
aut,2011,8.908
aut,2012,9.39
aut,2013,9.641
aut,2014,10.266
aut,2015,10.582
aut,2016,11.249
aut,2017,9.787
aut,2018,9.367
aut,2019,8.513
aut,2020,10.43
aze,1991,1.766
aze,1992,3.529
aze,1993,8.785
aze,1994,12.267
aze,1995,13.994
aze,1996,15.646
aze,1997,17.468
aze,1998,19.067
aze,1999,20.767
aze,2000,22.248
aze,2001,22.23
aze,2002,21.687
aze,2003,18.999
aze,2004,18.302
aze,2005,15.373
aze,2006,14.752
aze,2007,13.543
aze,2008,13.87
aze,2009,13.821
aze,2010,14.81
aze,2011,14.591
aze,2012,14.063
aze,2013,13.482
aze,2014,13.42
aze,2015,13.311
aze,2016,13.298
aze,2017,13.066
aze,2018,12.635
aze,2019,12.446
aze,2020,15.302
bdi,1991,3.072
bdi,1992,3.097
bdi,1993,3.126
bdi,1994,3.101
bdi,1995,3.096
bdi,1996,3.085
bdi,1997,3.041
bdi,1998,2.993
bdi,1999,2.988
bdi,2000,2.957
bdi,2001,2.923
bdi,2002,2.896
bdi,2003,2.908
bdi,2004,2.876
bdi,2005,2.892
bdi,2006,2.881
bdi,2007,2.901
bdi,2008,2.911
bdi,2009,2.898
bdi,2010,2.879
bdi,2011,2.871
bdi,2012,2.858
bdi,2013,2.843
bdi,2014,2.829
bdi,2015,2.902
bdi,2016,2.937
bdi,2017,2.98
bdi,2018,3.021
bdi,2019,3.062
bdi,2020,3.247
bel,1991,13.966
bel,1992,13.194
bel,1993,18.444
bel,1994,21.904
bel,1995,21.574
bel,1996,20.511
bel,1997,21.335
bel,1998,20.427
bel,1999,22.644
bel,2000,15.288
bel,2001,15.372
bel,2002,15.664
bel,2003,18.975
bel,2004,17.496
bel,2005,21.468
bel,2006,20.49
bel,2007,18.807
bel,2008,17.96
bel,2009,21.924
bel,2010,22.394
bel,2011,18.732
bel,2012,19.741
bel,2013,23.703
bel,2014,23.204
bel,2015,22.128
bel,2016,20.101
bel,2017,19.281
bel,2018,15.773
bel,2019,14.277
bel,2020,15.356
ben,1991,1.711
ben,1992,1.686
ben,1993,1.595
ben,1994,1.518
ben,1995,1.425
ben,1996,1.343
ben,1997,1.255
ben,1998,1.172
ben,1999,1.084
ben,2000,0.998
ben,2001,0.912
ben,2002,0.827
ben,2003,0.982
ben,2004,1.132
ben,2005,1.292
ben,2006,1.443
ben,2007,1.598
ben,2008,1.768
ben,2009,1.95
ben,2010,2.13
ben,2011,5.428
ben,2012,5.166
ben,2013,4.9
ben,2014,4.664
ben,2015,4.461
ben,2016,4.201
ben,2017,3.934
ben,2018,3.677
