geo,time,se_ter_cuat_st_zs
abw,1991,7.18651
abw,2000,16.39508
abw,2010,12.8243
ago,2014,2.6339
alb,2001,7.42788
alb,2008,9.81618
alb,2011,12.00263
alb,2012,12.89966
and,2003,27.80536
and,2004,30.51042
and,2005,28.10639
and,2006,30.47791
and,2014,32.68108
and,2015,32.42025
and,2016,32.22919
are,2005,17.95677
are,2016,34.85989
are,2017,50.65997
are,2018,51.78467
are,2019,51.76515
arg,1970,4
arg,1980,6.1
arg,1991,12.00991
arg,2001,11.08125
arm,2011,43.69165
arm,2015,47.32347
arm,2017,43.51989
arm,2020,43.32258
aus,2004,30.8231
aus,2005,31.69099
aus,2006,33.01255
aus,2007,33.74059
aus,2008,35.81874
aus,2009,36.80347
aus,2010,37.48809
aus,2011,38.3591
aus,2012,41.28002
aus,2013,37.20585
aus,2014,39.52342
aus,2015,40.47204
aus,2016,41.38992
aus,2017,42.61435
aus,2018,43.27223
aus,2019,44.45795
aus,2020,46.45239
aut,2005,15.95592
aut,2007,15.83076
aut,2008,15.20425
aut,2009,17.32299
aut,2010,17.51952
aut,2011,17.51094
aut,2012,18.00683
aut,2013,18.60537
aut,2014,26.28022
aut,2015,26.93491
aut,2016,27.82419
aut,2017,28.43347
aut,2019,29.86921
aze,2008,25.04154
aze,2009,25.05772
aze,2010,25.22589
aze,2011,25.27255
aze,2012,25.33678
aze,2013,25.38323
aze,2014,25.40687
aze,2015,25.4116
aze,2016,25.46512
aze,2017,25.42867
aze,2019,25.4013
bdi,1990,0.59623
bdi,2008,3.04347
bdi,2014,1.3528
bdi,2017,1.63555
bel,2006,26.75051
bel,2008,27.40498
bel,2009,28.44017
bel,2010,30.00144
bel,2011,29.80615
bel,2012,30.41778
bel,2013,30.52478
bel,2014,31.55285
bel,2015,32.06457
bel,2016,32.54087
bel,2017,35.12408
bel,2019,35.7982
ben,1979,0.30004
ben,1992,1.30313
ben,2002,2.1615
bfa,2006,1.83584
bfa,2007,0.16585
bfa,2014,0
bfa,2018,2.6757
bgd,2011,5.97436
bgd,2012,6.15952
bgd,2013,5.73784
bgd,2014,6.10906
bgd,2015,8.56976
bgd,2016,8.85022
bgd,2017,9.32696
bgd,2018,9.72739
bgd,2019,10.13761
bgd,2020,14.53043
bhr,2001,11.21361
bhr,2010,19.26988
bhs,2010,22.89429
bih,2010,9.22543
bih,2011,9.84786
bih,2014,11.30084
bih,2015,10.51735
bih,2016,11.08586
bih,2018,10.83511
bih,2020,13.123
blr,1989,12.48125
blr,2009,51.38074
blr,2019,60.68958
blz,2010,5.7185
blz,2020,20.97062
bmu,2010,37.36489
bmu,2016,40.81064
bol,1976,5.03634
bol,1992,10.81339
bol,2001,14.07772
bol,2006,20.91688
bol,2008,20.53512
bol,2009,22.76959
bol,2012,24.03224
bol,2015,26.62098
bol,2019,31.10759
bra,1970,1.97546
bra,1976,4.3
bra,1980,4.97579
bra,2004,8.11464
bra,2006,8.64059
bra,2007,9.3327
bra,2008,10.01506
bra,2009,10.59687
bra,2010,11.2994
bra,2011,11.44956
bra,2012,11.9615
bra,2013,12.63157
bra,2014,13.15737
bra,2015,13.55625
bra,2016,15.34518
bra,2017,15.73458
bra,2018,16.54339
brn,2011,13.17
btn,2012,4.54776
btn,2017,10.19937
can,1986,19.34097
can,1991,21.53019
can,2001,40.27597
can,2006,43.86327
can,2011,47.67457
can,2016,49.66761
che,2009,31.06449
che,2010,31.00496
che,2011,31.02765
che,2012,32.31963
che,2014,35.60501
che,2015,36.94929
che,2016,36.61719
che,2018,38.98196
che,2019,39.66285
chl,1970,3.8
chl,1982,7.14266
chl,2004,13.15653
chl,2007,15.05154
chl,2008,20.92426
chl,2010,18.08045
chl,2011,15.16614
chl,2013,17.707
chl,2015,19.80921
chl,2017,22.03569
chn,2010,8.81204
cmr,2010,1.44438
cod,1984,1.30249
cod,2013,5.42532
cod,2016,9.11784
col,1993,10.5962
col,2004,15.37377
col,2005,15.88417
col,2006,11.36319
col,2007,14.54911
col,2008,15.32481
col,2009,14.72205
col,2010,15.67974
col,2011,16.21407
col,2012,17.07997
col,2013,18.59458
col,2014,19.70505
col,2015,19.51997
col,2016,20.13631
col,2018,21.25133
col,2019,21.62698
col,2020,22.53949
cpv,2015,9.77452
cri,1973,5.77937
cri,2007,17.58885
cri,2008,20.40575
cri,2009,20.91745
cri,2010,20.0054
cri,2011,20.56726
cri,2012,20.98714
cri,2014,23.49548
cri,2015,21.90957
cri,2016,21.44584
cri,2018,22.22991
cri,2020,22.29335
cub,2002,9.35904
cub,2012,15.08281
cym,2004,25.88495
cym,2005,24.49486
cym,2006,23.76184
cym,2007,36.93346
cym,2008,37.61652
cym,2014,41.22643
cym,2015,38.16617
cyp,2004,25.5007
cyp,2005,24.88507
cyp,2006,26.4095
cyp,2007,28.71801
cyp,2008,29.91406
cyp,2009,29.42642
cyp,2010,30.88688
cyp,2011,29.86303
cyp,2012,34.10452
cyp,2013,34.23312
cyp,2014,35.21619
cyp,2015,34.82843
cyp,2016,36.49581
cyp,2018,37.79052
cyp,2020,38.63199
cze,2006,12.47239
cze,2007,12.61216
cze,2008,13.28352
cze,2009,14.31428
cze,2010,15.33216
