global,time,ne_con_prvt_pp_kd
world,1990,27004359021113.89453
world,1991,27491353128474
world,1992,28306830117836.10156
world,1993,28888232845342.19922
world,1994,29788189378535.39844
world,1995,30714554755171.39844
world,1996,31996147178878.89453
world,1997,33100873993098.60156
world,1998,34064159062679.19922
world,1999,35350610323613.89844
world,2000,36884367109585.79688
world,2001,38107569353123.79688
world,2002,39242155356408.89844
world,2003,40516792423940.09375
world,2004,42249351640363.39844
world,2005,44197696068204
world,2006,45979542694366.39844
world,2007,48369406781999.89844
world,2008,49519448399422.09375
world,2009,49765950280181.10156
world,2010,51689826847093.29688
world,2011,53724014772503.60156
world,2012,55421051396287.39844
world,2013,57370241582054.39844
world,2014,59219358052015
world,2015,61033537246772.79688
world,2016,63010730684858
world,2017,65508658828748.79688
world,2018,68053990233704
world,2019,70090412633077.79688
world,2020,66719312617610.60156
