geo,time,sp_rur_totl_zs
abw,1960,49.224
abw,1961,49.239
abw,1962,49.254
abw,1963,49.27
abw,1964,49.285
abw,1965,49.3
abw,1966,49.315
abw,1967,49.33
abw,1968,49.346
abw,1969,49.361
abw,1970,49.376
abw,1971,49.391
abw,1972,49.407
abw,1973,49.422
abw,1974,49.437
abw,1975,49.452
abw,1976,49.468
abw,1977,49.483
abw,1978,49.498
abw,1979,49.513
abw,1980,49.528
abw,1981,49.544
abw,1982,49.559
abw,1983,49.574
abw,1984,49.589
abw,1985,49.605
abw,1986,49.62
abw,1987,49.635
abw,1988,49.65
abw,1989,49.665
abw,1990,49.681
abw,1991,49.696
abw,1992,50.002
abw,1993,50.412
abw,1994,50.823
abw,1995,51.233
abw,1996,51.644
abw,1997,52.054
abw,1998,52.464
abw,1999,52.873
abw,2000,53.283
abw,2001,53.661
abw,2002,54.028
abw,2003,54.394
abw,2004,54.76
abw,2005,55.125
abw,2006,55.489
abw,2007,55.853
abw,2008,56.217
abw,2009,56.579
abw,2010,56.941
abw,2011,57.06
abw,2012,57.043
abw,2013,57.01
abw,2014,56.959
abw,2015,56.892
abw,2016,56.808
abw,2017,56.707
abw,2018,56.589
abw,2019,56.454
abw,2020,56.303
afg,1960,91.599
afg,1961,91.316
afg,1962,91.024
afg,1963,90.724
afg,1964,90.414
afg,1965,90.096
afg,1966,89.767
afg,1967,89.43
afg,1968,89.082
afg,1969,88.725
afg,1970,88.357
afg,1971,87.979
afg,1972,87.59
afg,1973,87.191
afg,1974,86.781
afg,1975,86.359
afg,1976,85.926
afg,1977,85.483
afg,1978,85.027
afg,1979,84.558
afg,1980,84.005
afg,1981,83.438
afg,1982,82.853
afg,1983,82.253
afg,1984,81.635
afg,1985,81.003
afg,1986,80.353
afg,1987,79.686
afg,1988,79.002
afg,1989,78.912
afg,1990,78.823
afg,1991,78.734
afg,1992,78.645
afg,1993,78.556
afg,1994,78.466
afg,1995,78.376
afg,1996,78.286
afg,1997,78.195
afg,1998,78.105
afg,1999,78.014
afg,2000,77.922
afg,2001,77.831
