geo,time,sg_tim_uwrk_fe
alb,2011,21.73611
arg,2005,16.73611
arg,2010,17.5
arg,2013,23.41864
arm,2004,24.02778
arm,2008,21.65833
aus,2006,20.83333
aut,2009,19.06954
aze,2008,25.41667
bel,2000,16.04167
bel,2005,15
bel,2013,15.90278
bgr,2002,20.90278
bgr,2010,18.47222
blr,2015,19.16667
bol,2001,23.11926
bra,2009,17.63889
bra,2012,13.18363
bra,2017,11.60814
btn,2007,13.26389
btn,2015,15
can,2005,16.25
can,2010,16.25
can,2016,14.58333
che,2000,18.12083
che,2004,18.10417
che,2007,17.91667
che,2010,16.74167
che,2013,16.5375
che,2016,16.83333
chl,2008,15.927
chl,2015,22.10355
chn,2008,16.18056
chn,2018,15.34722
cmr,2014,15.82086
col,2013,17.54167
col,2017,5.02051
cri,2017,22.14571
cub,2001,16.31944
cub,2016,21
deu,2002,17.675
deu,2013,16.4
dnk,2001,14.58333
dnk,2009,15.625
dom,2016,16.70887
dza,2012,21.66667
ecu,2012,19.74505
egy,2015,22.36111
esp,2003,20.48611
esp,2010,18.95833
est,2000,19.93056
est,2010,17.22222
eth,2013,19.30556
fin,2000,15.82083
fin,2010,15.20417
fji,2016,15.15812
fra,2010,15.77314
gbr,2001,14.83477
gbr,2015,12.65278
gha,2009,15.48611
grc,2014,18.125
gtm,2014,17.76702
gtm,2017,19.48273
hkg,2002,13.75
hkg,2013,10.83333
hnd,2009,17.29571
hun,2000,19.51389
hun,2010,17.27674
irl,2005,20.55556
irn,2009,21.04167
irq,2007,24.09722
ita,2003,21.9
ita,2009,21.1
ita,2014,20.4
jpn,2001,15.625
jpn,2006,15.55556
jpn,2011,15.625
jpn,2016,15.13889
kaz,2000,27.70833
kaz,2003,28.47222
kaz,2006,26.11111
kaz,2012,17.08333
kaz,2018,18.95833
kgz,2000,27.70833
kgz,2005,23.75
kgz,2010,18.75
kgz,2015,16.80556
khm,2004,12.5
kor,2004,14.58472
kor,2009,14.37361
kor,2014,14.57917
kor,2019,14.09722
lao,2003,10
lao,2008,10.41667
lao,2013,10.41667
lao,2017,13.6038
lbr,2010,6.29234
lso,2003,15.55556
ltu,2003,18.68056
lux,2014,14.44444
lva,2003,18.26389
mar,2012,20.83333
mda,2012,20.13841
mex,2002,29.11243
mex,2009,31.04081
mex,2014,29.52199
mex,2019,27.76825
mkd,2004,23.75
mkd,2009,19.51389
mkd,2015,15.41667
mlt,2002,18.75
mng,2000,20.05833
mng,2007,19.79167
mng,2011,19.86111
mng,2015,17.63889
mng,2019,19.29129
mus,2003,18.95833
mwi,2005,8.68056
mys,2003,19.09722
nld,2001,15
nld,2003,15.13889
nld,2006,16.94444
nld,2012,14.72222
nor,2001,16.38889
nor,2011,15.30833
nzl,2010,18.05556
omn,2000,20.55556
omn,2008,18.88889
pak,2007,19.86111
pan,2011,17.95164
per,2010,23.56031
pol,2004,19.79167
pol,2013,18.2625
prt,2015,17.81135
pry,2016,14.52502
pse,2000,23.125
pse,2013,20.13889
qat,2013,8.19444
rou,2000,20.83333
rou,2012,19.02778
rus,2014,18.40278
slv,2010,22.74799
slv,2017,20.21275
srb,2011,20.23684
srb,2015,19.16756
svn,2001,20.55556
swe,2001,17.65101
swe,2011,16.04201
tha,2009,12.77778
tha,2015,11.83333
tun,2006,21.94444
tur,2006,22.00354
tur,2015,19.15117
tza,2006,17.08333
tza,2014,16.45833
uga,2018,14.58333
ury,2007,25.20833
ury,2013,19.87475
usa,2003,16.54167
usa,2004,16.625
usa,2005,16.5
usa,2006,16.25
usa,2007,16.08333
usa,2008,15.625
usa,2009,15.91667
usa,2010,15.29167
usa,2011,15.20833
usa,2012,15.29167
usa,2013,15.58333
usa,2014,15.54167
usa,2015,15.875
usa,2016,15.91667
usa,2017,15.41667
usa,2018,15.375
usa,2019,15.33333
zaf,2000,14.79167
zaf,2010,15.55556
