geo,time,sp_pop_1564_fe_in
abw,1960,14933
abw,1961,15391
abw,1962,15728
abw,1963,15990
abw,1964,16242
abw,1965,16518
abw,1966,16778
abw,1967,17081
abw,1968,17413
abw,1969,17740
abw,1970,18041
abw,1971,18440
abw,1972,18801
abw,1973,19146
abw,1974,19477
abw,1975,19800
abw,1976,19921
abw,1977,20064
abw,1978,20239
abw,1979,20463
abw,1980,20720
abw,1981,21032
abw,1982,21411
abw,1983,21778
abw,1984,22025
abw,1985,22137
abw,1986,21836
abw,1987,21456
abw,1988,21164
abw,1989,21148
abw,1990,21510
abw,1991,22549
abw,1992,23931
abw,1993,25471
abw,1994,26977
abw,1995,28321
abw,1996,29366
abw,1997,30264
abw,1998,31083
abw,1999,31886
abw,2000,32733
abw,2001,33625
abw,2002,34552
abw,2003,35457
abw,2004,36259
abw,2005,36889
abw,2006,37176
abw,2007,37225
abw,2008,37105
abw,2009,36935
abw,2010,36797
abw,2011,36938
abw,2012,37176
abw,2013,37464
abw,2014,37726
abw,2015,37914
abw,2016,38075
abw,2017,38125
abw,2018,38098
abw,2019,38046
abw,2020,38000
afg,1960,2342555
afg,1961,2382131
afg,1962,2433192
afg,1963,2492013
afg,1964,2553214
afg,1965,2614262
afg,1966,2662644
afg,1967,2712638
afg,1968,2766045
afg,1969,2826480
afg,1970,2895709
afg,1971,2959146
afg,1972,3030426
afg,1973,3105692
afg,1974,3180484
afg,1975,3251914
afg,1976,3301398
afg,1977,3346211
afg,1978,3378998
afg,1979,3391650
afg,1980,3381068
afg,1981,3314039
afg,1982,3223908
afg,1983,3123070
afg,1984,3026516
afg,1985,2944929
afg,1986,2883519
afg,1987,2848075
afg,1988,2850112
afg,1989,2902389
afg,1990,3008042
afg,1991,3214481
afg,1992,3488721
afg,1993,3793437
afg,1994,4084861
afg,1995,4337642
afg,1996,4493940
afg,1997,4596996
afg,1998,4676699
afg,1999,4770582
afg,2000,4901895
afg,2001,5097016
afg,2002,5339888
afg,2003,5610866
afg,2004,5883477
afg,2005,6140838
afg,2006,6325599
afg,2007,6487043
afg,2008,6642357
afg,2009,6815683
afg,2010,7023445
afg,2011,7302694
afg,2012,7627967
afg,2013,7986446
afg,2014,8358558
afg,2015,8730445
afg,2016,9076529
afg,2017,9413852
afg,2018,9749017
afg,2019,10092939
afg,2020,10452059
ago,1960,1484868
ago,1961,1478393
ago,1962,1474319
ago,1963,1473354
ago,1964,1475177
ago,1965,1478193
ago,1966,1480177
ago,1967,1480738
ago,1968,1480047
ago,1969,1481999
ago,1970,1492143
ago,1971,1521476
ago,1972,1564627
ago,1973,1618921
ago,1974,1681448
ago,1975,1749016
ago,1976,1803408
ago,1977,1868323
ago,1978,1939707
ago,1979,2011713
ago,1980,2081996
