geo,time,ne_con_govt_cd
abw,1995,263687150.83799
abw,1996,278212290.50279
abw,1997,361452513.96648
abw,1998,365921787.7095
abw,1999,376536312.84916
abw,2000,401117318.43575
abw,2001,470949720.67039
abw,2002,488268156.42458
abw,2003,499441340.78212
abw,2004,516201117.31844
abw,2005,539106145.2514
abw,2006,549162011.17318
abw,2007,566480446.92737
abw,2008,603351955.30726
abw,2009,634078212.2905
abw,2010,649162011.17318
abw,2011,662569832.40224
abw,2012,712290502.7933
abw,2013,714513966.48045
abw,2014,692792895.64632
abw,2015,689042461.00623
abw,2016,700784105.97168
abw,2017,711925368.84849
abw,2018,754430749.92204
ago,2001,2247834009.58387
ago,2002,2924222723.53447
ago,2003,3892834787.41071
ago,2004,3370783826.94089
ago,2005,5926082302.3643
ago,2006,8036148670.92789
ago,2007,10140406043.3264
ago,2008,14887423467.4158
ago,2009,13990134480.5504
ago,2010,14281398413.8089
ago,2011,20385811310.6112
ago,2012,22848002476.2224
ago,2013,29559336458.4747
ago,2014,26192729691.23849
ago,2015,19093907444.3177
ago,2016,14036680269.1493
ago,2017,15797719684.6597
ago,2018,10616289507.4147
ago,2019,8945403532.31597
ago,2020,5927840613.92581
alb,1984,181118882.72953
alb,1985,182867122.83832
alb,1986,201624987.5
alb,1987,208000000
alb,1988,201124987.5
alb,1989,205750000
alb,1990,389249987.5
alb,1991,251527784.72222
alb,1992,139619502.21571
alb,1993,173511335.70116
alb,1994,275059100.66548
alb,1995,330850354.10879
alb,1996,302481365.83256
alb,1997,235969734.15133
alb,1998,276094734.05663
alb,1999,355118537.29182
alb,2000,337331814.89917
alb,2001,416760684.95058
alb,2002,492859483.01281
alb,2003,622787590.65283
alb,2004,805106330.34189
alb,2005,888245754.7439
alb,2006,936515452.06384
alb,2007,1118710154.71995
alb,2008,1336950053.99632
alb,2009,1338043401.58415
alb,2010,1330729761.47982
alb,2011,1414653830.98206
alb,2012,1336062937.10172
alb,2013,1408641401.65725
alb,2014,1514870022.75313
alb,2015,1265151391.25623
alb,2016,1336675997.34176
alb,2017,1497056087.32158
alb,2018,1710639767.68047
alb,2019,1747643257.94623
alb,2020,1797136309.24988
are,2001,10242340340.3676
are,2002,11142485827.0933
are,2003,12124060313.1382
are,2004,12929750524.1661
are,2005,14219278420.6944
are,2006,15365627120.4901
are,2007,17365487787.6106
are,2008,23019664125.25529
are,2009,25948399046.9707
are,2010,29068775901.97409
are,2011,34902893995.9156
are,2012,36449312457.454
are,2013,42851083185.8407
are,2014,44070401007.4881
are,2015,44511095983.6624
