geo,time,ag_lnd_frst_zs
abw,1990,2.33333
abw,1991,2.33333
abw,1992,2.33333
abw,1993,2.33333
abw,1994,2.33333
abw,1995,2.33333
abw,1996,2.33333
abw,1997,2.33333
abw,1998,2.33333
abw,1999,2.33333
abw,2000,2.33333
abw,2001,2.33333
abw,2002,2.33333
abw,2003,2.33333
abw,2004,2.33333
abw,2005,2.33333
abw,2006,2.33333
abw,2007,2.33333
abw,2008,2.33333
abw,2009,2.33333
abw,2010,2.33333
abw,2011,2.33333
abw,2012,2.33333
abw,2013,2.33333
abw,2014,2.33333
abw,2015,2.33333
abw,2016,2.33333
abw,2017,2.33333
abw,2018,2.33333
abw,2019,2.33333
abw,2020,2.33333
afg,1990,1.85099
afg,1991,1.85099
afg,1992,1.85099
afg,1993,1.85099
afg,1994,1.85099
afg,1995,1.85099
afg,1996,1.85099
afg,1997,1.85099
afg,1998,1.85099
afg,1999,1.85099
afg,2000,1.85099
afg,2001,1.85099
afg,2002,1.85099
afg,2003,1.85099
afg,2004,1.85099
afg,2005,1.85099
afg,2006,1.85099
afg,2007,1.85099
afg,2008,1.85099
afg,2009,1.85099
afg,2010,1.85099
afg,2011,1.85099
afg,2012,1.85099
afg,2013,1.85099
afg,2014,1.85099
afg,2015,1.85099
afg,2016,1.85099
afg,2017,1.85099
afg,2018,1.85099
afg,2019,1.85099
afg,2020,1.85099
ago,1990,63.57807
ago,1991,63.45341
ago,1992,63.32874
ago,1993,63.20408
ago,1994,63.07942
ago,1995,62.95476
ago,1996,62.83009
ago,1997,62.70543
ago,1998,62.58077
ago,1999,62.45611
ago,2000,62.33144
ago,2001,61.88622
ago,2002,61.44099
ago,2003,60.99577
ago,2004,60.55055
ago,2005,60.10532
ago,2006,59.6601
ago,2007,59.21487
ago,2008,58.76965
ago,2009,58.32443
ago,2010,57.8792
ago,2011,57.43398
ago,2012,56.98875
ago,2013,56.54353
ago,2014,56.0983
ago,2015,55.65308
ago,2016,55.20784
ago,2017,54.76263
ago,2018,54.31741
ago,2019,53.87217
ago,2020,53.42695
alb,1990,28.78832
alb,1991,28.71715
alb,1992,28.64599
alb,1993,28.57482
alb,1994,28.50365
alb,1995,28.43248
alb,1996,28.36131
alb,1997,28.29015
alb,1998,28.21898
alb,1999,28.14781
alb,2000,28.07664
alb,2001,28.12325
alb,2002,28.16985
alb,2003,28.21646
alb,2004,28.26307
alb,2005,28.30967
alb,2006,28.35628
alb,2007,28.40288
alb,2008,28.44949
alb,2009,28.49609
alb,2010,28.5427
alb,2011,28.59465
alb,2012,28.64661
alb,2013,28.69856
alb,2014,28.75051
alb,2015,28.80246
alb,2016,28.80219
alb,2017,28.79206
alb,2018,28.79197
alb,2019,28.79197
alb,2020,28.79197
and,1990,34.04255
and,1991,34.04255
and,1992,34.04255
and,1993,34.04255
and,1994,34.04255
and,1995,34.04255
and,1996,34.04255
and,1997,34.04255
and,1998,34.04255
and,1999,34.04255
and,2000,34.04255
and,2001,34.04255
and,2002,34.04255
and,2003,34.04255
and,2004,34.04255
and,2005,34.04255
and,2006,34.04255
and,2007,34.04255
and,2008,34.04255
and,2009,34.04255
and,2010,34.04255
and,2011,34.04255
and,2012,34.04255
and,2013,34.04255
and,2014,34.04255
and,2015,34.04255
and,2016,34.04255
and,2017,34.04255
and,2018,34.04255
and,2019,34.04255
and,2020,34.04255
are,1990,3.44973
are,1991,3.54045
are,1992,3.63117
are,1993,3.7219
are,1994,3.81262
are,1995,3.90334
are,1996,3.99406
are,1997,4.08478
are,1998,4.1755
are,1999,4.26622
are,2000,4.35694
are,2001,4.36802
are,2002,4.3791
are,2003,4.39019
are,2004,4.40127
are,2005,4.41235
are,2006,4.42343
are,2007,4.43451
are,2008,4.44559
are,2009,4.45667
are,2010,4.46776
are,2011,4.46776
are,2012,4.46776
are,2013,4.46776
are,2014,4.46776
are,2015,4.46776
are,2016,4.46776
are,2017,4.46776
are,2018,4.46776
are,2019,4.46776
are,2020,4.46776
arg,1990,12.86371
arg,1991,12.79699
arg,1992,12.73027
arg,1993,12.66355
arg,1994,12.59682
arg,1995,12.5301
arg,1996,12.46338
