geo,time,sh_xpd_oopc_pp_cd
afg,2002,69.38564
afg,2003,70.9708
afg,2004,75.62688
afg,2005,79.52839
afg,2006,87.39157
afg,2007,83.78027
afg,2008,98.88805
afg,2009,107.80181
afg,2010,113.49409
afg,2011,104.82193
afg,2012,113.15795
afg,2013,125.40613
afg,2014,144.86559
afg,2015,165.84699
afg,2016,177.88649
afg,2017,196.0938
afg,2018,224.33131
afg,2019,226.44365
ago,2000,17.11891
ago,2001,68.42439
ago,2002,62.58666
ago,2003,66.07127
ago,2004,78.60478
ago,2005,58.411
ago,2006,44.15829
ago,2007,51.08229
ago,2008,47.54054
ago,2009,38.56175
ago,2010,34.34538
ago,2011,31.94623
ago,2012,31.29097
ago,2013,44.82255
ago,2014,53.50899
ago,2015,64.09696
ago,2016,67.85505
ago,2017,69.63545
ago,2018,69.05313
ago,2019,66.69724
alb,2000,166.58789
alb,2001,173.48816
alb,2002,187.68117
alb,2003,185.7812
alb,2004,188.57328
alb,2005,190.4236
alb,2006,197.69107
alb,2007,251.80232
alb,2008,220.26763
alb,2009,188.30494
alb,2010,213.92924
alb,2011,240.57296
alb,2012,266.85091
alb,2013,288.80626
alb,2014,322.32035
alb,2015,246.24569
alb,2016,247.11426
alb,2017,284.41562
alb,2018,324.1187
and,2000,300.53808
and,2001,318.98274
and,2002,332.18682
and,2003,342.60564
and,2004,363.59554
and,2005,382.00076
and,2006,411.98441
and,2007,427.75319
and,2008,411.77996
and,2009,389.5187
and,2010,385.70053
and,2011,392.28854
and,2012,408.88409
and,2013,409.56639
and,2014,401.67879
and,2015,450.70873
and,2016,427.32821
and,2017,436.26466
and,2018,490.08162
and,2019,487.37916
are,2000,513.51805
are,2001,362.50708
are,2002,728.17338
are,2003,721.07052
are,2004,762.67891
are,2005,682.99542
are,2006,661.01377
are,2007,645.31626
are,2008,586.91304
are,2009,444.48889
are,2010,451.62125
are,2011,419.42279
are,2012,396.18988
are,2013,433.79151
are,2014,475.91875
are,2015,413.75475
are,2016,416.82202
are,2017,311.3757
are,2018,361.04912
are,2019,374.76988
arg,2000,310.78438
arg,2001,309.7352
arg,2002,249.23787
arg,2003,240.09015
arg,2004,243.95983
arg,2005,341.49124
arg,2006,370.24866
arg,2007,406.15426
arg,2008,430.9666
arg,2009,404.48902
arg,2010,455.67884
arg,2011,488.70069
arg,2012,503.27787
arg,2013,528.14154
arg,2014,515.18047
arg,2015,534.03278
arg,2016,541.55962
arg,2017,638.3055
arg,2018,626.79693
arg,2019,608.17767
arm,2000,69.16659
arm,2001,70.81376
arm,2002,198.41856
arm,2003,221.87045
arm,2004,200.04354
arm,2005,201.26298
arm,2006,229.45918
arm,2007,241.76729
arm,2008,393.71279
arm,2009,449.70732
arm,2010,538.11873
arm,2011,590.07472
arm,2012,672.23192
arm,2013,841.51513
arm,2014,842.6135
arm,2015,823.39697
arm,2016,859.11671
arm,2017,1058.95234
arm,2018,1098.28209
arm,2019,1370.4266
atg,2000,176.47407
atg,2001,200.04698
atg,2002,196.84198
atg,2003,226.25306
atg,2004,232.85163
atg,2005,273.89347
atg,2006,325.48358
atg,2007,370.3797
atg,2008,344.2949
atg,2009,236.85318
atg,2010,273.63326
atg,2011,285.44829
atg,2012,288.81564
atg,2013,277.14562
atg,2014,283.34504
atg,2015,234.9506
atg,2016,280.77659
atg,2017,256.99935
atg,2018,248.23255
atg,2019,246.64766
aus,2000,452.56007
aus,2001,465.87418
aus,2002,485.69337
aus,2003,490.48483
aus,2004,529.22134
aus,2005,558.23315
aus,2006,594.92105
aus,2007,604.4482
aus,2008,627.85556
aus,2009,677.09844
aus,2010,708.4669
aus,2011,721.03107
aus,2012,753.21376
aus,2013,811.68923
aus,2014,831.00242
aus,2015,823.14149
aus,2016,854.99053
aus,2017,849.19072
aus,2018,869.00987
aus,2019,846.11256
aut,2000,482.63096
aut,2001,509.91016
aut,2002,546.45235
aut,2003,580.57757
aut,2004,634.71349
