global,time,ny_gnp_pcap_kd_zg
world,1982,-1.5038
world,1983,1.06497
world,1984,2.71494
world,1985,1.78107
world,1986,1.37839
world,1987,1.87134
world,1988,2.6212
world,1989,2.2165
world,1990,0.72343
world,1991,-0.39305
world,1992,-0.01352
world,1993,-0.43129
world,1994,1.15228
world,1995,1.09794
world,1996,2.04323
world,1997,2.36904
world,1998,1.44397
world,1999,2.29525
world,2000,3.12986
world,2001,0.75277
world,2002,0.82379
world,2003,1.93897
world,2004,3.0974
world,2005,2.66318
world,2006,3.22617
world,2007,3.06466
world,2008,0.55187
world,2009,-2.51876
world,2010,3.14482
world,2011,2.05539
world,2012,1.41327
world,2013,1.47434
world,2014,2.02585
world,2015,1.89053
world,2016,1.59205
world,2017,2.37687
world,2018,2.01515
world,2019,1.58811
world,2020,-4.35933
