global,time,eg_egy_prim_pp_kd
world,1990,7.96436
world,1991,7.92283
world,1992,7.81976
world,1993,7.75442
world,1994,7.57876
world,1995,7.51973
world,1996,7.42315
world,1997,7.20235
world,1998,7.07225
world,1999,6.97833
world,2000,6.84564
world,2001,6.74219
world,2002,6.69195
world,2003,6.67365
world,2004,6.62853
world,2005,6.48671
world,2006,6.32884
world,2007,6.13838
world,2008,6.05244
world,2009,6.02681
world,2010,6.05139
world,2011,5.92946
world,2012,5.84244
