geo,time,vc_ihr_psrc_fe_p5
abw,1990,0
abw,1995,0
abw,1999,2.18064
abw,2001,4.14516
abw,2002,2.01996
abw,2003,1.97215
abw,2004,0
abw,2005,1.90643
abw,2006,1.89054
abw,2007,0
abw,2008,1.88292
abw,2009,1.88281
abw,2010,0
abw,2011,0
abw,2012,1.86237
abw,2013,1.85014
abw,2014,0
afg,2015,0.55597
afg,2016,0.58734
afg,2017,0.75379
afg,2018,0.84629
alb,1992,0.86971
alb,1993,0.99935
alb,1994,0.7548
alb,1995,1.64618
alb,1996,1.78289
alb,1997,11.32883
alb,1998,5.59302
alb,1999,4.19366
alb,2000,0.84102
alb,2001,2.52669
alb,2002,2.52714
alb,2003,1.36083
alb,2004,1.23302
alb,2005,1.36823
alb,2006,1.50889
alb,2007,1.5893
alb,2008,1.27195
alb,2009,0.47378
alb,2010,1.29874
alb,2011,1.53168
alb,2012,1.80571
alb,2013,1.67918
alb,2014,0.91279
alb,2015,1.1275
alb,2016,1.20067
alb,2017,0.919
alb,2018,1.06055
and,2007,0
and,2008,2.43146
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
are,2010,0.83316
are,2011,0.64729
are,2012,0.69873
are,2013,0.71846
are,2014,0.61683
are,2015,0.35806
arg,2014,1.9
arg,2015,1.75222
arg,2017,1.78085
arg,2018,1.72023
arm,1990,1.25034
arm,1991,1.64186
arm,1993,3.07567
arm,1994,1.42672
arm,1995,1.12781
arm,1996,1.37507
arm,1997,1.30592
arm,1998,0.94097
arm,1999,1.17724
arm,2000,1.58732
arm,2001,1.13509
arm,2002,1.21688
arm,2003,0.67873
arm,2004,1.38386
arm,2005,0.69647
arm,2006,1.65807
arm,2007,0.83541
arm,2008,1.70627
arm,2009,1.62758
arm,2010,0.65318
arm,2011,1.24171
arm,2012,1.23941
arm,2013,1.2351
arm,2014,1.29491
arm,2015,1.35464
arm,2016,1.02885
arm,2017,0.70539
arm,2018,0.70371
atg,1990,3.10376
atg,1991,6.11696
atg,1992,2.99931
atg,1993,0
atg,1994,2.85763
atg,1995,5.57336
atg,1996,2.71665
atg,1997,0
atg,2001,1.90054
atg,2002,3.01612
atg,2008,11.19495
aus,1990,1.62248
aus,1991,1.65806
aus,1992,1.33919
aus,1993,1.34003
aus,1994,1.28495
aus,1995,1.5458
aus,1996,1.23534
aus,1997,1.3184
aus,1998,1.14121
aus,1999,1.31166
aus,2000,1.42937
aus,2001,1.20655
aus,2002,1.24626
aus,2003,0.97992
aus,2004,0.92899
aus,2005,0.93352
aus,2006,0.90361
aus,2007,0.81535
aus,2008,0.94675
aus,2009,0.70041
aus,2010,0.84554
aus,2011,0.79846
aus,2012,0.72404
aus,2013,0.80687
aus,2014,0.79452
aus,2015,0.70448
aus,2016,0.65696
aus,2017,0.49674
aus,2018,0.65606
aut,1990,0.98956
aut,1991,1.15649
aut,1992,1.04985
aut,1993,0.84756
aut,1994,1.27316
aut,1995,0.92102
aut,1996,1.21989
aut,1997,0.89998
aut,1998,0.81658
aut,1999,0.76608
aut,2000,1.29003
aut,2001,1.00393
aut,2002,0.90082
aut,2003,0.55679
aut,2004,0.75569
aut,2005,0.57005
aut,2006,0.68448
aut,2007,0.56757
aut,2008,0.67736
aut,2009,0.65515
aut,2010,0.69585
aut,2011,0.80818
aut,2012,0.87305
aut,2013,0.68547
aut,2014,0.52242
aut,2015,0.38375
aut,2016,0.71762
aut,2017,0.82411
aut,2018,0.97357
aze,2010,1.36043
aze,2012,1.24302
aze,2013,1.48215
aze,2014,1.82034
aze,2015,1.51007
aze,2016,1.80066
aze,2017,1.55936
aze,2018,1.32363
bdi,2013,2.01252
bdi,2014,2.0516
bdi,2015,1.52068
bdi,2016,2.32394
bel,2000,1.58807
bel,2001,1.95291
bel,2002,2.49926
bel,2003,1.77421
bel,2004,2.36819
bel,2005,1.71603
bel,2006,1.6234
bel,2007,1.60393
bel,2008,1.30076
bel,2009,1.37801
bel,2010,1.24779
bel,2011,1.64744
bel,2012,1.36949
bel,2013,1.7398
bel,2014,1.41955
bgr,1990,1.17892
bgr,1991,2.08814
bgr,1992,2.2809
bgr,1993,2.09386
bgr,1994,2.28795
bgr,1995,1.82815
bgr,1996,1.95953
bgr,1997,2.24743
bgr,1998,2.39444
bgr,1999,2.12754
bgr,2000,2.37328
bgr,2001,1.52052
bgr,2002,1.4039
bgr,2003,1.29518
bgr,2004,1.43756
bgr,2005,1.31769
bgr,2006,1.37849
bgr,2007,0.97716
bgr,2008,0.93239
bgr,2009,0.91277
bgr,2010,0.70878
bgr,2011,0.79242
bgr,2012,0.98309
bgr,2013,0.90857
bgr,2014,0.69883
bgr,2015,0.78419
bgr,2016,0.59868
bgr,2017,0.95877
bgr,2018,1.04813
bhs,1993,4.38792
bhs,1994,3.99927
bhs,1995,4.70325
bhs,1996,5.18203
bhs,1997,4.6868
bhs,2000,10.75714
bhs,2001,3.31982
bhs,2002,7.73778
bhs,2003,3.72726
bhs,2004,1.21974
bhs,2005,4.78827
bhs,2006,2.93543
bhs,2007,4.60569
bhs,2008,3.95415
bhs,2009,5.55093
bhs,2010,7.65324
bhs,2011,8.63409
bhs,2012,5.33826
bhs,2014,5.76475
bhs,2015,8.30772
bhs,2016,3.59997
bhs,2017,3.05553
bih,1990,0.71019
bih,2000,1.04736
bih,2001,1.51733
bih,2002,1.30689
bih,2009,0.789
bih,2010,0.53024
bih,2011,0.85845
bih,2012,1.30739
bih,2013,0.77581
bih,2014,0.61995
bih,2015,1.02974
bih,2016,0.86879
bih,2017,0.58505
bih,2018,0.47182
blr,2007,4.37436
blr,2008,3.62138
blr,2009,3.92412
blr,2010,2.69796
blr,2011,2.32206
blr,2012,2.50051
blr,2013,2.0432
blr,2014,2.29974
blr,2015,2.29839
blr,2016,2.09914
blr,2017,1.8607
blr,2018,1.66238
blz,2004,10.187
blz,2009,5.72858
blz,2010,10.00701
blz,2011,7.2674
blz,2012,8.27991
blz,2013,5.78008
blz,2014,6.78276
blz,2015,4.97812
blz,2016,8.12361
blz,2017,5.83619
bmu,1990,0
bmu,1991,0
bmu,1992,3.0933
bmu,1996,3.02901
bmu,2004,2.93223
bmu,2005,0
bmu,2009,2.96697
bmu,2010,0
bmu,2011,6.00133
bmu,2012,0
bmu,2013,0
bmu,2014,3.05834
bmu,2015,0
bmu,2016,0
bmu,2017,0
bol,2008,2.84225
bol,2015,4.45777
bol,2016,4.26346
bra,1990,3.16387
bra,1991,3.27844
bra,1992,2.82967
bra,1993,3.04574
bra,1994,3.24213
bra,1995,3.7365
bra,1996,4.07525
bra,1997,3.90665
bra,1998,3.75282
bra,1999,3.73629
bra,2000,3.89197
bra,2001,3.95087
bra,2002,3.91791
bra,2003,3.93295
bra,2004,3.78196
bra,2005,3.78835
bra,2006,3.8794
bra,2007,3.67236
bra,2008,3.80073
bra,2009,3.7615
bra,2010,3.7298
bra,2011,4.15724
bra,2012,4.40261
bra,2013,4.4616
bra,2014,4.60892
