geo,time,sl_tlf_0714_wk_fe_tm
afg,2011,8.7
ago,2001,14.4
alb,2010,27
aze,2005,15.8
bdi,2010,15.3
ben,2012,15.8
bfa,2010,19.4
bgd,2006,34.7
bgd,2013,35.58776
bol,2009,47.7
bol,2013,43.80811
bol,2015,32.53
bra,2011,33.4
bra,2013,32.72229
bra,2014,24.17005
bra,2015,15.4
caf,2010,16.4
civ,2012,21.1
cmr,2011,18.5
cod,2010,11.2
cod,2014,9.21678
cog,2012,17.2
col,2012,25.8
col,2014,18.46561
col,2015,17.6
cri,2011,20.4
cri,2016,44.16
dom,2009,11.5
dom,2012,10
dom,2014,3.74896
dza,2013,11
ecu,2011,26.5
ecu,2015,30.64256
egy,2009,39.1
eth,2011,24
gab,2012,9.8
geo,2006,4.6
gha,2006,18.9
gin,2012,15.8
gmb,2008,20.2
gmb,2015,11.89
gnb,2006,13
gnb,2014,5.10453
gtm,2012,34.5
gtm,2014,31.77454
gtm,2015,35.05163
hnd,2013,29
hnd,2014,37.08308
hti,2012,6.7
idn,2010,31
irq,2011,15.8
jor,2007,38.5
jor,2016,10.44
kaz,2006,25
ken,2000,25.4
ken,2009,44.39973
kgz,2007,20.1
kgz,2014,36.44934
khm,2012,43.9
lao,2010,43.6
lbr,2010,41
lka,2009,15.4
lso,2000,10.7
mdg,2007,30.4
mex,2011,32.4
mex,2013,29.87781
mkd,2011,1
mli,2013,22.2
mng,2012,28.6
mng,2013,27.42418
moz,2008,12.9
mrt,2007,12.1
mrt,2011,18.73756
mwi,2011,10.6
mwi,2014,9.07021
mwi,2015,16.3
nam,1999,28.9
ner,2012,9.3
nga,2010,32.5
nga,2011,9.96569
nic,2010,21.8
nic,2012,19.21728
npl,2008,27.4
npl,2014,13.58084
pak,2011,22.7
pan,2012,31.5
pan,2014,16.94303
per,2015,18.72188
phl,2011,24.1
pry,2005,40.5
pry,2014,23.87527
rou,2000,20.9
rwa,2010,27.1
rwa,2011,31.05105
rwa,2014,18.8
sdn,2014,10.61141
sen,2011,39.6
sen,2015,19.14168
sle,2013,9.9
slv,2012,35.6
slv,2013,29.70993
som,2006,31.7
srb,2005,20.9
swz,2010,8.6
syr,2006,24.4
tcd,2010,7.3
tcd,2015,11.2396
tgo,2010,31.6
tgo,2014,17.67023
tha,2005,35.4
tjk,2005,18.4
tls,2007,24.1
tun,2012,13.7
tur,2006,46.6
tza,2014,30.16287
uga,2012,33.8
ukr,2012,1
ury,2009,21.7
ven,2006,32.9
ven,2013,26.61855
vnm,2012,32.6
yem,2010,26.5
zmb,2008,4.6
zwe,1999,42.9
