geo,time,sl_emp_totl_sp_ma_zs
afg,1991,69.39
afg,1992,68.986
afg,1993,68.796
afg,1994,68.567
afg,1995,68.028
afg,1996,68.22
afg,1997,68.461
afg,1998,68.583
afg,1999,68.698
afg,2000,68.787
afg,2001,68.737
afg,2002,68.318
afg,2003,68.321
afg,2004,68.384
afg,2005,68.205
afg,2006,68.384
afg,2007,68.361
afg,2008,68.646
afg,2009,68.573
afg,2010,68.571
afg,2011,68.638
afg,2012,68.222
afg,2013,67.612
afg,2014,66.913
afg,2015,66.178
afg,2016,65.439
afg,2017,64.68
afg,2018,64.563
afg,2019,64.382
afg,2020,58.689
afg,2021,58.495
ago,1991,75.58
ago,1992,75.597
ago,1993,75.561
ago,1994,75.582
ago,1995,75.551
ago,1996,75.562
ago,1997,75.527
ago,1998,75.467
ago,1999,75.382
ago,2000,75.288
ago,2001,75.284
ago,2002,75.269
ago,2003,75.197
ago,2004,75.16
ago,2005,75.123
ago,2006,75.171
ago,2007,75.218
ago,2008,75.247
ago,2009,75.253
ago,2010,72.694
ago,2011,74.283
ago,2012,74.336
ago,2013,74.335
ago,2014,74.319
ago,2015,74.264
ago,2016,74.22
ago,2017,74.162
ago,2018,74.063
ago,2019,73.943
ago,2020,72.572
ago,2021,72.778
alb,1991,67.38
alb,1992,51.46
alb,1993,54.963
alb,1994,58.032
alb,1995,62.713
alb,1996,62.301
alb,1997,60.66
alb,1998,58.155
alb,1999,56.675
alb,2000,57.486
alb,2001,57.754
alb,2002,58.01
alb,2003,57.443
alb,2004,56.652
alb,2005,55.617
alb,2006,54.513
alb,2007,52.929
alb,2008,53.449
alb,2009,56.453
alb,2010,55.648
alb,2011,58.528
alb,2012,55.548
alb,2013,50.382
alb,2014,50.496
alb,2015,52.928
alb,2016,54.343
alb,2017,56.847
alb,2018,58.761
alb,2019,59.895
alb,2020,56.805
alb,2021,58.39
are,1991,90.261
are,1992,90.373
are,1993,90.566
are,1994,90.576
are,1995,90.547
are,1996,90.459
are,1997,90.355
are,1998,90.146
are,1999,89.989
are,2000,89.857
are,2001,89.824
are,2002,89.885
are,2003,89.864
are,2004,89.534
are,2005,88.914
are,2006,88.27
are,2007,87.611
are,2008,87.241
are,2009,87.096
are,2010,87.334
are,2011,87.837
are,2012,88.45
are,2013,89.161
are,2014,89.826
are,2015,90.367
are,2016,90.669
are,2017,90.211
are,2018,89.271
are,2019,89.345
are,2020,85.162
are,2021,85.908
arg,1991,70.896
arg,1992,70.511
arg,1993,69.059
arg,1994,67.801
arg,1995,62.863
arg,1996,63.588
arg,1997,66.001
arg,1998,66.935
arg,1999,65.449
arg,2000,64.731
arg,2001,61.855
arg,2002,59.188
arg,2003,64.222
arg,2004,65.99
arg,2005,67.382
arg,2006,68.516
arg,2007,69.043
arg,2008,68.938
arg,2009,67.931
arg,2010,68.697
arg,2011,69.625
arg,2012,69.067
arg,2013,68.661
arg,2014,67.598
arg,2015,66.922
arg,2016,66.018
arg,2017,65.354
arg,2018,64.901
arg,2019,64.679
arg,2020,59.022
arg,2021,65.078
arm,1991,62.05
arm,1992,62.021
arm,1993,60.687
arm,1994,59.861
arm,1995,60.693
arm,1996,60.199
arm,1997,59.724
arm,1998,59.542
arm,1999,58.319
arm,2000,58.156
arm,2001,57.959
arm,2002,57.755
arm,2003,57.572
arm,2004,57.434
arm,2005,57.246
arm,2006,57.103
arm,2007,56.958
arm,2008,54.184
arm,2009,52.528
arm,2010,56.06
arm,2011,55.847
arm,2012,56.547
arm,2013,58.086
arm,2014,56.58
arm,2015,55.004
arm,2016,54.442
arm,2017,53.925
arm,2018,53.61
arm,2019,53.885
arm,2020,49.73
arm,2021,50.556
aus,1991,67.22
aus,1992,65.709
aus,1993,65.055
aus,1994,66.225
aus,1995,67.329
aus,1996,67.136
aus,1997,66.692
aus,1998,66.874
aus,1999,67.095
aus,2000,67.382
aus,2001,66.791
aus,2002,67.038
aus,2003,67.279
aus,2004,67.684
aus,2005,68.521
aus,2006,68.817
aus,2007,69.525
aus,2008,69.693
aus,2009,68.135
aus,2010,68.639
aus,2011,68.587
aus,2012,67.996
aus,2013,67.276
aus,2014,66.65
aus,2015,66.762
aus,2016,66.572
aus,2017,66.747
aus,2018,67.175
aus,2019,67.38
aus,2020,65.41
aus,2021,66.748
aut,1991,67.254
aut,1992,67.225
aut,1993,66.483
aut,1994,68.296
aut,1995,67.714
aut,1996,66.082
aut,1997,65.584
aut,1998,65.455
aut,1999,66.099
aut,2000,65.558
aut,2001,65.225
aut,2002,64.54
aut,2003,64.703
aut,2004,61.336
aut,2005,62.785
aut,2006,63.434
aut,2007,64.536
aut,2008,64.836
aut,2009,63.624
aut,2010,63.747
aut,2011,63.848
aut,2012,63.613
aut,2013,63.328
aut,2014,62.543
aut,2015,62.358
aut,2016,62.502
aut,2017,62.861
aut,2018,63.736
aut,2019,63.905
aut,2020,62.525
aut,2021,62.077
aze,1991,77.737
aze,1992,78.574
aze,1993,78.247
aze,1994,78.387
aze,1995,78.615
aze,1996,77.902
aze,1997,76.822
aze,1998,75.578
aze,1999,74.501
aze,2000,73.24
aze,2001,71.799
aze,2002,70.44
aze,2003,69.339
aze,2004,68.217
aze,2005,67.715
aze,2006,66.851
aze,2007,67.206
aze,2008,66.655
aze,2009,65.151
aze,2010,64.861
aze,2011,64.534
aze,2012,64.714
aze,2013,65.214
aze,2014,65.614
aze,2015,65.877
aze,2016,66.836
aze,2017,67.17
aze,2018,67.317
aze,2019,66.963
aze,2020,62.891
aze,2021,63.64
bdi,1991,87.919
bdi,1992,87.295
bdi,1993,86.629
bdi,1994,85.97
bdi,1995,85.254
bdi,1996,84.525
bdi,1997,83.79
bdi,1998,83.022
bdi,1999,82.625
bdi,2000,82.244
bdi,2001,81.866
bdi,2002,81.478
bdi,2003,81.05
bdi,2004,80.662
bdi,2005,80.227
bdi,2006,79.818
bdi,2007,79.375
bdi,2008,78.939
bdi,2009,78.527
bdi,2010,78.117
bdi,2011,77.689
bdi,2012,77.259
bdi,2013,76.822
bdi,2014,76.374
bdi,2015,76.397
bdi,2016,76.442
bdi,2017,76.453
bdi,2018,76.436
bdi,2019,76.391
bdi,2020,75.563
bdi,2021,75.693
bel,1991,58.526
bel,1992,58.169
bel,1993,56.839
bel,1994,56.452
bel,1995,56.716
bel,1996,56.384
bel,1997,56.343
bel,1998,56.032
bel,1999,56.635
bel,2000,58.217
bel,2001,57.072
bel,2002,56.572
bel,2003,55.774
bel,2004,56.267
bel,2005,56.693
bel,2006,56.325
bel,2007,56.99
bel,2008,56.893
bel,2009,55.684
bel,2010,55.853
bel,2011,55.46
bel,2012,55.165
bel,2013,54.506
bel,2014,53.887
bel,2015,53.533
bel,2016,53.98
bel,2017,54.964
bel,2018,55.334
bel,2019,55.733
bel,2020,55.135
bel,2021,55.102
ben,1991,86.961
ben,1992,86.842
ben,1993,86.037
ben,1994,85.167
ben,1995,84.345
ben,1996,83.473
ben,1997,82.604
ben,1998,81.698
ben,1999,80.786
ben,2000,79.846
ben,2001,78.874
ben,2002,77.876
ben,2003,77.39
ben,2004,76.913
ben,2005,76.426
ben,2006,75.96
ben,2007,75.493
ben,2008,75.015
ben,2009,74.531
ben,2010,74.053
ben,2011,72.462
ben,2012,72.493
ben,2013,72.504
ben,2014,72.479
ben,2015,72.424
ben,2016,72.432
ben,2017,72.422
ben,2018,72.388
ben,2019,72.209
ben,2020,71.445
ben,2021,71.658
bfa,1991,86.831
bfa,1992,86.619
bfa,1993,86.464
bfa,1994,86.279
