geo,time,sn_itk_svfi_zs
afg,2015,14.8
afg,2016,15.1
afg,2017,17.3
afg,2018,17.3
afg,2019,19.8
ago,2015,21
ago,2018,24
ago,2019,26.9
alb,2015,10
alb,2016,10.5
alb,2017,11
alb,2018,10
alb,2019,8.8
arg,2015,5.8
arg,2016,8.6
arg,2017,11.2
arg,2018,12.9
arg,2019,12.6
arm,2017,1.2
arm,2018,1.1
arm,2019,1.1
aus,2015,2.8
aus,2016,3.4
aus,2017,3.6
aus,2018,3.8
aus,2019,3.3
aut,2015,1.1
aut,2016,1.2
aut,2017,1.1
aut,2018,1.1
aut,2019,0.9
aze,2015,0
aze,2016,0
aze,2017,0
aze,2018,0
aze,2019,0
bel,2019,1.1
bfa,2015,10
bfa,2016,10.9
bfa,2017,11.7
bfa,2018,12.6
bfa,2019,15.4
bgd,2015,13.3
bgd,2016,12.4
bgd,2017,11.6
bgd,2018,10.6
bgd,2019,10.5
bgr,2015,1.9
bgr,2016,2.4
bgr,2017,2.1
bgr,2018,1.9
bgr,2019,2.4
bih,2015,1.5
bih,2016,1.8
bih,2017,1.3
bih,2018,1.5
bih,2019,2
bra,2015,1.9
bra,2016,1.8
bra,2017,1.7
bra,2018,1.6
bra,2019,3.5
bwa,2015,19.6
bwa,2016,20.2
bwa,2017,20.9
bwa,2018,21.5
bwa,2019,22.2
caf,2019,61.8
can,2015,0.6
can,2016,0.6
can,2017,0.6
can,2018,0.7
can,2019,0.9
che,2015,1.5
che,2016,1.3
che,2017,0.8
che,2018,0.7
che,2019,0
chl,2015,2.9
chl,2016,3.1
chl,2017,3.4
chl,2018,3.6
chl,2019,4.3
cmr,2019,26.7
cod,2019,38.5
cog,2015,42.6
cog,2016,46.1
cog,2017,49.7
cog,2018,51.1
cog,2019,51.7
cpv,2018,8.6
cpv,2019,7.6
cri,2015,1.8
cri,2016,1.9
cri,2017,2.2
cri,2018,2.4
cri,2019,2.6
cze,2015,0.7
cze,2016,0.5
cze,2017,0
cze,2018,0
cze,2019,0.8
deu,2015,1
deu,2016,0.8
deu,2017,0.7
deu,2018,0.7
deu,2019,0.7
dnk,2015,1
dnk,2016,1.1
dnk,2017,1.1
dnk,2018,1.1
dnk,2019,1.1
dza,2015,13
dza,2016,12.7
dza,2017,11.4
dza,2018,9.3
dza,2019,6.9
ecu,2015,6
ecu,2016,7.1
ecu,2017,8.4
ecu,2018,9.9
ecu,2019,11.6
egy,2015,8.4
egy,2016,8.7
egy,2017,8.6
egy,2018,7.4
egy,2019,6.7
esp,2015,1.1
esp,2016,1.3
esp,2017,1.4
esp,2018,1.8
esp,2019,1.8
est,2015,0.9
est,2016,0.8
est,2017,1
est,2018,0.9
est,2019,0.8
