global,time,se_ter_enrr_fe
world,1970,8.44919
world,1971,8.34864
world,1972,8.55931
world,1973,8.86002
world,1974,9.21886
world,1975,9.72021
world,1976,10.17476
world,1977,10.43427
world,1978,10.77367
world,1979,10.9761
world,1980,11.19299
world,1981,11.45101
world,1982,11.70534
world,1983,11.87434
world,1984,12.20165
world,1985,12.29192
world,1986,12.14856
world,1987,12.27518
world,1988,12.28551
world,1989,12.48374
world,1990,12.81469
world,1991,13.06503
world,1992,13.44492
world,1993,13.89968
world,1994,14.44562
world,1995,15.12314
world,1996,15.70426
world,1997,16.56631
world,1998,17.1022
world,1999,18.28244
world,2000,19.02594
world,2001,20.32254
world,2002,21.94038
world,2003,23.13619
world,2004,24.12968
world,2005,24.94114
world,2006,26.00392
world,2007,26.94486
world,2008,28.06014
world,2009,29.19436
world,2010,30.48857
world,2011,32.32721
world,2012,34.03816
world,2013,35.19124
world,2014,37.79989
world,2015,38.95061
world,2016,39.67111
world,2017,40.26338
world,2018,41.06242
world,2019,42.37649
world,2020,43.22807
