global,time,se_com_durs
world,1998,9
world,1999,9
world,2000,9
world,2001,9
world,2002,9
world,2003,9
world,2004,9
world,2005,9
world,2006,9
world,2007,9
world,2008,9
world,2009,9
world,2010,9
world,2011,9
world,2012,9
world,2013,9
world,2014,9
world,2015,10
world,2016,10
world,2017,10
world,2018,10
world,2019,10
world,2020,10
