global,time,ne_gdi_totl_zs
world,1970,27.30753
world,1971,27.10477
world,1972,27.27371
world,1973,28.54757
world,1974,28.70161
world,1975,26.31332
world,1976,27.18496
world,1977,27.41625
world,1978,27.77287
world,1979,27.96964
world,1980,27.40401
world,1981,26.51011
world,1982,25.01774
world,1983,24.29428
world,1984,25.067
world,1985,24.57956
world,1986,24.45868
world,1987,24.68712
world,1988,25.6553
world,1989,26.08238
world,1990,25.76644
world,1991,24.98119
world,1992,24.38594
world,1993,23.83106
world,1994,24.40387
world,1995,24.51475
world,1996,24.38432
world,1997,24.25722
world,1998,23.94362
world,1999,23.9241
world,2000,24.29467
world,2001,23.43478
world,2002,22.81763
world,2003,23.05984
world,2004,23.78835
world,2005,24.17649
world,2006,24.75076
world,2007,25.22397
world,2008,25.23449
world,2009,23.22542
world,2010,24.40973
world,2011,25.18406
world,2012,25.37035
world,2013,25.46273
world,2014,25.74956
world,2015,25.79279
world,2016,25.46458
world,2017,25.90475
world,2018,26.38114
world,2019,26.47598
world,2020,26.35662
