global,time,ny_gdp_mktp_kd
world,1960,10872620585385.69922
world,1961,11285894372159.19922
world,1962,11886345379817.40039
world,1963,12503542701567.19922
world,1964,13324858217212.5
world,1965,14065060878838.59961
world,1966,14869431475890
world,1967,15488698182575.80078
world,1968,16410506988720.69922
world,1969,17367505323625.40039
world,1970,18047892362811.5
world,1971,18822203362957.89453
world,1972,19881951055947.19922
world,1973,21159068847893.69531
world,1974,21541189741202.30078
world,1975,21670474325841.5
world,1976,22818457902534
world,1977,23748651515638.10156
world,1978,24725567658782.19922
world,1979,25761139460830.5
world,1980,26227715783177.80078
world,1981,26733547815094.69531
world,1982,26845119867934.19922
world,1983,27548766793517.69531
world,1984,28837357132195.39844
world,1985,29907964828101
world,1986,30938411681132.60156
world,1987,32095804635230
world,1988,33591637488408.5
world,1989,34848168205220.60156
world,1990,35850486928395.20312
world,1991,36369063911499.60156
world,1992,37116857549220.89844
world,1993,37787992193204.20312
world,1994,39033824143013.20312
world,1995,40239717112407.10156
world,1996,41693844422427.60156
world,1997,43306992393609.50781
world,1998,44516632058966.29688
world,1999,46076681119874.89844
world,2000,48150695539289.50781
world,2001,49113770698652.49219
world,2002,50261639934302.70312
world,2003,51849568960482.49219
world,2004,54172374481714.89844
world,2005,56365366465112.29688
world,2006,58899342345579.39844
world,2007,61513739440691.60156
world,2008,62744525108371.10156
world,2009,61924292911987.89844
world,2010,64707600742167.29688
world,2011,66868587349997.69531
world,2012,68655863263589.50781
world,2013,70608883398913.90625
world,2014,72810293850297.09375
world,2015,75117144172406.28125
world,2016,77239246528230.40625
world,2017,79861035690593.29688
world,2018,82472159049214.70312
world,2019,84617106708922.78125
world,2020,81830087416001.79688
