geo,time,bx_gsr_fcty_cd
abw,1986,7262569.8324
abw,1987,8938547.48603
abw,1988,10893854.7486
abw,1989,13407821.22905
abw,1990,14804469.27374
abw,1991,17932960.89385
abw,1992,14469273.74302
abw,1993,13351955.30726
abw,1994,9553072.6257
abw,1995,16368715.0838
abw,1996,19162011.17318
abw,1997,20726256.98324
abw,1998,40502793.29609
abw,1999,38251396.64804
abw,2000,52983240.22346
abw,2001,49743016.75978
abw,2002,32167597.76536
abw,2003,32513966.48045
abw,2004,35681564.24581
abw,2005,42374130.64053
abw,2006,62185144.32771
abw,2007,90837988.82682
abw,2008,71787709.49721
abw,2009,59106145.2514
abw,2010,45921787.7095
abw,2011,40446927.3743
abw,2012,36201117.31844
abw,2013,37715043.57542
abw,2014,45358420.11173
abw,2015,48987044.13408
abw,2016,52188063.96053
abw,2017,58203805.10243
abw,2018,63298667.57129
abw,2019,90113095.48992
abw,2020,83463251.79335
afg,1979,46700000
afg,1980,51900000
afg,1981,43600000
afg,1982,41200000
afg,1983,27700000
afg,1984,20400000
afg,1985,29200000
afg,1986,23800000
afg,1987,19200000
afg,1988,23300000
afg,1989,20100000
afg,2008,139728480.83086
afg,2009,91459923.81025
afg,2010,180592883.72527
afg,2011,133684969.59912
afg,2012,151414665.367
afg,2013,201439894.66685
afg,2014,192106816.10192
afg,2015,286988102.70759
afg,2016,239837591.16901
afg,2017,299538628.6698
afg,2018,289434223.8561
afg,2019,352809307.05817
afg,2020,240400869.57861
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,10600000
ago,1991,15000000
ago,1992,15692000
ago,1993,11300000
ago,1994,13000000
ago,1995,15932000
ago,1996,43340000
ago,1997,112130000
ago,1998,34470000
ago,1999,24140000
ago,2000,34370000
ago,2001,22970000
ago,2002,17692306.6
ago,2003,12260060
ago,2004,33009710
ago,2005,25750697.7
ago,2006,145048380.39
ago,2007,622557381.4
ago,2008,422299216.82
ago,2009,131333434.12
ago,2010,134034437.25
ago,2011,209812228.2
ago,2012,259820383.59
ago,2013,818279811.44189
ago,2014,645563375.05034
ago,2015,166353809.45971
ago,2016,340789587.70522
ago,2017,239429079.28896
ago,2018,448468895.05519
ago,2019,692600674.46774
ago,2020,535789017.1067
alb,1980,7400000
alb,1981,12000000
alb,1982,14700000
alb,1983,7700000
alb,1984,4300000
alb,1985,2300000
alb,1986,800000
alb,1987,1100000
alb,1988,900000
alb,1989,400000
alb,1990,0
alb,1991,800000
alb,1992,2600000
alb,1993,64900000
alb,1994,55100000
alb,1995,72000000
alb,1996,83700000
alb,1997,61400000
alb,1998,86070000
alb,1999,85500000
alb,2000,115900000
alb,2001,162500000
alb,2002,148270000
alb,2003,194768561.18074
alb,2004,203734449.10994
alb,2005,226671132.47089
alb,2006,332119529.49565
alb,2007,382430000
alb,2008,472793926.45619
alb,2009,377387418.31373
alb,2010,378719411.14286
alb,2011,301787532.90408
alb,2012,241958618.10918
alb,2013,370760233.24736
alb,2014,446058143.54207
alb,2015,415501965.4463
alb,2016,452539612.58794
alb,2017,461209557.93896
alb,2018,462689449.78846
alb,2019,470038444.95617
alb,2020,386138440.39658
and,2019,572078047.06747
arg,1976,59000000
arg,1977,136000000
arg,1978,348000000
arg,1979,737000000
arg,1980,1305000000
arg,1981,946000000
arg,1982,558000000
arg,1983,474000000
arg,1984,298000000
arg,1985,282000000
arg,1986,392000000
arg,1987,252000000
arg,1988,211000000
arg,1989,276000000
arg,1990,1854000000
arg,1991,1746000000
arg,1992,2374479690.74875
arg,1993,2535379432.6
arg,1994,3480077307
arg,1995,4368380447.025
arg,1996,4443856688.6
arg,1997,5487181378.93333
arg,1998,6133659975.11928
arg,1999,6075111848.83671
arg,2000,7420150428.02645
arg,2001,5357943450.9255
arg,2002,3039170000
arg,2003,3103890000
arg,2004,3720770000
arg,2005,4311810000
arg,2006,5684613324.19153
arg,2007,6624678602.72123
arg,2008,5624994130.18661
arg,2009,3531160699.7137
arg,2010,2765191772.21633
arg,2011,3235862578.59006
arg,2012,2255485811.1198
arg,2013,2426705015.71798
arg,2014,2561769719.61487
arg,2015,2359362576.38575
arg,2016,2824470949.99455
arg,2017,4016640008.82271
arg,2018,6276876778.11688
arg,2019,6327962801.30554
arg,2020,4039217502.27126
arm,1994,0
arm,1995,54131300
arm,1996,78040000
arm,1997,138950000
arm,1998,103113600
arm,1999,93566080
arm,2000,103680287.47459
arm,2001,103736242.58894
arm,2002,136576541.26964
arm,2003,165952913.08705
arm,2004,394361010.51418
arm,2005,484855678.75541
arm,2006,655963804.88539
arm,2007,956460187.44634
arm,2008,1133253117.21965
arm,2009,875801113.89271
arm,2010,1049089088.60255
