geo,time,dt_nfl_uncr_cd
afg,1976,19999.99955
afg,1985,9999.99978
afg,1986,9999.99978
afg,1988,100000.00149
afg,1989,3849999.90463
afg,1990,899999.97616
afg,1991,1059999.94278
afg,1992,11069999.69482
afg,1993,12470000.26703
afg,1994,9329999.92371
afg,1995,20030000.68665
afg,1996,490000.00954
afg,1997,219999.99881
afg,2000,5769999.98093
afg,2001,6380000.11444
afg,2002,6469999.79019
afg,2003,230000.00417
afg,2004,45610000.61035
afg,2005,9119999.88556
afg,2006,7489999.77112
afg,2007,1720000.02861
afg,2008,2039999.96185
afg,2016,37871448.51685
afg,2019,20071756.36292
ago,1976,3779999.97139
ago,1977,14199999.80927
ago,1978,3759999.99046
ago,1979,4309999.94278
ago,1980,4489999.77112
ago,1981,3759999.99046
ago,1982,3670000.07629
ago,1983,5039999.96185
ago,1984,5980000.01907
ago,1985,4860000.13351
ago,1986,2640000.1049
ago,1987,1629999.99523
ago,1988,3369999.88556
ago,1989,7480000.01907
ago,1990,3220000.02861
ago,1991,1899999.97616
ago,1992,11800000.19073
ago,1993,4190000.05722
ago,1994,5920000.07629
ago,1995,4599999.90463
ago,1996,479999.98927
ago,1997,119999.99732
ago,1998,500000
ago,1999,1610000.01431
ago,2000,3079999.92371
ago,2001,2450000.04768
ago,2002,5730000.01907
ago,2003,3329999.92371
ago,2004,6260000.22888
ago,2005,4260000.22888
ago,2006,2150000.09537
ago,2007,3269999.98093
ago,2008,1190000.05722
ago,2009,2240000.00954
ago,2010,490000.00954
ago,2011,3390000.1049
ago,2013,31713.99981
ago,2015,2776067.01851
ago,2016,2069081.54488
ago,2017,172159.99961
ago,2018,5199774.26529
ago,2019,10091553.68805
alb,1992,9999.99978
alb,1994,209999.99344
alb,1995,219999.99881
alb,1996,280000.00119
alb,1997,419999.98689
alb,1998,610000.01431
alb,1999,330000.01311
alb,2000,4989999.77112
alb,2001,2450000.04768
alb,2002,1539999.96185
alb,2003,1220000.02861
alb,2004,620000.00477
alb,2005,379999.99523
alb,2006,540000.02146
alb,2007,550000.01192
alb,2008,490000.00954
alb,2009,300000.01192
alb,2010,270000.01073
alb,2011,250000
alb,2016,1298063.51662
alb,2017,1040459.9905
alb,2018,27780.97056
alb,2019,68492.77765
are,1969,9999.99978
are,1970,9999.99978
are,1971,9999.99978
are,1972,9999.99978
are,1973,100000.00149
are,1974,189999.99762
are,1975,9999.99978
are,1976,219999.99881
are,1977,50000.00075
are,1978,29999.99933
are,1990,19999.99955
are,1991,39999.99911
are,1992,59999.99866
are,2000,170000.00179
are,2001,70000.0003
arg,1974,209999.99344
arg,1975,19999.99955
arg,1976,3140000.1049
arg,1977,3349999.90463
arg,1978,2880000.11444
arg,1979,2509999.99046
arg,1980,3299999.95232
arg,1981,2470000.02861
arg,1982,1889999.98569
arg,1983,2490000.00954
arg,1984,3910000.08583
arg,1985,1919999.95708
arg,1986,1409999.96662
arg,1987,1139999.98569
arg,1988,1039999.96185
arg,1989,720000.02861
arg,1990,920000.01669
arg,1991,879999.99523
arg,1992,1279999.97139
arg,1993,1470000.02861
arg,1994,1710000.03815
arg,1995,1960000.03815
arg,1996,1950000.04768
arg,1997,2039999.96185
arg,1998,1970000.02861
arg,1999,1159999.96662
arg,2000,1019999.98093
arg,2001,939999.99762
arg,2002,819999.99285
arg,2003,579999.98331
arg,2004,740000.00954
arg,2005,779999.97139
arg,2009,1769999.98093
arg,2010,980000.01907
arg,2011,3119999.88556
arg,2012,87600.0002
