geo,time,dt_nfl_ilog_cd
afg,2012,259143.02468
afg,2013,495182.81221
afg,2014,267800.00329
afg,2015,350499.9876
afg,2016,746070.02735
afg,2017,649330.01995
afg,2018,1104639.88781
afg,2019,1537179.9469
ago,2012,611286.87859
ago,2013,751813.65013
ago,2014,567300.02165
ago,2015,633880.01919
ago,2016,484710.00791
ago,2017,221790.0008
ago,2018,232107.99694
ago,2019,285930.0077
alb,2012,75226.33672
alb,2013,79850.44271
alb,2014,83669.99775
alb,2015,252119.9882
alb,2016,265700.01245
alb,2017,134790.0033
alb,2018,593499.60089
alb,2019,442380.01108
arg,2012,1234566.68854
arg,2013,1758017.18235
arg,2014,1044360.04162
arg,2015,1625570.05882
arg,2016,1427549.95823
arg,2017,2206680.05943
arg,2018,2136176.58615
arg,2019,2426779.98543
arm,2012,209334.28407
arm,2013,102213.03999
arm,2014,213369.99536
arm,2015,179150.00021
arm,2016,109499.99839
arm,2017,320289.99925
arm,2018,463606.80461
arm,2019,573149.97911
atg,2012,73722.0943
atg,2013,77271.07406
atg,2014,75350.00145
atg,2015,69459.99712
atg,2016,85369.99673
atg,2017,93440.00369
atg,2018,83881.85501
atg,2019,436060.01139
aze,2012,193309.75413
aze,2013,148134.91702
aze,2014,136099.99418
aze,2015,79049.99703
aze,2016,153650.00069
aze,2017,153009.99582
aze,2018,1202912.92667
aze,2019,734359.97963
bdi,2012,271174.52025
bdi,2013,273218.66155
bdi,2014,165350.00503
bdi,2015,147369.99571
bdi,2016,142959.99706
bdi,2017,230700.00112
bdi,2018,112053.49863
bdi,2019,553099.98989
ben,2012,236328.24421
ben,2013,322596.7586
ben,2014,265480.0117
ben,2015,326950.01364
ben,2016,238480.00169
ben,2017,266880.0056
ben,2018,216829.16582
ben,2019,281019.98568
bfa,2012,326563.53712
bfa,2013,337605.98302
bfa,2014,383080.00565
bfa,2015,443410.00915
bfa,2016,388049.98994
bfa,2017,271429.98576
bfa,2018,377349.22767
bfa,2019,696439.98146
bgd,2012,969771.02757
bgd,2013,1945923.92445
bgd,2014,1117779.97017
bgd,2015,1763249.99332
bgd,2016,1284629.94099
bgd,2017,1265179.99172
bgd,2018,1985603.69015
bgd,2019,3543169.97528
bih,2012,139645.50197
bih,2013,85800.2305
bih,2014,121639.99677
bih,2015,295940.01174
bih,2016,220760.00273
bih,2017,56480.00166
bih,2018,211456.89487
bih,2019,633260.01167
blr,2012,15052.32602
blr,2013,16231.39158
blr,2014,29650.00086
blr,2015,14700.00017
blr,2016,27429.99978
blr,2017,34669.99903
blr,2018,52372.73872
blr,2019,39840.00161
blz,2012,73722.0943
blz,2013,77271.07406
blz,2014,72920.00204
blz,2015,73210.00099
blz,2016,80859.99638
blz,2017,101980.00073
blz,2018,237700.22392
blz,2019,262930.00579
bol,2012,348841.24994
bol,2013,404807.09076
bol,2014,396420.00198
bol,2015,961229.97999
bol,2016,455199.9867
bol,2017,750509.97734
bol,2018,776564.71729
bol,2019,1845319.98634
bra,2012,2173578.02391
bra,2013,2548364.63928
bra,2014,1984650.01583
bra,2015,2354350.09003
bra,2016,1960379.95815
bra,2017,2434400.08163
bra,2018,1835566.6399
bra,2019,2355910.06279
bwa,2012,622613.48963
bwa,2013,593050.71831
bwa,2014,473140.0013
bwa,2015,477259.99355
bwa,2016,483709.99098
bwa,2017,528500.0205
bwa,2018,245291.20326
bwa,2019,172429.99375
caf,2012,177825.07837
caf,2013,105320.62501
caf,2014,105570.00339
caf,2015,146300.00293
caf,2016,241659.99889
caf,2017,453409.99961
caf,2018,1413070.91713
caf,2019,2397870.06378
chl,2012,1188772.08233
chl,2013,1302415.49015
chl,2014,921469.98644
chl,2015,897509.99212
chl,2016,953379.98867
chl,2017,1220759.98783
chn,2012,1502265.93018
chn,2013,1616591.93039
chn,2014,1257240.05699
chn,2015,2005310.05859
chn,2016,1561280.01213
chn,2017,2199330.09148
chn,2018,1657945.99056
chn,2019,4169859.88617
civ,2012,768647.1343
civ,2013,351371.64593
civ,2014,573199.98741
civ,2015,666649.99723
civ,2016,1310580.01518
civ,2017,363339.99038
civ,2018,1165121.31691
civ,2019,1393249.98856
cmr,2012,982251.82295
cmr,2013,1077234.62582
cmr,2014,760810.01759
cmr,2015,862240.01646
cmr,2016,1092319.96536
cmr,2017,1611340.04593
cmr,2018,1022427.67811
cmr,2019,1636719.94209
cod,2012,312504.47035
cod,2013,305242.56825
cod,2014,281159.99699
cod,2015,310090.0054
cod,2016,539799.98827
cod,2017,687269.98568
cod,2018,692281.84223
cod,2019,877969.98024
