geo,time,ny_gns_ictr_cn
arg,2009,228312690077.89301
arg,2010,287565468345.08197
arg,2011,378026479889.60693
arg,2012,423521415213.87598
arg,2013,500718175900.90997
arg,2014,721298148155.75806
arg,2015,850738991009.64282
arg,2016,1204303962651.59009
arg,2017,1394002599690.01001
arg,2018,1681669319807.18994
arg,2019,3114516655398.64014
arg,2020,5116151141700.67969
arm,1993,-229456538.625
arm,1994,4805381632.91724
arm,1995,-11123623065.9013
arm,1996,11819698655.5103
arm,1997,31482577377.6604
arm,1998,7224375815.3672
arm,1999,27984702747.0107
arm,2000,-9560680127.4332
arm,2001,63638259935.0426
arm,2002,139590754956.931
arm,2003,265496052708.32297
arm,2004,376148289432.76599
arm,2005,545184172313.604
arm,2006,758204960856.69983
arm,2007,900716853547.66284
arm,2008,995711069615.01282
arm,2009,441325212302.44098
arm,2010,456773179451.97906
arm,2011,419190383528.10199
arm,2012,601431553898.33997
arm,2013,675907233596.49292
arm,2014,641302287339.729
arm,2015,929561046671.93884
arm,2016,902711236380.91809
arm,2017,940139642846.87292
arm,2018,922176912686.04492
arm,2019,642264588211.94397
arm,2020,909849605300.47595
atg,1993,364420000
atg,1994,329690000
atg,1995,377220000
atg,1996,272060000
atg,1997,348660000
atg,1998,416900000
atg,1999,435313944
atg,2000,456231000
atg,2001,288629000
atg,2002,263483492
atg,2003,274965582
atg,2004,327482550
atg,2005,282287320
atg,2006,344985888
atg,2007,286284339
atg,2008,419093264
atg,2009,804627729
atg,2010,420836782
atg,2011,320043382
atg,2012,232003877
atg,2013,230536381
atg,2014,94084261.61245
atg,2015,254485071.83757
atg,2016,378136000.28536
atg,2017,604416866.91189
atg,2018,999728443.20306
atg,2019,1202118639.22298
atg,2020,528664398.79863
aus,1989,94067789804.70461
aus,1990,98332356385.0464
aus,1991,85878680596.95911
aus,1992,76936996810.46748
aus,1993,89592338544.6723
aus,1994,101350871554.67101
aus,1995,102326997218.937
aus,1996,110556983999.87801
aus,1997,121433825875.041
aus,1998,127446009836.724
aus,1999,128289498456.892
aus,2000,140466772983.71301
aus,2001,146771782624.59399
aus,2002,164769775624.005
aus,2003,169339782204.362
aus,2004,185984319072.35001
aus,2005,194175862050.26599
aus,2006,216969644436.70001
aus,2007,232947417208.57697
aus,2008,258777173955.57199
aus,2009,303404145110.76501
aus,2010,284920699170.24493
aus,2011,330888707811.26801
aus,2012,365610687732.37903
aus,2013,368395328735.30707
aus,2014,378361005894.12299
aus,2015,368512037489
aus,2016,343469069810.86499
aus,2017,383604987843.91693
aus,2018,400641112304.02197
aus,2019,438456630986.59998
aus,2020,476844488573.67102
aut,2005,66203386627.8661
aut,2006,71605406745.0034
aut,2007,80052909167.3389
aut,2008,84313639246.98911
aut,2009,71548773020.0528
aut,2010,76414995791.27748
aut,2011,80926617241.2345
aut,2012,82133195919.27939
aut,2013,82545797385.69
aut,2014,86571774933.93219
aut,2015,88316464464.9091
aut,2016,96979407849.4785
aut,2017,97299641719.79761
aut,2018,103288511163.931
aut,2019,110343156767.77
aut,2020,105083731901.952
aze,1995,155362555.8
aze,1996,57504788.2
aze,1997,436506094.5
aze,1998,227727842.8
aze,1999,546364472
aze,2000,945101826.8
aze,2001,1257834786.1
aze,2002,1376901075.4
aze,2003,1860333001.4
aze,2004,2349436001.9
aze,2005,4971951643.4
aze,2006,8451602044.4
aze,2007,12865613668.7
aze,2008,20045749720
aze,2009,14371496029.6
aze,2010,18994728540.6
aze,2011,24371138967.1
aze,2012,24235223928
aze,2013,24878360595.5
aze,2014,24046272810.1
aze,2015,15292699927
aze,2016,13656183631
aze,2017,20416076573.6
aze,2018,25749225600
aze,2019,23400649992.9422
aze,2020,17551319200
bdi,1985,14245038366.5878
bdi,1986,11846697414.9219
bdi,1987,19845689850.1776
bdi,1988,13014742400
bdi,1989,25437721691.1764
bdi,1990,16875027430.5192
bdi,1991,24752894628.5786
bdi,1992,11604210646.3652
bdi,1993,27602282556.6027
bdi,1994,12661309811.1266
bdi,1995,15035072363.976
bdi,1996,9833513249.45827
bdi,1997,20707677707.8835
bdi,1998,2662542034.14378
bdi,1999,11011702618.5095
bdi,2000,8330783113.76398
bdi,2001,10847045723.2191
bdi,2002,32267217610.1086
bdi,2003,57387907199.9998
bdi,2004,66374863311.282
bdi,2005,185508661982.897
bdi,2006,104915595465.29601
bdi,2007,107642973121.015
bdi,2008,-28752376807.3563
bdi,2009,215937662770.457
