geo,time,lp_lpi_ovrl_xq
afg,2007,1.21
afg,2010,2.24
afg,2012,2.3
afg,2014,2.06957
afg,2016,2.14128
afg,2018,1.95
ago,2007,2.48
ago,2010,2.25
ago,2012,2.28
ago,2014,2.54298
ago,2016,2.24118
ago,2018,2.05
alb,2007,2.08
alb,2010,2.46
alb,2012,2.77
alb,2016,2.4125
alb,2018,2.66
are,2007,3.73
are,2010,3.63
are,2012,3.78
are,2014,3.5391
are,2016,3.94177
are,2018,3.96
arg,2007,2.98
arg,2010,3.1
arg,2012,3.05
arg,2014,2.98647
arg,2016,2.96263
arg,2018,2.89
arm,2007,2.14
arm,2010,2.52
arm,2012,2.56
arm,2014,2.67272
arm,2016,2.20551
arm,2018,2.61
aus,2007,3.79
aus,2010,3.84
aus,2012,3.73
aus,2014,3.81078
aus,2016,3.79338
aus,2018,3.75
aut,2007,4.06
aut,2010,3.76
aut,2012,3.89
aut,2014,3.64859
aut,2016,4.09799
aut,2018,4.03
aze,2007,2.29
aze,2010,2.64
aze,2012,2.48
aze,2014,2.44838
bdi,2007,2.29
bdi,2012,1.61
bdi,2014,2.56574
bdi,2016,2.50978
bdi,2018,2.06
bel,2007,3.89
bel,2010,3.94
bel,2012,3.98
bel,2014,4.04466
bel,2016,4.10854
bel,2018,4.04
ben,2007,2.45
ben,2010,2.79
ben,2012,2.85
ben,2014,2.56082
ben,2016,2.42813
ben,2018,2.75
bfa,2007,2.24
bfa,2010,2.23
bfa,2012,2.32
bfa,2014,2.6383
bfa,2016,2.73081
bfa,2018,2.62
bgd,2007,2.47
bgd,2010,2.74
bgd,2014,2.56334
bgd,2016,2.6639
bgd,2018,2.58
bgr,2007,2.87
bgr,2010,2.83
bgr,2012,3.21
bgr,2014,3.15715
bgr,2016,2.80769
bgr,2018,3.03
bhr,2007,3.15
bhr,2010,3.37
bhr,2012,3.05
bhr,2014,3.08312
bhr,2016,3.31402
bhr,2018,2.93
bhs,2010,2.75
bhs,2012,2.75
bhs,2014,2.91097
bhs,2016,2.74994
bhs,2018,2.53
bih,2007,2.46
bih,2010,2.66
bih,2012,2.99
bih,2014,2.74762
bih,2016,2.59625
bih,2018,2.81
blr,2007,2.53
blr,2012,2.61
blr,2014,2.63817
blr,2016,2.39923
blr,2018,2.57
bol,2007,2.31
bol,2010,2.51
bol,2012,2.61
bol,2014,2.48076
bol,2016,2.25146
bol,2018,2.36
bra,2007,2.75
bra,2010,3.2
bra,2012,3.13
bra,2014,2.94395
bra,2016,3.08798
bra,2018,2.99
brn,2016,2.87049
brn,2018,2.71
btn,2007,2.16
btn,2010,2.38
btn,2012,2.52
btn,2014,2.29013
btn,2016,2.32144
btn,2018,2.17
bwa,2010,2.32
bwa,2012,2.84
bwa,2014,2.49277
bwa,2016,3.04546
caf,2014,2.36093
caf,2018,2.15
can,2007,3.92
can,2010,3.87
can,2012,3.85
can,2014,3.8555
can,2016,3.93071
can,2018,3.73
che,2007,4.02
che,2010,3.97
che,2012,3.8
che,2014,3.84397
che,2016,3.98716
che,2018,3.9
chl,2007,3.25
chl,2010,3.09
chl,2012,3.17
chl,2014,3.25579
chl,2016,3.24844
chl,2018,3.32
chn,2007,3.32
chn,2010,3.49
chn,2012,3.52
chn,2014,3.53146
chn,2016,3.6611
chn,2018,3.61
civ,2007,2.36
civ,2010,2.53
civ,2012,2.73
civ,2014,2.76198
civ,2016,2.60257
civ,2018,3.08
cmr,2007,2.49
cmr,2010,2.55
cmr,2012,2.53
cmr,2014,2.29662
cmr,2016,2.1515
cmr,2018,2.6
cod,2010,2.68
cod,2012,2.21
cod,2014,1.87886
cod,2016,2.37576
cod,2018,2.43
cog,2010,2.48
cog,2012,2.08
cog,2014,2.07715
cog,2016,2.37677
cog,2018,2.49
col,2007,2.5
col,2010,2.77
col,2012,2.87
col,2014,2.63964
col,2016,2.61235
col,2018,2.94
com,2007,2.48
com,2010,2.45
com,2012,2.14
com,2014,2.40214
com,2016,2.57914
com,2018,2.56
cri,2007,2.55
cri,2010,2.91
cri,2012,2.75
cri,2014,2.70072
cri,2016,2.64897
cri,2018,2.79
cub,2010,2.07
cub,2012,2.2
cub,2014,2.17973
cub,2016,2.34646
cub,2018,2.2
cyp,2007,2.92
cyp,2010,3.13
cyp,2012,3.24
cyp,2014,3.00058
cyp,2016,2.99906
cyp,2018,3.15
cze,2007,3.13
cze,2010,3.51
cze,2012,3.14
cze,2014,3.49242
cze,2016,3.67431
cze,2018,3.68
deu,2007,4.1
deu,2010,4.11
deu,2012,4.03
deu,2014,4.12198
deu,2016,4.22597
deu,2018,4.2
dji,2007,1.94
dji,2010,2.39
dji,2012,1.8
dji,2014,2.14987
dji,2016,2.32254
dji,2018,2.63
dnk,2007,3.86
dnk,2010,3.85
dnk,2012,4.02
dnk,2014,3.78252
dnk,2016,3.81579
dnk,2018,3.99
dom,2007,2.38
dom,2010,2.82
