global,time,ne_con_prvt_kd
world,1970,10482666198083.30078
world,1971,10961654393715.90039
world,1972,11612963032150.59961
world,1973,12246095655244.80078
world,1974,12403574157615.80078
world,1975,12702826958948.69922
world,1976,13330306432358.19922
world,1977,13822909632831.59961
world,1978,14380019174399.30078
world,1979,14914557523843
world,1980,15177002305967.90039
world,1981,15422096205432.69922
world,1982,15647245915304.69922
world,1983,16150471759455.40039
world,1984,16731517658558.19922
world,1985,17339946553687.19922
world,1986,17976141524956.69922
world,1987,18585842711733
world,1988,19365817396635.19922
world,1989,19997966343931.80078
world,1990,20649273689090.5
world,1991,20971008525117.39844
world,1992,21568185845533.19922
world,1993,22013095293577.30078
world,1994,22704465625927.39844
world,1995,23347476124917.60156
world,1996,24220547648922
world,1997,25029216215602.89453
world,1998,25815290238893
world,1999,26833047498538.80078
world,2000,27986970191679
world,2001,28783115582002.5
world,2002,29544001633932
world,2003,30382047131335.5
world,2004,31531853923508.89453
world,2005,32773272766380
world,2006,33924198992867.69531
world,2007,35347883146759.89844
world,2008,35949654948541.20312
world,2009,35920127973949.70312
world,2010,37081399728346.70312
world,2011,38248676341255.50781
world,2012,39177551871275
world,2013,40255400058477.50781
world,2014,41403618643510.79688
world,2015,42620437591205.69531
world,2016,43875011019749.20312
world,2017,45386204870880.79688
world,2018,46899696559328.79688
world,2019,48086723480809.39844
world,2020,45671875881966.39844
