geo,time,dc_oda_totl_cd
aus,1960,58900000
aus,1961,70700000
aus,1962,73800000
aus,1963,95900000
aus,1964,100000000
aus,1965,118560000
aus,1966,132090000
aus,1967,160480000
aus,1968,159650000
aus,1969,187630000
aus,1970,211720000
aus,1971,215800000
aus,1972,279490000
aus,1973,301600000
aus,1974,432740000
aus,1975,551680000
aus,1976,377310000
aus,1977,399740000
aus,1978,587520000
aus,1979,628680000
aus,1980,667370000
aus,1981,649530000
aus,1982,882440000
aus,1983,753380000
aus,1984,776810000
aus,1985,748720000
aus,1986,752440000
aus,1987,627390000
aus,1988,1100980000
aus,1989,1019570000
aus,1990,955180000
aus,1991,1049800000
aus,1992,1014930000
aus,1993,953460000
aus,1994,1091360000
aus,1995,1194340000
aus,1996,1074380000
aus,1997,1060710000
aus,1998,960370000
aus,1999,981900000
aus,2000,987140000
aus,2001,872780000
aus,2002,988740000
aus,2003,1218600000
aus,2004,1460130000
aus,2005,1680160000
aus,2006,2123220000
aus,2007,2668520000
aus,2008,2954070000
aus,2009,2761610000
aus,2010,3826100000
aus,2011,4982910000
aus,2012,5402700000
aus,2013,4845550000
aus,2014,4382420000
aus,2015,3493610000
aus,2016,3277520000
aut,1960,100000
aut,1961,2900000
aut,1962,2300000
aut,1963,4200000
aut,1964,6600000
aut,1965,10880000
aut,1966,12580000
aut,1967,15110000
aut,1968,16470000
aut,1969,14390000
aut,1970,10610000
aut,1971,12280000
aut,1972,17780000
aut,1973,40220000
aut,1974,59690000
aut,1975,79190000
aut,1976,49810000
aut,1977,108320000
aut,1978,154140000
aut,1979,131380000
aut,1980,177860000
aut,1981,219820000
aut,1982,235530000
aut,1983,157620000
aut,1984,181090000
aut,1985,248470000
aut,1986,197660000
aut,1987,201060000
aut,1988,301390000
aut,1989,282470000
aut,1990,168060000
aut,1991,294180000
aut,1992,204100000
aut,1993,206070000
aut,1994,323430000
aut,1995,620040000
aut,1996,526700000
aut,1997,494860000
aut,1998,459050000
aut,1999,492290000
aut,2000,439700000
aut,2001,633090000
aut,2002,520160000
aut,2003,504780000
aut,2004,677630000
aut,2005,1573320000
aut,2006,1498430000
aut,2007,1808460000
aut,2008,1713510000
aut,2009,1141780000
aut,2010,1208420000
aut,2011,1111370000
aut,2012,1105750000
aut,2013,1171490000
aut,2014,1234520000
aut,2015,1323510000
aut,2016,1635480000
bel,1960,100900000
bel,1961,92100000
bel,1962,69800000
bel,1963,79700000
bel,1964,71300000
bel,1965,101580000
bel,1966,76110000
bel,1967,88780000
bel,1968,88030000
bel,1969,116110000
bel,1970,119640000
bel,1971,146120000
bel,1972,193150000
bel,1973,234750000
bel,1974,271450000
bel,1975,377660000
bel,1976,340100000
