geo,time,ic_reg_durs
afg,2004,9.5
afg,2005,9.5
afg,2006,9.5
afg,2007,10.5
afg,2008,10.5
afg,2009,9.5
afg,2010,9.5
afg,2011,9.5
afg,2012,9.5
afg,2013,6.5
afg,2014,8.5
afg,2015,8.5
afg,2016,8.5
afg,2017,8.5
afg,2018,8.5
afg,2019,8.5
ago,2003,83
ago,2004,83
ago,2005,83
ago,2006,83
ago,2007,83
ago,2008,68
ago,2009,68
ago,2010,66
ago,2011,66
ago,2012,66
ago,2013,66
ago,2014,66
ago,2015,36
ago,2016,36
ago,2017,36
ago,2018,36
ago,2019,36
alb,2003,41
alb,2004,40
alb,2005,41
alb,2006,39
alb,2007,37
alb,2008,10
alb,2009,6
alb,2010,6
alb,2011,6
alb,2012,5
alb,2013,5
alb,2014,5
alb,2015,5
alb,2016,5
alb,2017,5
alb,2018,4.5
alb,2019,4.5
are,2003,19.2
are,2004,19.2
are,2005,19.3
are,2006,19.2
are,2007,18.2
are,2008,18.2
are,2009,15.2
are,2010,15.2
are,2011,13.2
are,2012,8.2
are,2013,8.2
are,2014,8.3
are,2015,8.3
are,2016,8.3
are,2017,8.3
are,2018,3.8
are,2019,3.8
arg,2003,65.5
arg,2004,29.5
arg,2005,29.5
arg,2006,29.5
arg,2007,29.5
arg,2008,30
arg,2009,25
arg,2010,24.5
arg,2011,24.5
arg,2012,24.5
arg,2013,24.5
arg,2014,24.5
arg,2015,24.5
arg,2016,24.5
arg,2017,24.5
arg,2018,11
arg,2019,11.5
arm,2003,18
arm,2004,18
arm,2005,18
arm,2006,17
arm,2007,17
arm,2008,17
arm,2009,14
arm,2010,14
arm,2011,8
arm,2012,8
arm,2013,5
arm,2014,5
arm,2015,5
arm,2016,5
arm,2017,5
arm,2018,4
arm,2019,4
atg,2005,26
atg,2006,22
atg,2007,22
atg,2008,22
atg,2009,22
atg,2010,22
atg,2011,22
atg,2012,22
atg,2013,22
atg,2014,22
atg,2015,22
atg,2016,22
atg,2017,22
atg,2018,22
atg,2019,19
aus,2003,3
aus,2004,3
aus,2005,3
aus,2006,3
aus,2007,3
aus,2008,2.5
aus,2009,2.5
aus,2010,2.5
aus,2011,2.5
aus,2012,2.5
aus,2013,2.5
aus,2014,2.5
aus,2015,2.5
aus,2016,2.5
aus,2017,2.5
aus,2018,2.5
aus,2019,2
aut,2003,25
aut,2004,25
aut,2005,25
aut,2006,25
aut,2007,25
aut,2008,25
aut,2009,25
aut,2010,25
aut,2011,25
aut,2012,25
aut,2013,25
aut,2014,22
aut,2015,22
aut,2016,21
aut,2017,21
aut,2018,21
aut,2019,21
aze,2003,105
aze,2004,121
aze,2005,113
aze,2006,51
aze,2007,36
aze,2008,10
aze,2009,10
aze,2010,8
aze,2011,8
aze,2012,8
aze,2013,7
aze,2014,5.5
aze,2015,3.5
aze,2016,3.5
aze,2017,3.5
aze,2018,3.5
aze,2019,3.5
bdi,2003,13
bdi,2004,13
