geo,time,dt_dod_mida_cd
afg,2006,343427000
afg,2007,399183000
afg,2008,437607000
afg,2009,465822000
afg,2010,405910000
afg,2011,412513000
afg,2012,422308000
afg,2013,425760000
afg,2014,394587000
afg,2015,369722000
afg,2016,351221000
afg,2017,364172000
afg,2018,347934000
afg,2019,338272000
afg,2020,344334000
ago,1991,0
ago,1992,5607000
ago,1993,15202000
ago,1994,49604000
ago,1995,80576000
ago,1996,115121000
ago,1997,136047000
ago,1998,178689000
ago,1999,213777000
ago,2000,226426000
ago,2001,228393000
ago,2002,264763000
ago,2003,291456000
ago,2004,318373000
ago,2005,319346000
ago,2006,347333000
ago,2007,365087000
ago,2008,368888000
ago,2009,385211000
ago,2010,377702000
ago,2011,383663000
ago,2012,420275000
ago,2013,468408000
ago,2014,477956000
ago,2015,479183000
ago,2016,490247000
ago,2017,560256000
ago,2018,545941000
ago,2019,526778000
ago,2020,517396000
alb,1992,2037000
alb,1993,27637000
alb,1994,64738000
alb,1995,108992000
alb,1996,137216000
alb,1997,148150000
alb,1998,220080000
alb,1999,296335000
alb,2000,345747000
alb,2001,366122000
alb,2002,475754000
alb,2003,583261000
alb,2004,676602000
alb,2005,655409000
alb,2006,728673000
alb,2007,803139000
alb,2008,817396000
alb,2009,849414000
alb,2010,849743000
alb,2011,858818000
alb,2012,874009000
alb,2013,871029000
alb,2014,813581000
alb,2015,754393000
alb,2016,701024000
alb,2017,704946000
alb,2018,647288000
alb,2019,597396000
alb,2020,572072000
arm,1994,5563000
arm,1995,90938000
arm,1996,174048000
arm,1997,240254000
arm,1998,292840000
arm,1999,352099000
arm,2000,388291000
arm,2001,427876000
arm,2002,529940000
arm,2003,661599000
arm,2004,772576000
arm,2005,746036000
arm,2006,841246000
arm,2007,964653000
arm,2008,1025362000
arm,2009,1160829000
arm,2010,1160720000
arm,2011,1187268000
arm,2012,1235456000
arm,2013,1275021000
arm,2014,1198542000
arm,2015,1140648000
arm,2016,1099075000
arm,2017,1133438000
arm,2018,1072825000
arm,2019,1013365000
arm,2020,996386000
aze,1995,30194000
aze,1996,64289000
aze,1997,115525000
aze,1998,141309000
aze,1999,199287000
aze,2000,216182000
aze,2001,235023000
aze,2002,313665000
aze,2003,421867000
aze,2004,492898000
aze,2005,500610000
aze,2006,582706000
aze,2007,660429000
aze,2008,697699000
aze,2009,739338000
aze,2010,762757000
aze,2011,805789000
aze,2012,833304000
aze,2013,599162000
aze,2014,571477000
aze,2015,517748000
aze,2016,466800000
aze,2017,504000000
aze,2018,444266000
aze,2019,381211000
aze,2020,321800000
bdi,1970,1145000
bdi,1971,1650000
