geo,time,se_prm_uner_fe_zs
abw,1999,1.05053
abw,2000,1.83841
abw,2002,2.25256
abw,2003,4.63517
abw,2004,3.753
abw,2005,2.98085
abw,2009,1.66898
afg,1974,91.52758
afg,1993,86.30236
ago,1982,56.51675
ago,1983,59.79688
ago,1998,58.03075
ago,2008,23.50038
ago,2009,24.66588
ago,2010,25.35356
ago,2011,28.51859
alb,1999,4.01275
alb,2000,4.6321
alb,2001,5.54348
alb,2003,7.76846
alb,2004,8.02623
alb,2008,10.63223
alb,2009,12.66232
alb,2010,11.53907
alb,2011,9.78291
alb,2012,6.38463
alb,2013,2.83276
alb,2020,1.93244
are,1978,20.21066
are,1980,23.3617
are,1981,26.56796
are,1982,22.02838
are,1983,27.47385
are,1984,27.77083
are,1985,27.9573
are,1986,26.84177
are,1987,16.6961
are,1988,13.85308
are,1989,9.17911
are,1990,4.89538
are,1991,4.12697
are,1992,8.06415
are,1993,9.86625
are,1994,11.45925
are,1995,11.19091
are,1996,13.89126
are,1997,17.50742
are,1998,16.56418
are,2007,5.01422
are,2012,4.7672
are,2013,5.1219
arg,1970,3.87963
arg,1974,3.67131
arg,1975,3.90624
arg,1991,3.99286
arm,2002,12.27081
arm,2003,14.22189
arm,2005,10.30208
arm,2006,6.64804
arm,2007,1.60431
arm,2011,4.23833
arm,2012,3.11879
arm,2013,3.05812
arm,2014,5.52437
arm,2015,4.38714
arm,2016,5.6072
arm,2017,6.13492
arm,2018,6.95481
arm,2019,8.84355
arm,2020,10.40104
atg,2012,4.24331
atg,2013,6.80573
atg,2014,5.42309
atg,2015,0.52731
atg,2016,0.44304
atg,2017,1.30774
atg,2019,1.87461
aus,1971,3.33917
aus,1973,4.38211
aus,1974,4.96988
aus,1975,2.50948
aus,1976,1.64108
aus,1982,0.94059
aus,1983,2.10104
aus,1984,3.82926
aus,1985,3.54527
aus,1986,2.74403
aus,1987,2.08368
aus,1988,1.33693
aus,1989,1.22035
aus,1990,1.72413
aus,1991,2.31688
aus,1992,2.55128
aus,1993,2.99228
aus,1994,3.28289
aus,1995,4.72938
aus,1996,4.20282
aus,1997,4.44136
aus,1998,4.14338
aus,1999,4.19388
aus,2000,3.98992
aus,2003,0.91408
aus,2004,0.62384
aus,2011,1.89984
aus,2012,1.64368
aus,2017,0.29469
aus,2018,0.46845
aus,2019,0.69436
aut,1989,5.26802
aut,2000,0.3119
aut,2001,1.28132
aut,2002,3.28618
aut,2003,3.57471
aut,2004,2.92785
aut,2005,2.39052
aut,2006,2.78904
aut,2007,2.79121
aut,2008,3.14199
aut,2009,2.57187
aut,2010,2.50892
aut,2011,2.90424
aut,2012,1.76759
aut,2013,1.15473
aut,2014,0.62703
aut,2015,0.33259
aut,2016,0.11877
aze,1991,5.21916
aze,1992,4.55326
aze,1993,6.23062
aze,1994,18.55113
aze,1995,9.59023
aze,1996,2.63382
aze,1997,10.81913
aze,1998,12.13356
aze,1999,4.97307
aze,2000,8.81944
aze,2001,12.03296
aze,2002,12.85473
aze,2003,16.04919
aze,2004,14.25186
aze,2005,15.57775
aze,2006,15.91296
aze,2007,13.63967
aze,2008,13.76091
aze,2009,12.85804
aze,2010,13.23411
aze,2011,11.25271
aze,2012,8.91327
aze,2013,3.61186
aze,2017,1.23808
aze,2018,4.09353
aze,2019,7.00651
aze,2020,8.60678
bdi,1973,86.1501
bdi,1978,86.28939
bdi,1980,84.95486
bdi,1981,83.46928
bdi,1982,81.4388
bdi,1983,76.2808
bdi,1984,71.9105
bdi,1985,67.67681
bdi,1986,64.66232
bdi,1987,59.19538
bdi,1988,55.50145
bdi,1993,54.82664
bdi,2000,62.36368
bdi,2001,54.53893
bdi,2002,55.57071
bdi,2003,51.7495
bdi,2004,48.48649
bdi,2005,44.94969
bdi,2006,26.80678
bdi,2007,19.15211
bdi,2008,8.08524
bdi,2009,8.56737
bdi,2010,3.38598
bdi,2017,2.71017
bdi,2018,4.98923
bdi,2019,5.97391
bdi,2021,8.42872
bel,1977,3.57873
bel,1979,2.08401
bel,1980,1.55226
bel,1981,2.4955
bel,1982,2.61834
bel,1983,5.28895
bel,1984,5.86217
bel,1985,6.21544
bel,1986,4.86677
bel,1987,3.2759
bel,1988,1.95614
bel,1991,2.07162
bel,1992,3.65028
bel,1993,2.02585
bel,1994,2.72618
bel,1995,2.78134
bel,1996,2.33657
bel,2000,0.63781
bel,2002,0.30178
bel,2003,1.2942
bel,2004,2.65541
bel,2005,3.06368
bel,2006,2.8334
bel,2007,1.80903
bel,2008,1.19428
bel,2009,1.38866
bel,2010,1.58126
bel,2011,1.40362
bel,2012,1.20332
bel,2013,1.23899
bel,2014,1.43755
bel,2015,1.169
bel,2016,0.8961
bel,2017,0.2866
bel,2018,0.32989
bel,2019,0.46626
ben,1984,66.67376
ben,1985,66.04375
ben,1986,67.04756
ben,1988,67.20838
ben,1989,66.75621
ben,1990,72.91665
ben,1992,67.00196
ben,1993,63.70356
ben,1994,61.33219
ben,1995,58.74987
ben,1996,56.09093
ben,1997,52.40661
ben,2006,21.57448
ben,2008,16.41868
ben,2019,9.58507
ben,2020,9.6247
bfa,1971,92.56846
bfa,1972,92.11109
bfa,1977,90.65816
bfa,1978,90.32578
bfa,1979,89.91361
bfa,1980,89.1952
bfa,1981,88.51163
bfa,1982,87.49416
bfa,1983,86.34586
bfa,1984,85.48625
bfa,1985,83.97978
bfa,1986,82.32782
bfa,1987,81.20657
bfa,1988,80.70883
bfa,1989,80.25722
bfa,1991,78.63326
bfa,1992,78.1659
bfa,1993,77.29941
bfa,1994,76.32655
bfa,1995,75.05758
bfa,1998,71.70295
bfa,1999,70.97527
bfa,2000,69.63174
bfa,2001,68.4463
bfa,2002,68.94338
bfa,2003,66.59632
bfa,2004,64.15252
bfa,2005,59.3257
bfa,2006,55.48087
bfa,2007,50.0563
bfa,2008,43.53843
bfa,2009,40.06603
bfa,2010,42.2498
bfa,2011,37.10891
bfa,2012,35.60472
bfa,2013,34.1093
bfa,2014,32.8676
bfa,2015,31.15659
bfa,2016,25.24737
bfa,2017,23.92627
bfa,2018,21.56504
bfa,2019,22.44371
bfa,2020,24.55493
bgd,1970,65.43222
bgd,1973,49.25112
bgd,1977,45.42764
bgd,1978,46.26254
bgd,1981,44.46641
bgd,1983,50.78145
bgd,1984,47.09097
bgd,1985,48.55241
bgd,1986,48.98096
bgd,1987,49.75658
bgd,1988,35.45076
bgd,1989,35.19685
bgd,1990,31.04646
bgd,2008,3.04532
bgr,1996,7.28648
bgr,1997,5.81603
bgr,1998,4.01036
bgr,1999,2.80779
bgr,2000,3.22908
bgr,2001,3.20766
bgr,2002,3.80535
bgr,2003,3.43896
bgr,2004,2.829
bgr,2005,4.05475
bgr,2006,3.24201
bgr,2012,2.49709
bgr,2013,4.42006
bgr,2014,5.57988
bgr,2015,7.89983
bgr,2016,10.46351
bgr,2017,11.67845
bgr,2018,13.21506
bgr,2019,14.61375
bhr,1971,32.7709
bhr,1972,29.34297
bhr,1973,27.55996
bhr,1974,27.4595
bhr,1975,24.09244
