geo,time,ag_con_fert_zs
afg,1961,0.14379
afg,1962,0.14286
afg,1963,0.14194
afg,1964,0.14103
afg,1965,0.14103
afg,1966,0.19145
afg,1967,1.27486
afg,1968,1.91229
afg,1969,2.16285
afg,1970,2.46506
afg,1971,2.59494
afg,1972,3.68015
afg,1973,3.10999
afg,1974,4.28571
afg,1975,4.59975
afg,1976,5.59241
afg,1977,6.85537
afg,1978,6.78496
afg,1979,6.28812
afg,1980,6.46346
afg,1981,5.77889
afg,1982,6.67295
afg,1983,7.15297
afg,1984,9.17826
afg,1985,9.22402
afg,1986,8.50569
afg,1987,9.98989
afg,1988,7.04551
afg,1989,7.02908
afg,1990,5.62579
afg,1991,6.14412
afg,1992,5.79014
afg,1993,5.11247
afg,1996,0.65385
afg,1997,0.65062
afg,1998,0.90241
afg,1999,0.65334
afg,2000,0.65079
afg,2001,2.3949
afg,2002,3.19439
afg,2003,3.47855
afg,2004,4.24378
afg,2005,3.81478
afg,2006,3.19085
afg,2007,2.10127
afg,2008,1.85168
afg,2009,1.88786
afg,2010,1.77786
afg,2011,3.82701
afg,2012,2.37785
afg,2013,4.88271
afg,2014,10.16611
afg,2015,4.0222
afg,2016,13.68015
afg,2017,20.45253
afg,2018,7.65068
ago,1961,0.37453
ago,1962,0.37037
ago,1963,0.51471
ago,1964,0.76364
ago,1965,1.44404
ago,1966,1.85714
ago,1967,2.36749
ago,1968,2.65734
ago,1969,3.62069
ago,1970,3.89655
ago,1971,8.62069
ago,1972,7.68966
ago,1973,7.37931
ago,1974,5.2069
ago,1975,1.41379
ago,1976,0.72414
ago,1977,10.89655
ago,1978,8.10345
ago,1979,4.72414
ago,1980,5.7931
ago,1981,4.17241
ago,1982,1.72414
ago,1983,2.96552
ago,1984,2.41069
ago,1985,7.01483
ago,1986,4.13793
ago,1987,3.55172
ago,1988,5.48586
ago,1989,8.13828
ago,1990,3.27586
ago,1991,2.33898
ago,1992,3.03333
ago,1993,2.66667
ago,1994,3.33333
ago,1995,2.66667
ago,1996,2
ago,1997,0.66667
ago,1998,1.13333
ago,1999,1.13333
ago,2000,0.46667
ago,2002,1.65903
ago,2003,1.78879
