geo,time,hd_hci_ovrl_ma
afg,2017,0.395
afg,2018,0.40502
afg,2020,0.41128
ago,2017,0.365
ago,2018,0.3668
ago,2020,0.36916
alb,2010,0.52398
alb,2017,0.606
alb,2018,0.59866
alb,2020,0.608
are,2010,0.59735
are,2018,0.6676
are,2020,0.66095
arg,2010,0.56543
arg,2017,0.59
arg,2018,0.60707
arg,2020,0.59129
arm,2017,0.551
arm,2018,0.5581
arm,2020,0.55585
atg,2018,0.55922
atg,2020,0.56758
aus,2010,0.73874
aus,2017,0.779
aus,2018,0.76677
aus,2020,0.75712
aut,2010,0.72287
aut,2017,0.785
aut,2018,0.75823
aut,2020,0.73302
aze,2010,0.48643
aze,2018,0.61398
aze,2020,0.56844
bdi,2010,0.33967
bdi,2017,0.374
bdi,2018,0.37382
bdi,2020,0.37023
bel,2010,0.73957
bel,2017,0.749
bel,2018,0.75419
bel,2020,0.749
ben,2010,0.37088
ben,2017,0.408
ben,2018,0.39591
ben,2020,0.39908
bfa,2010,0.32127
bfa,2017,0.354
bfa,2018,0.37531
bfa,2020,0.3794
bgd,2017,0.465
bgd,2018,0.44638
bgd,2020,0.45145
bgr,2010,0.61156
bgr,2017,0.648
bgr,2018,0.65377
bgr,2020,0.59759
bhr,2010,0.58031
bhr,2017,0.641
bhr,2018,0.63817
bhr,2020,0.62463
bih,2017,0.61
bih,2018,0.61154
bih,2020,0.56852
blr,2020,0.66674
brn,2020,0.60942
btn,2020,0.46746
bwa,2010,0.34423
bwa,2017,0.393
bwa,2018,0.38698
bwa,2020,0.38842
can,2010,0.76251
can,2017,0.79
can,2018,0.79018
can,2020,0.78504
che,2010,0.75946
che,2017,0.762
che,2018,0.76112
che,2020,0.74791
chl,2010,0.61002
chl,2017,0.667
chl,2018,0.65339
chl,2020,0.63795
chn,2017,0.657
chn,2018,0.6401
chn,2020,0.64664
civ,2010,0.30634
civ,2017,0.325
civ,2018,0.37343
civ,2020,0.38248
cmr,2010,0.38342
cmr,2017,0.395
cmr,2018,0.39372
cmr,2020,0.39793
cod,2017,0.367
cod,2018,0.36328
cod,2020,0.36514
cog,2010,0.40798
cog,2017,0.392
cog,2018,0.40923
cog,2020,0.41059
col,2010,0.57484
col,2017,0.579
col,2018,0.58572
col,2020,0.59483
com,2017,0.409
com,2018,0.39607
com,2020,0.39733
cri,2010,0.58502
cri,2017,0.597
cri,2018,0.59033
cri,2020,0.61514
cyp,2010,0.66356
cyp,2017,0.743
cyp,2018,0.7472
cyp,2020,0.74843
cze,2010,0.70072
cze,2017,0.764
cze,2018,0.74841
cze,2020,0.73181
deu,2010,0.74447
deu,2017,0.783
deu,2018,0.75132
deu,2020,0.73617
dma,2018,0.52766
dma,2020,0.51814
dnk,2010,0.73751
dnk,2017,0.76
dnk,2018,0.75636
dnk,2020,0.73754
dom,2017,0.476
dom,2018,0.48892
dom,2020,0.48376
dza,2010,0.51885
dza,2017,0.504
dza,2018,0.51378
dza,2020,0.51509
ecu,2010,0.51253
ecu,2017,0.587
ecu,2018,0.57908
ecu,2020,0.57671
egy,2010,0.46695
egy,2017,0.468
egy,2018,0.47454
egy,2020,0.47598
esp,2010,0.69075
esp,2017,0.729
esp,2018,0.72216
esp,2020,0.71695
est,2010,0.68254
est,2017,0.714
est,2018,0.74393
est,2020,0.74599
eth,2017,0.383
eth,2018,0.38279
eth,2020,0.3815
fin,2010,0.78417
fin,2017,0.784
fin,2018,0.78672
fin,2020,0.76457
fji,2020,0.48763
fra,2010,0.73664
fra,2018,0.73902
fra,2020,0.74505
fsm,2018,0.45173
fsm,2020,0.49104
gab,2017,0.439
gab,2018,0.44097
gab,2020,0.44219
gbr,2010,0.75652
gbr,2017,0.773
gbr,2018,0.76739
gbr,2020,0.77455
geo,2010,0.49319
geo,2017,0.554
geo,2018,0.56611
geo,2020,0.52986
gha,2017,0.432
gha,2018,0.43695
gha,2020,0.44271
gin,2017,0.377
gin,2018,0.38349
gin,2020,0.38404
gmb,2010,0.36537
gmb,2018,0.39088
gmb,2020,0.40763
grc,2010,0.69277
grc,2017,0.658
grc,2018,0.67427
grc,2020,0.66856
grd,2018,0.50924
grd,2020,0.53614
gtm,2010,0.43587
gtm,2017,0.45
gtm,2018,0.44754
gtm,2020,0.45157
guy,2017,0.472
guy,2018,0.47609
guy,2020,0.47698
hkg,2010,0.76184
hkg,2017,0.81
hkg,2018,0.79575
hkg,2020,0.78038
hnd,2017,0.478
hnd,2018,0.469
hnd,2020,0.46981
hrv,2010,0.65593
hrv,2017,0.699
hrv,2018,0.70726
hrv,2020,0.6822
hti,2017,0.432
hti,2018,0.43251
hti,2020,0.43423
hun,2010,0.65602
hun,2017,0.678
hun,2018,0.68159
hun,2020,0.66057
idn,2010,0.48289
idn,2017,0.521
idn,2018,0.52456
idn,2020,0.52428
ind,2017,0.429
ind,2018,0.4787
ind,2020,0.48726
irl,2010,0.74361
irl,2018,0.8055
irl,2020,0.78081
irn,2010,0.55232
irn,2017,0.565
irn,2018,0.57545
irn,2020,0.5768
irq,2017,0.386
irq,2018,0.38782
irq,2020,0.39518
isl,2010,0.73895
isl,2017,0.723
isl,2018,0.72395
isl,2020,0.72351
isr,2010,0.69579
isr,2018,0.74589
isr,2020,0.7045
ita,2010,0.73397
ita,2017,0.764
ita,2018,0.74642
ita,2020,0.71808
jam,2017,0.5
jam,2018,0.51347
jam,2020,0.51097
jor,2010,0.53035
jor,2017,0.537
jor,2018,0.5204
jor,2020,0.52805
kaz,2010,0.56028
kaz,2017,0.714
kaz,2018,0.74783
kaz,2020,0.60565
kgz,2017,0.558
kgz,2018,0.57341
kgz,2020,0.57754
kir,2018,0.43605
kir,2020,0.45302
kna,2018,0.55695
kna,2020,0.57357
kor,2010,0.80027
kor,2017,0.813
kor,2018,0.81771
kor,2020,0.78412
kos,2017,0.546
kos,2018,0.55125
kos,2020,0.55084
kwt,2010,0.54091
kwt,2017,0.539
kwt,2018,0.54061
kwt,2020,0.53494
lao,2017,0.44
lao,2018,0.44877
lao,2020,0.44829
lbn,2017,0.54
lbr,2017,0.314
lbr,2018,0.3129
lbr,2020,0.31435
lca,2018,0.56236
lca,2020,0.57918
lso,2010,0.32263
ltu,2010,0.62994
ltu,2017,0.666
ltu,2018,0.6795
ltu,2020,0.65998
lux,2010,0.68363
lux,2017,0.678
lux,2018,0.6833
lux,2020,0.67326
lva,2010,0.62753
lva,2017,0.678
lva,2018,0.68972
lva,2020,0.66456
mac,2010,0.62721
mac,2017,0.732
mac,2018,0.73912
mac,2020,0.77379
mar,2010,0.47517
mar,2017,0.49
mar,2018,0.48116
mar,2020,0.4935
mda,2010,0.53151
mda,2017,0.558
mda,2018,0.55849
mda,2020,0.56251
mdg,2010,0.38116
mdg,2017,0.371
mdg,2018,0.37487
mdg,2020,0.38095
mex,2010,0.57444
mex,2017,0.595
mex,2018,0.59636
mex,2020,0.59954
mhl,2018,0.38859
mhl,2020,0.40453
mkd,2010,0.52745
mkd,2017,0.521
mkd,2018,0.52248
mkd,2020,0.54269
mli,2017,0.318
mli,2018,0.32207
mli,2020,0.31888
mlt,2010,0.64677
mlt,2017,0.675
mlt,2018,0.68886
mlt,2020,0.68344
mmr,2017,0.458
mmr,2018,0.45665
mmr,2020,0.46123
mne,2010,0.56644
mne,2018,0.60802
mne,2020,0.62609
mng,2018,0.59644
mng,2020,0.59401
mrt,2017,0.337
mrt,2018,0.36083
mrt,2020,0.37083
mus,2010,0.58036
mwi,2010,0.35165
mys,2010,0.56353
mys,2017,0.601
