geo,time,ny_gdp_pcap_cn
abw,1986,11585.59369
abw,1987,14114.43448
abw,1988,17480.97748
abw,1989,20392.16178
abw,1990,22029.02465
abw,1991,24157.4718
abw,1992,25141.39947
abw,1993,26740.24002
abw,1994,29069.57825
abw,1995,29426.44789
abw,1996,29685.13778
abw,1997,32091.0474
abw,1998,34149.06049
abw,1999,34646.04703
abw,2000,36905.77334
abw,2001,36999.95694
abw,2002,36582.02796
abw,2003,37292.81768
abw,2004,40397.39123
abw,2005,41708.32167
abw,2006,43042.74521
abw,2007,46243.06008
abw,2008,48479.7064
abw,2009,44089.81587
abw,2010,42089.21458
abw,2011,44723.17491
abw,2012,44235.36294
abw,2013,47330.49968
abw,2014,48138.4906
abw,2015,50830.46608
abw,2016,50929.3854
abw,2017,52537.94098
abw,2018,54153.37005
afg,1960,2689.79552
afg,1961,2693.7405
afg,1962,2630.61039
afg,1963,3541.78929
afg,1964,3694.28879
afg,1965,4549.87463
afg,1966,6191.74341
afg,1967,7240.42954
afg,1968,5809.87399
afg,1969,5819.83922
afg,1970,7043.34471
afg,1971,7180.5379
afg,1972,6089.27526
afg,1973,6441.50923
afg,1974,7814.41311
afg,1975,8392.98773
afg,1976,8885.04784
afg,1977,10090.12507
afg,1978,11130.93395
afg,1979,12049.75564
afg,1980,12024.108
afg,1981,13073.50426
afg,2002,8060.02136
afg,2003,9347.56847
afg,2004,10102.11843
afg,2005,12012.15929
afg,2006,13167.16381
afg,2007,17911.78406
afg,2008,18578.80521
afg,2009,21542.3943
afg,2010,24883.27591
afg,2011,28234.40818
afg,2012,33015.04253
afg,2013,35290.4924
afg,2014,35254.45434
afg,2015,35531.19664
afg,2016,34562.24496
afg,2017,35415.92449
afg,2018,35717.56109
afg,2019,38631.13639
afg,2020,39747.10938
ago,1980,0.00002
ago,1981,0.00002
ago,1982,0.00002
ago,1983,0.00002
ago,1984,0.00002
ago,1985,0.00002
ago,1986,0.00002
ago,1987,0.00002
ago,1988,0.00002
ago,1989,0.00003
ago,1990,0.00003
ago,1991,0.00006
ago,1992,0.0003
ago,1993,0.00225
ago,1994,0.05022
ago,1995,1.07674
ago,1996,58.01744
ago,1997,117.7942
ago,1998,166.39756
ago,1999,1082.19195
ago,2000,5590.93828
ago,2001,11631.87024
ago,2002,37979.85755
ago,2003,73335.08383
ago,2004,104891.61723
ago,2005,165813.40239
ago,2006,208922.17606
ago,2007,239476.14392
ago,2008,306206.88096
ago,2009,247724.64322
ago,2010,329746.95788
ago,2011,433553.08402
ago,2012,486896.06296
ago,2013,507192.19299
ago,2014,531659.8503
ago,2015,500290.51567
ago,2016,573791.3063
ago,2017,679560.4214
ago,2018,831805.23505
ago,2019,1025024.0854
ago,2020,1027084.12163
alb,1980,5610.77352
alb,1981,5691.06431
alb,1982,5735.33965
alb,1983,5676.07139
alb,1984,5486.77898
alb,1985,5490.04945
alb,1986,5550.9878
alb,1987,5398.34706
alb,1988,5222.19457
alb,1989,5583.96477
alb,1990,4937.84348
alb,1991,4846.85272
alb,1992,15070.44418
alb,1993,37485.43591
alb,1994,55488.64923
alb,1995,69579.15593
