geo,time,cm_mkt_indx_zg
are,2006,-44.58615
are,2007,52.1316
are,2009,24.57437
are,2010,-6.7888
are,2011,-16.479
are,2012,24.21671
are,2013,29.59279
are,2014,12.74239
are,2015,-18.08719
are,2016,8.38573
are,2017,-1.99082
are,2018,-7.98269
are,2019,0.84354
are,2020,-10.00731
arg,1996,18.7
arg,1997,17.3803
arg,1998,-28.5113
arg,1999,33.4
arg,2000,-25.13013
arg,2001,-31.66759
arg,2002,-51.4
arg,2003,131.39
arg,2004,24.62
arg,2005,45.38794
arg,2006,57.64755
arg,2007,0.66903
arg,2008,-56.16075
arg,2009,97.83858
arg,2010,55.31788
arg,2011,-30.2236
arg,2012,-15.87297
arg,2013,29.59
arg,2014,12.74
arg,2015,-10.21584
arg,2016,13.97666
arg,2017,71.65455
arg,2018,-40.60885
arg,2019,32.49301
arg,2020,123.2114
aus,1990,-22.41154
aus,1991,28.55549
aus,1992,-15.59351
aus,1993,34.2412
aus,1994,0.41046
aus,1995,9.84938
aus,1996,17.93063
aus,1997,-8.88396
aus,1998,1.0138
aus,1999,18.18434
aus,2000,-8.74607
aus,2001,-0.2782
aus,2002,-2.12706
aus,2003,47.11427
aus,2004,29.09216
aus,2005,11.70419
aus,2006,28.58322
aus,2007,25.15052
aus,2008,-54.08474
aus,2009,72.37448
aus,2010,12.49092
aus,2011,-15.71441
aus,2012,15.02429
aus,2013,-1.71123
aus,2014,-8.28065
aus,2015,-12.962
aus,2016,7.00706
aus,2017,16.45943
aus,2018,-15.84445
aus,2019,18.29714
aus,2020,9.71287
aut,1990,8.33296
aut,1991,-19.20696
aut,1992,-20.09225
aut,1993,38.5882
aut,1994,-4.87827
aut,1995,-4.29857
aut,1996,2.16002
aut,1997,-1.67094
aut,1998,0.21336
aut,1999,-6.52711
aut,2000,-14.86163
aut,2001,-5.33618
aut,2002,18.22108
aut,2003,57.14925
aut,2004,61.30132
aut,2005,21.87685
aut,2006,37.12142
aut,2007,-0.41915
aut,2008,-65.31768
aut,2009,57.02149
aut,2010,10.90482
aut,2011,-35.83616
aut,2012,29.85175
aut,2013,12.56805
aut,2014,-21.08259
aut,2015,0.81982
aut,2016,4.17016
aut,2017,55.4607
aut,2018,-25.6157
aut,2019,15.5895
aut,2020,-5.41501
bel,1990,-11.64939
bel,1991,7.58606
bel,1992,-6.59487
bel,1993,21.05
bel,1994,5.69698
bel,1995,22.37057
bel,1996,12.21012
bel,1997,13.95828
bel,1998,63.83294
bel,1999,-13.67375
bel,2000,-16.51321
bel,2001,-15.92728
bel,2002,-17.35252
bel,2003,34.88414
bel,2004,40.01057
bel,2005,6.77124
bel,2006,43.84784
bel,2007,-3.1311
bel,2008,-65.57316
bel,2009,54.46942
bel,2010,0.50278
bel,2011,-15.05851
bel,2012,33.31935
bel,2013,23.4567
bel,2014,1.2585
bel,2015,9.37057
bel,2016,-7.7387
bel,2017,16.76935
bel,2018,-27.2675
bel,2019,23.10667
bel,2020,-7.429
bgd,1997,-67.6598
bgd,1998,-38.4792
bgd,1999,-17.5
bgd,2000,28.48743
bgd,2001,-20.67224
bgd,2002,-4.24
bgd,2003,15.37
bgd,2004,104.3
bgd,2005,-27.74938
bgd,2006,12.85523
bgd,2007,126.39144
bgd,2008,4.25339
bgd,2009,38.63694
bgd,2010,37.64151
bgd,2011,-42.30844
bgd,2012,-14.32005
bgd,2013,-1.3765
bgd,2014,18.54135
bgd,2015,-5.37625
bgd,2016,7.38073
bgd,2017,22.45453
bgd,2018,-18.18065
bgd,2019,-18.18466
bgd,2020,23.54975
bgr,1997,-70.5053
bgr,1998,-30.0797
bgr,1999,-23.7
bgr,2000,-29.95951
bgr,2001,-7.51445
bgr,2002,62.5
bgr,2003,189.23
bgr,2004,82.7
bgr,2005,16.44833
bgr,2006,31.4375
bgr,2007,39.03947
bgr,2008,-70.21204
bgr,2009,17.22269
bgr,2010,-15.16385
bgr,2011,-22.10004
bgr,2012,-8.07436
bgr,2013,43.12528
bgr,2014,-21.62863
bgr,2015,-20.19575
bgr,2016,15.54588
bgr,2017,36.11766
bgr,2018,-14.84176
bgr,2019,-7.11591
bgr,2020,-0.44117
bhr,1999,3.5
bhr,2001,-2.92469
bhr,2002,7.44
bhr,2004,35.4
