geo,time,dc_dac_nzll_cd
afg,1972,9999.99978
afg,1973,9999.99978
afg,1974,9999.99978
afg,1976,9999.99978
afg,1977,9999.99978
afg,1985,19999.99955
afg,1986,19999.99955
afg,1993,29999.99933
afg,1994,29999.99933
afg,1996,70000.0003
afg,1997,209999.99344
afg,1998,29999.99933
afg,1999,9999.99978
afg,2000,109999.9994
afg,2001,600000.02384
afg,2002,2039999.96185
afg,2003,1399999.97616
afg,2004,10010000.22888
afg,2005,9220000.26703
afg,2006,3319999.93324
afg,2007,3730000.01907
afg,2008,7800000.19073
afg,2009,4159999.84741
afg,2010,3490000.00954
afg,2011,5929999.82834
afg,2012,15869999.88556
afg,2013,7429999.82834
afg,2014,3720000.02861
afg,2015,3579999.92371
afg,2016,3410000.08583
afg,2017,5340000.15259
afg,2018,90000.00358
afg,2019,1990000.00954
ago,1994,59999.99866
ago,1995,129999.99523
ago,1996,140000.0006
ago,2003,379999.99523
ago,2006,79999.99821
ago,2007,109999.9994
ago,2016,39999.99911
arg,1988,29999.99933
arg,1990,59999.99866
arg,1991,29999.99933
arg,1992,9999.99978
arg,1995,39999.99911
arg,1996,29999.99933
arg,1997,70000.0003
arg,1998,79999.99821
arg,1999,70000.0003
arg,2000,109999.9994
arg,2001,219999.99881
arg,2002,150000.00596
arg,2003,239999.99464
arg,2004,340000.00358
arg,2005,289999.99166
arg,2006,200000.00298
arg,2007,159999.99642
arg,2008,430000.00715
arg,2009,189999.99762
arg,2010,119999.99732
arg,2011,140000.0006
arg,2012,189999.99762
arg,2013,140000.0006
arg,2014,129999.99523
arg,2015,119999.99732
arg,2016,140000.0006
arg,2017,150000.00596
arg,2018,219999.99881
arg,2019,90000.00358
atg,1995,29999.99933
atg,1998,9999.99978
atg,2001,119999.99732
atg,2015,19999.99955
atg,2019,9999.99978
bdi,1994,29999.99933
bdi,1995,100000.00149
bdi,1996,259999.99046
bdi,1997,90000.00358
bdi,1998,90000.00358
bdi,1999,90000.00358
bdi,2002,50000.00075
bdi,2003,29999.99933
bdi,2004,119999.99732
bdi,2005,1250000
ben,2001,59999.99866
bfa,1994,29999.99933
bfa,1996,39999.99911
bfa,1997,39999.99911
bfa,1998,9999.99978
bfa,1999,70000.0003
bfa,2012,810000.00238
bgd,1972,800000.01192
bgd,1973,759999.99046
bgd,1974,750000
bgd,1975,4230000.01907
bgd,1976,469999.99881
bgd,1977,360000.01431
bgd,1978,200000.00298
bgd,1979,189999.99762
bgd,1980,189999.99762
bgd,1981,129999.99523
bgd,1982,59999.99866
bgd,1983,70000.0003
bgd,1984,39999.99911
bgd,1985,70000.0003
bgd,1986,200000.00298
bgd,1987,119999.99732
bgd,1988,79999.99821
bgd,1989,100000.00149
bgd,1990,39999.99911
bgd,1991,50000.00075
bgd,1992,50000.00075
