global,time,se_adt_1524_lt_fe_zs
world,1975,69.9829
world,1976,70.0335
world,1977,70.3148
world,1978,71.14501
world,1979,71.95636
world,1980,72.74107
world,1981,73.45826
world,1982,74.30085
world,1983,74.82055
world,1984,75.53048
world,1985,76.1458
world,1986,76.70866
world,1987,77.52717
world,1988,77.90179
world,1989,78.34825
world,1990,78.84146
world,1991,79.16636
world,1992,79.54583
world,1993,79.79468
world,1994,80.22153
world,1995,80.64411
world,1996,81.06783
world,1997,82.26023
world,1998,82.77554
world,1999,83.24546
world,2000,83.28266
world,2001,83.76416
world,2002,84.34622
world,2003,84.87765
world,2004,85.51806
world,2005,85.45457
world,2006,86.09037
world,2007,86.10571
world,2008,86.88346
world,2009,87.05592
world,2010,87.28592
world,2011,87.71172
world,2012,88.34899
world,2013,88.79236
world,2014,89.26065
world,2015,89.42568
world,2016,89.9865
world,2017,90.26317
world,2018,90.27437
world,2019,90.5373
world,2020,90.77643
