geo,time,sl_slf_0714_zs
alb,2010,3.82
arg,2004,34.23
arg,2012,10.78
aze,2005,4.1
bfa,2006,1.93
bgd,2013,11.15
bol,2009,2.14
bol,2013,0.98
bol,2015,1.86
bra,2011,6.23
bra,2013,7.16
bra,2014,4.99391
bra,2015,8.78
cmr,2007,2.54
col,2009,16.64
col,2012,16.42
col,2014,14.07
col,2015,15.39
cri,2011,6.8
cri,2016,4.28
dom,2009,20.05
dom,2012,32.34
ecu,2011,4.32
ecu,2015,0.24
gha,2012,1.47
gin,2010,3.61
gmb,2015,4.53
gtm,2006,1.98
gtm,2012,2.39
gtm,2014,0.82
gtm,2015,2.26192
hnd,2007,3.52
hnd,2011,7.61
hnd,2013,6.31
hnd,2014,7.33
idn,2010,2.41
ind,2010,5.6
ind,2012,5.17
jor,2007,3.07
jor,2016,5.22
kgz,2007,1.43
kgz,2014,3.22951
khm,2009,9.21
khm,2012,3.25
lao,2010,16.42
lbr,2010,17.97
lka,2009,2.65
mda,2009,0.91
mdg,2007,0.05
mex,2011,2.35
mex,2013,4.04
mli,2007,12.96
mng,2007,5.36
mng,2012,2.12
mwi,2015,10.51
nam,1999,0.14
ner,2006,4.75
ner,2009,5.68
nic,2005,1.18
nic,2010,5.21
nic,2012,7.63
npl,1999,4.23
npl,2008,5.46
pak,2011,10.49
pan,2008,12.61
pan,2010,15.13
pan,2012,12.97
pan,2014,10.9
per,2007,3.83
phl,2001,4.1
phl,2011,4.78
pry,2005,9.33
pry,2014,12.06
rou,2000,4.48
rwa,2008,14.95
rwa,2011,12.33
sdn,2008,19.21
sen,2011,3.25
slv,2011,3.27
slv,2012,2.57
slv,2013,3
ssd,2008,15.21
tgo,2010,8.32
tto,2006,14.27
tur,2006,2.08
tza,2006,56.3
tza,2011,7.31
tza,2014,2.15
uga,2006,1.4
uga,2012,11.15
ury,2009,14.11
ven,2006,31.59
ven,2013,27.39
vnm,2012,8.18
yem,2010,2.77
zaf,1999,7.1
zmb,2008,2.89
zwe,1999,3.41
