global,time,ne_gdi_ftot_kd_zg
world,1988,6.36468
world,1989,5.87846
world,1990,3.93023
world,1991,-1.23673
world,1992,-1.49623
world,1993,-0.92913
world,1994,3.41044
world,1995,3.65331
world,1996,6.12975
world,1997,4.6152
world,1998,2.76937
world,1999,3.61137
world,2000,5.56595
world,2001,0.13761
world,2002,-0.24219
world,2003,3.43523
world,2004,5.47404
world,2005,5.82091
world,2006,5.67435
world,2007,4.66051
world,2008,0.43669
world,2009,-9.68899
world,2010,3.28568
world,2011,4.40703
world,2012,2.02324
world,2013,2.04006
world,2014,2.84898
world,2015,2.61948
world,2016,1.92764
world,2017,3.72937
world,2018,3.26654
world,2019,2.73667
world,2020,-4.73606
