geo,time,si_pov_mdim_hh
arm,2018,25.5
chl,2011,19.5
chl,2013,16
chl,2015,16.6
chl,2017,16.8
cri,2010,25.87491
cri,2011,24.05517
cri,2012,21.67679
cri,2013,20.84429
cri,2014,21.66826
cri,2015,21.77781
cri,2016,20.50027
cri,2017,18.82393
cri,2018,19.12288
cri,2019,16.60367
dom,2010,31.8
dom,2011,30.9
dom,2012,31.5
dom,2013,30.4
dom,2014,26.3
dom,2015,22.8
dom,2016,20.7
dom,2017,18.6
dom,2018,16.8
dom,2019,14.9
gha,2010,31.8
gin,2014,68.7
hnd,2013,67.2
lca,2016,79
lka,2016,2.97
mar,2011,8.6
mar,2014,7.7
mli,2016,43.7
mys,2014,1.1
mys,2016,3.66
mys,2019,2.64
pan,2017,12.2
phl,2016,23.9
phl,2017,17.3
pse,2016,18.4
slv,2014,35.2
slv,2016,34
slv,2017,33.4
slv,2018,28.8
slv,2019,28.1
vnm,2016,9.2
vnm,2017,7.9
vnm,2018,6.8
vnm,2019,5.7
