global,time,st_int_xpnd_cd
world,1995,501045482680.71997
world,1996,525332403372.724
world,1997,524306149916.68097
world,1998,529210822595.79498
world,1999,535279428869.24097
world,2000,551273675403.37097
world,2001,538197393340.72803
world,2002,559532446364.16602
world,2003,614950949569.09595
world,2004,711890593974.73499
world,2005,772312118155.61792
world,2006,818251877862.11389
world,2007,940050985614.22302
world,2008,1031248291350.57996
world,2009,935716041368.552
world,2010,1030432048940.32996
world,2011,1133385815319.83008
world,2012,1174881529184.04004
world,2013,1229615760322.04004
world,2014,1284202729509.27002
world,2015,1181523478579.01001
world,2016,1193724367473.87988
world,2017,1314055927207.01001
world,2018,1412736992372.22998
world,2019,1439120572186.1001
