geo,time,sl_emp_1524_sp_ma_zs
afg,1991,51.294
afg,1992,51
afg,1993,50.873
afg,1994,50.645
afg,1995,50.055
afg,1996,50.172
afg,1997,50.35
afg,1998,50.436
afg,1999,50.556
afg,2000,50.699
afg,2001,50.932
afg,2002,50.827
afg,2003,51.131
afg,2004,51.458
afg,2005,51.495
afg,2006,51.479
afg,2007,51.242
afg,2008,51.308
afg,2009,51.066
afg,2010,50.962
afg,2011,51.225
afg,2012,51.073
afg,2013,50.764
afg,2014,50.346
afg,2015,49.853
afg,2016,49.255
afg,2017,48.611
afg,2018,48.443
afg,2019,48.199
afg,2020,43.656
ago,1991,50.272
ago,1992,50.363
ago,1993,50.224
ago,1994,50.285
ago,1995,50.283
ago,1996,50.394
ago,1997,50.331
ago,1998,50.165
ago,1999,49.922
ago,2000,49.662
ago,2001,49.65
ago,2002,49.654
ago,2003,49.498
ago,2004,49.426
ago,2005,49.378
ago,2006,49.528
ago,2007,49.67
ago,2008,49.753
ago,2009,49.716
ago,2010,45.926
ago,2011,48.023
ago,2012,48.175
ago,2013,48.19
ago,2014,48.159
ago,2015,48.024
ago,2016,47.896
ago,2017,47.74
ago,2018,47.484
ago,2019,47.186
ago,2020,45.567
alb,1991,50.175
alb,1992,27.731
alb,1993,32.988
alb,1994,37.418
alb,1995,44.275
alb,1996,43.891
alb,1997,41.117
alb,1998,38.103
alb,1999,36.451
alb,2000,37.681
alb,2001,38.206
alb,2002,38.59
alb,2003,37.404
alb,2004,35.901
alb,2005,34.093
alb,2006,32.129
alb,2007,29.636
alb,2008,28.08
alb,2009,28.963
alb,2010,27.696
alb,2011,38.807
alb,2012,30.183
alb,2013,23.851
alb,2014,21.147
alb,2015,23.759
alb,2016,23.298
alb,2017,25.183
alb,2018,30.393
alb,2019,31.042
alb,2020,27.198
are,1991,61.685
are,1992,62.086
are,1993,62.474
are,1994,62.384
are,1995,62.268
are,1996,61.666
are,1997,61.219
are,1998,60.794
are,1999,60.48
are,2000,60.258
are,2001,59.995
are,2002,59.98
are,2003,59.891
are,2004,59.525
are,2005,58.926
are,2006,58.131
are,2007,57.614
are,2008,57.351
are,2009,57.359
are,2010,57.818
are,2011,58.304
are,2012,58.887
are,2013,59.583
are,2014,60.316
are,2015,61.035
are,2016,60.948
are,2017,59.577
are,2018,57.847
are,2019,58.205
are,2020,52.889
arg,1991,49.512
arg,1992,48.318
arg,1993,45.452
arg,1994,43.243
arg,1995,36.6
arg,1996,37.159
arg,1997,40.111
arg,1998,41.361
arg,1999,39.839
arg,2000,38.872
arg,2001,35.153
arg,2002,32.642
arg,2003,38.946
arg,2004,40.569
arg,2005,41.099
arg,2006,42.141
arg,2007,42.419
arg,2008,41.687
arg,2009,41.095
arg,2010,41.272
arg,2011,41.479
arg,2012,41.786
arg,2013,40.608
arg,2014,38.501
arg,2015,38.155
arg,2016,37.521
arg,2017,37.197
arg,2018,36.4
arg,2019,34.816
arg,2020,27.989
arm,1991,35.939
arm,1992,35.781
arm,1993,34.589
arm,1994,33.876
arm,1995,34.557
arm,1996,34.215
arm,1997,33.911
arm,1998,33.872
arm,1999,32.996
arm,2000,33
arm,2001,32.956
arm,2002,32.904
arm,2003,32.856
arm,2004,32.814
arm,2005,32.719
arm,2006,32.623
arm,2007,32.505
arm,2008,27.71
arm,2009,24.357
arm,2010,28.313
arm,2011,30.537
arm,2012,31.862
arm,2013,31.596
arm,2014,30.085
arm,2015,32.256
arm,2016,29.132
arm,2017,26.497
arm,2018,27.598
arm,2019,26.725
arm,2020,22.93
aus,1991,59.09
aus,1992,57.219
aus,1993,57.539
aus,1994,60.238
aus,1995,62.222
aus,1996,61.686
aus,1997,60.274
aus,1998,61.042
aus,1999,61.954
aus,2000,62.577
aus,2001,61.69
aus,2002,61.784
aus,2003,62.405
aus,2004,62.764
aus,2005,64.197
aus,2006,64.494
aus,2007,65.033
aus,2008,65.515
aus,2009,61.678
aus,2010,61.37
aus,2011,60.658
aus,2012,59.802
aus,2013,58.641
aus,2014,57.467
aus,2015,58.149
aus,2016,57.903
aus,2017,58.158
aus,2018,59.297
aus,2019,59.385
aus,2020,55.8
aut,1991,63.939
aut,1992,64.088
aut,1993,61.964
aut,1994,62.158
aut,1995,60.9
aut,1996,58.357
aut,1997,56.588
aut,1998,57.042
aut,1999,59.07
aut,2000,56.448
aut,2001,55.545
aut,2002,55.832
aut,2003,54.875
aut,2004,52.72
aut,2005,54.723
aut,2006,55.728
aut,2007,57.023
aut,2008,57.571
aut,2009,55.804
aut,2010,56.584
aut,2011,57.98
aut,2012,57.053
aut,2013,56.399
aut,2014,54.255
aut,2015,53.933
aut,2016,52.923
aut,2017,52.161
aut,2018,53.886
aut,2019,54.741
aut,2020,52.737
aze,1991,55.944
aze,1992,57.509
aze,1993,56.944
aze,1994,56.656
aze,1995,56.536
aze,1996,55.562
aze,1997,54.248
aze,1998,52.847
aze,1999,51.57
aze,2000,50.22
aze,2001,47.822
aze,2002,43.933
aze,2003,43.898
aze,2004,42.012
aze,2005,41.983
aze,2006,37.352
aze,2007,35.256
aze,2008,32.363
aze,2009,28.913
aze,2010,20.971
aze,2011,29.369
aze,2012,29.942
aze,2013,30.592
aze,2014,32.687
aze,2015,34.064
aze,2016,35.916
aze,2017,37.767
aze,2018,39.32
aze,2019,38.88
aze,2020,33.787
bdi,1991,74.741
bdi,1992,73.487
bdi,1993,72.231
bdi,1994,71.041
bdi,1995,69.847
bdi,1996,68.526
bdi,1997,67.234
bdi,1998,65.941
bdi,1999,65.107
bdi,2000,64.303
bdi,2001,63.453
bdi,2002,62.559
bdi,2003,61.58
