global,time,gc_xpn_totl_gd_zs
world,1998,24.68855
world,2008,26.80015
world,2009,29.32385
world,2010,29.26596
world,2011,28.17838
world,2012,28.04717
world,2013,27.71203
world,2014,27.50649
world,2015,27.57807
world,2016,27.41954
world,2017,27.34953
world,2018,27.21464
world,2019,27.92516
